Cluster,Score,Type,Gene,Symbol,Network
1,2.2580645161290325,Clustered,1738,DLD,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,3482,IGF2R,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,64423,INF2,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,80223,RAB11FIP1,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,2280,FKBP1A,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,8502,PKP4,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,9197,SLC33A1,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,8767,RIPK2,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,23048,FNBP1,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,4893,NRAS,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,6810,STX4,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,10723,SLC12A7,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,5880,RAC2,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,4641,MYO1C,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,3455,IFNAR2,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,6047,RNF4,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,3460,IFNGR2,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,54431,DNAJC10,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,3572,IL6ST,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,8837,CFLAR,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,153090,DAB2IP,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,355,FAS,modules_epi_black_sorted_top300_SUB1
1,2.2580645161290325,Clustered,3454,IFNAR1,modules_epi_black_sorted_top300_SUB1
