_MEMBER_modules_epi_black_sorted_top300,_MEMBER_modules_epi_blue_sorted_top300,_MEMBER_modules_epi_pink_sorted_top300,_MEMBER_modules_epi_red_sorted_top300,_MEMBER_modules_epi_turquoise_sorted_top300,_MEMBER_modules_epi_yellow_sorted_top300,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,0,1,1,1,-3.8,0,0,-4.8,-45,-18,M39175,M100111,4,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-45,9.8,23,30293,680,300,66,22,2.4,87|390|649|800|1072|1903|2113|2316|3371|3491|3589|3624|3688|3840|3976|4017|4053|4318|4478|6251|6498|6624|7041|7045|7077|7171|7791|7980|8460|8682|8728|9253|9261|9448|9590|10096|10409|10487|10763|10979|11031|11177|23433|25960|26064|29940|29995|30850|51177|51339|55207|55454|55740|56937|57493|60626|80381|84617|84627|91010|91283|115908|122786|123920|170954|285590,ACTN1|RND3|BMP1|CALD1|CFL1|S1PR3|ETS1|FLNA|TNC|CCN1|IL11|INHBA|ITGB1|KPNA4|LIF|LOXL2|LTBP2|MMP9|MSN|RSU1|SKIL|FSCN1|TGFB1I1|TGFBI|TIMP2|TPM4|ZYX|TFPI2|TPST1|PEA15|ADAM19|NUMBL|MAPKAPK2|MAP4K4|AKAP12|ACTR3|BASP1|CAP1|NES|FERMT2|RAB31|BAZ1A|RHOQ|ADGRA2|RAI14|DSE|LMCD1|CDR2L|PLEKHO1|DACT1|ARL8B|CSGALNACT2|ENAH|PMEPA1|HEG1|RIC8A|CD276|TUBB6|ZNF469|FMNL3|MSANTD3|CTHRC1|FRMD6|CMTM3|PPP1R18|SH3PXD2B,-40,0
0,1,0,1,0,0,0,-26,0,-5.5,0,0,M40234,M010100,2,0,Cell Type Signatures,7,DESCARTES FETAL LIVER HEPATOBLASTS,,-26,8.5,17,30293,500,299,42,14,2,174|216|230|283|335|336|341|350|415|433|727|2065|2147|2264|2330|2705|3026|3170|3249|3698|4128|5176|5345|5950|6819|6920|7104|7108|7276|8309|8431|10110|27134|51085|55937|57715|81693|92840|134548|257629|283375|388323,AFP|ALDH1A1|ALDOC|ANG|APOA1|APOA2|APOC1|APOH|ARSL|ASGR2|C5|ERBB3|F2|FGFR4|FMO5|GJB1|HABP2|FOXA2|HPN|ITIH2|MAOA|SERPINF1|SERPINF2|RBP4|SULT1C2|TCEA3|TM4SF4|TM7SF2|TTR|ACOX2|NR0B2|SGK2|TJP3|MLXIPL|APOM|SEMA4G|AMN|REEP6|SOWAHA|ANKS4B|SLC39A5|GLTPD2,-22,0
1,1,1,1,1,1,-23,-26,-10,-5.3,-4.3,-19,M39174,M111111,6,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-26,6.8,16,30293,731,299,49,16,2.1,48|210|292|727|900|1915|1933|1937|1938|2065|2705|2752|3249|3615|3646|4069|5176|5205|5236|5360|5874|6920|7108|7358|7494|8431|8801|8804|9071|10144|10397|10399|10549|10682|25840|26355|51082|51170|51280|51386|54097|54884|56922|57509|79170|93663|114569|120376|201895,ACO1|ALAD|SLC25A5|C5|CCNG1|EEF1A1|EEF1B2|EEF1G|EEF2|ERBB3|GJB1|GLUL|HPN|IMPDH2|EIF3E|LYZ|SERPINF1|ATP8B1|PGM1|PLTP|RAB27B|TCEA3|TM7SF2|UGDH|XBP1|NR0B2|SUCLG2|CREG1|CLDN10|FAM13A|NDRG1|RACK1|PRDX4|EBP|TMT1A|FAM162A|POLR1D|HSD17B11|GOLM1|EIF3L|FAM3B|RETSAT|MCCC1|MTUS1|PRR15L|ARHGAP18|MAL2|POU2AF3|SMIM14,-22,0
1,0,1,1,1,1,-18,0,-12,-2.2,-25,-24,M41700,M101111,5,0,Cell Type Signatures,7,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-25,6.7,15,30293,726,300,48,16,2.1,87|241|329|467|960|1843|2004|2316|2782|3097|3840|4478|4616|4688|6498|7045|7171|7185|7321|7791|8301|8303|8460|8676|8682|8728|9260|9261|9448|9693|10096|10409|10938|11031|11177|23710|29940|55207|56937|57142|57514|80301|81631|84002|84230|84419|127544|170954,ACTN1|ALOX5AP|BIRC2|ATF3|CD44|DUSP1|ELK3|FLNA|GNB1|HIVEP2|KPNA4|MSN|GADD45B|NCF2|SKIL|TGFBI|TPM4|TRAF1|UBE2D1|ZYX|PICALM|SNN|TPST1|STX11|PEA15|ADAM19|PDLIM7|MAPKAPK2|MAP4K4|RAPGEF2|ACTR3|BASP1|EHD1|RAB31|BAZ1A|GABARAPL1|DSE|ARL8B|PMEPA1|RTN4|ARHGAP31|PLEKHO2|MAP1LC3B|B3GNT5|LRRC8C|C15orf48|RNF19B|PPP1R18,-21,0
0,1,0,1,0,0,0,-24,0,-7.3,0,0,M40287,M010100,2,0,Cell Type Signatures,7,DESCARTES FETAL SPLEEN AFP ALB POSITIVE CELLS,,-24,15,19,30293,188,299,28,9.4,1.7,174|335|336|341|350|433|727|1191|1595|2147|2330|2584|2593|2705|3026|3249|3698|5345|5950|6819|7104|7108|7276|25840|54884|55937|81693|283375,AFP|APOA1|APOA2|APOC1|APOH|ASGR2|C5|CLU|CYP51A1|F2|FMO5|GALK1|GAMT|GJB1|HABP2|HPN|ITIH2|SERPINF2|RBP4|SULT1C2|TM4SF4|TM7SF2|TTR|TMT1A|RETSAT|APOM|AMN|SLC39A5,-20,0
1,1,1,1,1,1,-8.7,-2.2,-5.3,-11,-13,-22,M39050,M111111,6,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPERIC,,-22,6,14,30293,795,300,47,16,2.1,389|858|861|1026|1366|1827|1969|2050|2335|3716|4627|5796|5872|5937|6237|6548|6990|7094|7414|8407|9592|9948|10627|10916|11259|23597|27242|29950|30011|51285|51474|54843|54918|55861|55890|64651|64834|79180|84959|89848|92521|103910|162073|221035|221749|253461|254102,RHOC|CAV2|RUNX1|CDKN1A|CLDN7|RCAN1|EPHA2|EPHB4|FN1|JAK1|MYH9|PTPRK|RAB13|RBMS1|RRAS|SLC9A1|DYNLT3|TLN1|VCL|TAGLN2|IER2|WDR1|MYL12A|MAGED2|FILIP1L|ACOT9|TNFRSF21|SERTAD1|SH3KBP1|RASL12|LIMA1|SYTL2|CMTM6|DBNDD2|GPRC5C|CSRNP1|ELOVL1|EFHD2|UBASH3B|FCHSD1|SPECC1|MYL12B|ITPRIPL2|REEP3|PXDC1|ZBTB38|EHBP1L1,-19,0
1,0,1,1,1,1,-22,0,-7.4,-4,-9.3,-13,M39135,M101111,5,0,Cell Type Signatures,7,AIZARANI LIVER C39 EPCAM POS BILE DUCT CELLS 4,,-22,14,18,30293,184,300,26,8.7,1.6,12|330|650|2919|2921|3460|3576|3696|3898|4070|4134|4301|4641|4646|4792|6385|6648|7357|8502|9076|9124|10723|26137|80223|117177|135112,SERPINA3|BIRC3|BMP2|CXCL1|CXCL3|IFNGR2|CXCL8|ITGB8|LAD1|TACSTD2|MAP4|AFDN|MYO1C|MYO6|NFKBIA|SDC4|SOD2|UGCG|PKP4|CLDN1|PDLIM1|SLC12A7|ZBTB20|RAB11FIP1|RAB3IP|NCOA7,-18,0
0,1,0,1,0,0,0,-21,0,-5.1,0,0,M40276,M010100,2,0,Cell Type Signatures,7,DESCARTES FETAL PLACENTA AFP ALB POSITIVE CELLS,,-21,15,18,30293,171,299,25,8.4,1.6,174|335|336|350|433|727|2147|2264|2330|3698|5345|5950|7104|7108|7276|9936|51085|51170|55937|57715|81693|83715|92840|127845|283375,AFP|APOA1|APOA2|APOH|ASGR2|C5|F2|FGFR4|FMO5|ITIH2|SERPINF2|RBP4|TM4SF4|TM7SF2|TTR|CD302|MLXIPL|HSD17B11|APOM|SEMA4G|AMN|ESPN|REEP6|GOLT1A|SLC39A5,-18,0
0,1,0,1,0,1,0,-20,0,-3.2,0,-2.8,M41652,M010101,3,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-20,6.4,14,30293,629,299,40,13,2,216|292|678|1075|1650|1915|1933|1937|1938|1975|2217|2593|2752|3030|3065|3615|3646|4059|4061|5176|5589|5867|7103|9071|9368|10399|10551|23474|26355|26751|28987|50853|51082|51386|54097|60370|83939|84836|93100|359948,ALDH1A1|SLC25A5|ZFP36L2|CTSC|DDOST|EEF1A1|EEF1B2|EEF1G|EEF2|EIF4B|FCGRT|GAMT|GLUL|HADHA|HDAC1|IMPDH2|EIF3E|BCAM|LY6E|SERPINF1|PRKCSH|RAB4A|TSPAN8|CLDN10|NHERF1|RACK1|AGR2|ETHE1|FAM162A|SH3YL1|NOB1|VILL|POLR1D|EIF3L|FAM3B|AVPI1|EIF2A|ABHD14B|NAPRT|IRF2BP2,-17,0
1,0,0,1,1,1,-3.5,0,0,-5.4,-19,-8.3,M39176,M100111,4,0,Cell Type Signatures,7,MURARO PANCREAS ENDOTHELIAL CELL,,-19,8.6,15,30293,362,300,31,10,1.8,1072|1809|2004|2113|2887|4092|4478|4739|5155|6251|6624|7798|8682|8935|11031|25780|26064|30850|51177|56262|56892|56920|56937|56999|57493|57514|58476|84230|84617|91010|170954,CFL1|DPYSL3|ELK3|ETS1|GRB10|SMAD7|MSN|NEDD9|PDGFB|RSU1|FSCN1|LUZP1|PEA15|SKAP2|RAB31|RASGRP3|RAI14|CDR2L|PLEKHO1|LRRC8A|TCIM|SEMA3G|PMEPA1|ADAMTS9|HEG1|ARHGAP31|TP53INP2|LRRC8C|TUBB6|FMNL3|PPP1R18,-16,0
