GO,Description,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300
C0024143,Lupus Nephritis,-5.479534424710883,0.0,-16.096421578471304,0.0,-2.3296887542963214,-2.7797136893049346
C0004943,Behcet Syndrome,-6.7572894442261155,0.0,-13.540539677802828,0.0,-2.3364256640805756,-2.7873053787490436
C0024138,"Lupus Erythematosus, Discoid",-2.875722633595241,0.0,-12.501739171816538,0.0,-2.023498418265413,-2.4337896318787
C0024131,Lupus Vulgaris,-2.1803126681047797,0.0,-12.221849227618126,0.0,-2.1803126681047797,-2.611177758635975
C0036202,Sarcoidosis,-2.530803248923462,0.0,-16.67464813437537,0.0,-2.067601551997013,-3.5667180617894876
C0011615,"Dermatitis, Atopic",-9.91773624646192,0.0,-16.55852056318912,0.0,0.0,-3.697111828476053
C1290884,Inflammatory disorder,-4.389426781889365,0.0,-13.594600188430466,0.0,0.0,-3.7969169634595885
C0375023,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,-7.9634090520568,0.0,-19.852082013421786,0.0,0.0,0.0
C1527336,Sjogren's Syndrome,-7.742116896928583,0.0,-14.014932944176687,0.0,0.0,0.0
C0018213,Graves Disease,-6.323166770518126,0.0,-13.439486111392224,0.0,0.0,0.0
C0011311,Dengue Fever,-4.782155636284124,0.0,-18.33464749893575,0.0,0.0,0.0
C0151449,Primary Sjögren's syndrome,-4.792993138713584,0.0,-14.943872336390296,0.0,0.0,0.0
C0038013,Ankylosing spondylitis,-9.159648929657312,0.0,-17.38247846257382,0.0,-2.2901868714932077,0.0
C0019158,Hepatitis,-3.4831317249567935,-3.0464666024276306,-13.647908669767226,0.0,0.0,-3.4831317249567935
C0004623,Bacterial Infections,-12.804670968458133,-2.4565599200200925,-9.18501809352314,-2.868209917372238,0.0,-3.8002156079762397
C0021368,Inflammation,-7.262781818447692,-3.597242905945872,-13.484952552468222,-4.127628494996717,-2.5860183602430484,-3.0680487756644337
C0024530,Malaria,-2.4370739679255364,0.0,-13.903393609206525,-2.057437969183624,0.0,-2.4370739679255364
C3714636,Pneumonitis,-8.695402454553642,0.0,-12.929976420485204,-4.121109983535119,0.0,-2.767940787031055
C3714514,Infection,-14.600770368698857,0.0,-14.64005318459945,-2.4119289771315584,0.0,-6.256255369034371
C0162871,"Aortic Aneurysm, Abdominal",-4.067674044569598,-6.346925613544974,-12.65019514423051,-5.1480759780942345,-3.0905069097216624,0.0
