GO,Description,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300
TRR01437,Regulated by: TWIST1,-2.234682586626428,0.0,0.0,-2.234682586626428,-4.509016660738799,0.0
TRR01277,Regulated by: STAT3,-8.024861332153256,0.0,0.0,-4.436741704564335,-2.9197977944802633,0.0
TRR00023,Regulated by: ATF2,-4.509016660738799,0.0,0.0,0.0,-2.234682586626428,0.0
TRR01438,Regulated by: TWIST2,0.0,0.0,0.0,0.0,-5.2915882001357515,0.0
TRR01244,Regulated by: SNAI2,0.0,0.0,0.0,0.0,-4.58742340520465,0.0
TRR00676,Regulated by: KLF6,0.0,0.0,0.0,0.0,-5.474202600210475,0.0
TRR00678,Regulated by: KLF8,0.0,0.0,0.0,0.0,-4.111906618479226,0.0
TRR00645,Regulated by: JUN,-5.890962351848121,0.0,-4.24525726033644,0.0,-5.040425669712071,0.0
TRR00253,Regulated by: EGR1,-2.4915534609753975,0.0,-4.206198105887592,0.0,-2.4915534609753975,-2.4915534609753975
TRR00342,Regulated by: FOS,-4.381593851468124,0.0,-2.4302632163946662,0.0,0.0,0.0
TRR01275,Regulated by: STAT1,-3.4041720402000686,0.0,-9.688825883205396,0.0,0.0,0.0
TRR00877,Regulated by: NFKBIA,-5.783509155892191,0.0,-2.954762649945424,0.0,0.0,-2.950591212216515
TRR00603,Regulated by: IRF2,0.0,0.0,-4.116206583948129,0.0,0.0,0.0
TRR01047,Regulated by: PML,0.0,0.0,-4.148527139823872,0.0,0.0,0.0
TRR01264,Regulated by: SPI1,0.0,0.0,-4.351178342240236,0.0,0.0,0.0
TRR00602,Regulated by: IRF1,0.0,0.0,-15.730546955976786,0.0,0.0,0.0
TRR01256,Regulated by: SP1,-4.088572514014134,-3.087904996491954,-4.105518051372025,-8.442061861509888,0.0,-2.1803126681047797
TRR01419,Regulated by: TP53,-4.157043896489753,0.0,-2.0836526942697464,-3.4091232997694196,0.0,-4.157043896489753
TRR01158,Regulated by: RELA,-11.465672334696372,0.0,-22.465121492576323,-2.7081430883731725,-2.1945934606287563,-3.2628633155493065
TRR00875,Regulated by: NFKB1,-11.313104149240672,0.0,-21.14204248194348,-3.1990651247902093,-3.1990651247902093,-3.7842880860195924
