GO,Description,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300
WP306,Focal adhesion,0.0,0.0,0.0,0.0,-6.964259405934672,-13.889320988742153
GO:0001667,ameboidal-type cell migration,0.0,0.0,0.0,0.0,-7.945971493500365,-6.171901964863094
M5915,HALLMARK APICAL JUNCTION,0.0,0.0,0.0,0.0,-10.712614378873385,-10.712614378873385
GO:0032970,regulation of actin filament-based process,0.0,0.0,0.0,0.0,-5.753070427396773,-12.824016882531026
GO:0000902,cell morphogenesis,0.0,0.0,0.0,-2.4604965298383394,-17.97155956196322,-4.254008709082996
hsa05132,Salmonella infection,-5.094025551617242,0.0,0.0,0.0,-10.13750213107518,-10.13750213107518
WP3888,VEGFA VEGFR2 signaling,-8.555358407651445,0.0,0.0,0.0,-5.754757373039822,-12.555589159249303
GO:0045216,cell-cell junction organization,-2.065462870130065,0.0,0.0,0.0,-5.768942329628774,-12.643278003531636
GO:0010810,regulation of cell-substrate adhesion,-3.4159454585762146,0.0,0.0,0.0,-5.6242814677646455,-8.170395125331332
R-HSA-5653656,Vesicle-mediated transport,-4.827365840735706,0.0,0.0,-4.313611262210724,-5.921320495950848,-5.363547256557009
R-HSA-109582,Hemostasis,-4.786411443642938,0.0,0.0,-9.079901308414549,-5.90805722935735,-6.5019211507297205
GO:1902532,negative regulation of intracellular signal transduction,-4.058726574543186,0.0,0.0,-3.5573959994523787,-4.058726574543186,-7.572190287037507
GO:0007264,small GTPase mediated signal transduction,-2.3183974881594756,0.0,0.0,-4.171660435696584,-8.884324673630816,-9.77587460888014
GO:0010256,endomembrane system organization,-3.821466901949689,0.0,0.0,-2.006173291498576,-2.414160157401064,-7.340788099045368
M5939,HALLMARK P53 PATHWAY,-3.0446506538220635,0.0,0.0,-5.256357181821387,-2.405422744675795,-6.078808555303429
GO:0070848,response to growth factor,-7.180835584642548,0.0,0.0,-3.6286362019198863,-6.528017606524662,-3.129815060581755
GO:0031344,regulation of cell projection organization,-4.3222001802515075,0.0,0.0,-8.366931641282138,-14.867716278059135,-2.922934585823971
