_MEMBER_modules_mes_black_sorted_top300,_MEMBER_modules_mes_blue_sorted_top300,_MEMBER_modules_mes_green_sorted_top300,_MEMBER_modules_mes_grey_sorted_top300,_MEMBER_modules_mes_pink_sorted_top300,_MEMBER_modules_mes_red_sorted_top300,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300,GO,Description,_PATTERN_,_RANK_,CHILD_GO_modules_mes_black_sorted_top300,CHILD_GO_modules_mes_blue_sorted_top300,CHILD_GO_modules_mes_green_sorted_top300,CHILD_GO_modules_mes_grey_sorted_top300,CHILD_GO_modules_mes_pink_sorted_top300,CHILD_GO_modules_mes_red_sorted_top300
1,1,1,1,1,1,-27.342597366496307,-32.6660428460937,-9.844624320909015,-3.680388780937016,-7.13058189970546,-6.018016161379263,GO:0050896,response to stimulus,M111111,6,GO:0071345 cellular response to cytokine stimulus,GO:0002831 regulation of response to biotic stimulus,GO:0034976 response to endoplasmic reticulum stress,GO:0006974 DNA damage response,GO:0007167 enzyme-linked receptor protein signaling pathway,GO:0016055 Wnt signaling pathway
1,1,1,1,0,0,-16.535873028442968,-52.4807732985558,-2.8517775027040475,-2.845073466335703,0.0,0.0,GO:0044419,biological process involved in interspecies interaction between organisms,M111100,4,GO:0002237 response to molecule of bacterial origin,GO:0045087 innate immune response,GO:0044788 modulation by host of viral process,GO:0002223 stimulatory C-type lectin receptor signaling pathway,,
1,1,1,0,1,1,-15.344767063882472,-29.954726267182735,-2.5265078171503372,0.0,-3.3638071266901246,-2.2425308103452593,GO:0002376,immune system process,M111011,5,GO:0050778 positive regulation of immune response,GO:0050778 positive regulation of immune response,GO:0046649 lymphocyte activation,,GO:0048534 hematopoietic or lymphoid organ development,GO:0046637 regulation of alpha-beta T cell differentiation
1,1,1,1,1,1,-15.180084536058004,-24.84888594247889,-2.74209328598163,-4.850172657538152,-4.045495984693475,-2.832578852231901,GO:0048518,positive regulation of biological process,M111111,6,GO:0001819 positive regulation of cytokine production,GO:0032103 positive regulation of response to external stimulus,GO:0044089 positive regulation of cellular component biogenesis,GO:0090068 positive regulation of cell cycle process,GO:0090100 positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,GO:0010560 positive regulation of glycoprotein biosynthetic process
1,1,1,0,1,1,-13.35493874157147,-15.483871529872637,-5.220086855989659,0.0,-3.6645116113378218,-8.33269512245171,GO:0032501,multicellular organismal process,M111011,5,GO:0050865 regulation of cell activation,GO:0001775 cell activation,GO:0070527 platelet aggregation,,GO:0030278 regulation of ossification,GO:0001503 ossification
1,1,1,1,1,1,-11.072945602989789,-7.139789861027068,-8.643458873650323,-3.9263515363416097,-3.466514380877181,-5.147305564620357,GO:0008152,metabolic process,M111111,6,GO:0051090 regulation of DNA-binding transcription factor activity,GO:0051090 regulation of DNA-binding transcription factor activity,GO:0010498 proteasomal protein catabolic process,GO:0072521 purine-containing compound metabolic process,GO:0006516 glycoprotein catabolic process,GO:0009100 glycoprotein metabolic process
1,1,1,1,1,1,-10.457999266558952,-12.444530696753587,-3.960483148036668,-8.769964171694488,-6.536822580310473,-6.018016161379263,GO:0050789,regulation of biological process,M111111,6,GO:0022407 regulation of cell-cell adhesion,GO:0070663 regulation of leukocyte proliferation,GO:0120035 regulation of plasma membrane bounded cell projection organization,GO:0010564 regulation of cell cycle process,GO:0031344 regulation of cell projection organization,GO:0198738 cell-cell signaling by wnt
1,1,1,0,1,1,-9.726326388472224,-10.349833414081782,-2.0015777679071345,0.0,-5.387884178652283,-4.121825883698329,GO:0040011,locomotion,M111011,5,GO:0030335 positive regulation of cell migration,GO:0006935 chemotaxis,GO:0010595 positive regulation of endothelial cell migration,,GO:0040011 locomotion,GO:0030335 positive regulation of cell migration
1,1,1,1,1,1,-9.614505350897883,-19.8713736703424,-2.172926413201525,-5.8983045591511125,-6.1636948043357895,-3.329553320445391,GO:0048519,negative regulation of biological process,M111111,6,GO:1902532 negative regulation of intracellular signal transduction,GO:0002832 negative regulation of response to biotic stimulus,GO:0031330 negative regulation of cellular catabolic process,GO:0045786 negative regulation of cell cycle,GO:0031345 negative regulation of cell projection organization,GO:0010812 negative regulation of cell-substrate adhesion
1,1,1,1,1,1,-8.185205495788322,-6.1839080268264,-9.912141569080804,-9.407241448728472,-3.900736422900533,-11.101353089414868,GO:0009987,cellular process,M111111,6,GO:0097300 programmed necrotic cell death,GO:0070269 pyroptosis,GO:0030029 actin filament-based process,GO:0051301 cell division,GO:0000226 microtubule cytoskeleton organization,GO:0030036 actin cytoskeleton organization
1,1,1,0,1,1,-6.784181261873726,-6.216801700768029,-4.867863005938768,0.0,-4.666743196306936,-3.450124796253182,GO:0065007,biological regulation,M111011,5,GO:0051336 regulation of hydrolase activity,GO:0051336 regulation of hydrolase activity,GO:0007599 hemostasis,,GO:0032535 regulation of cellular component size,GO:0032535 regulation of cellular component size
1,1,1,1,1,1,-6.421817208459012,-9.580112352014385,-7.604515162954843,-3.0943806738751136,-8.27627644698526,-8.146408963047538,GO:0032502,developmental process,M111111,6,GO:0030097 hemopoiesis,GO:0030097 hemopoiesis,GO:0035239 tube morphogenesis,GO:0021692 cerebellar Purkinje cell layer morphogenesis,GO:0048598 embryonic morphogenesis,GO:0001501 skeletal system development
1,1,1,0,0,1,-5.547718738533025,-5.547718738533025,-3.306563622245626,0.0,0.0,-2.8901001898756626,GO:0042592,homeostatic process,M111001,4,GO:0048871 multicellular organismal-level homeostasis,GO:0048871 multicellular organismal-level homeostasis,GO:0019725 cellular homeostasis,,,GO:0010881 regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion
1,1,1,1,1,1,-5.135663858266247,-5.90805722935735,-22.56141499756293,-6.975909943605049,-2.965219152968843,-6.670569009158814,GO:0051179,localization,M111111,6,GO:1903829 positive regulation of protein localization,GO:0051046 regulation of secretion,GO:0048193 Golgi vesicle transport,GO:0034501 protein localization to kinetochore,GO:1903829 positive regulation of protein localization,GO:0051668 localization within membrane
1,1,0,1,1,0,-4.201057383614319,-2.634517911907393,0.0,-2.2956767235356708,-3.456915383306551,0.0,GO:0048511,rhythmic process,M110110,4,GO:0007623 circadian rhythm,GO:0007623 circadian rhythm,,GO:0048511 rhythmic process,GO:0048511 rhythmic process,
1,1,0,1,0,0,-3.4784470671371426,-24.653351669511064,0.0,-2.4406212371310074,0.0,0.0,GO:0016032,viral process,M110100,3,GO:0048525 negative regulation of viral process,GO:1903900 regulation of viral life cycle,,GO:0048524 positive regulation of viral process,,
1,1,0,0,1,1,-2.5277871269678065,-2.020820729913544,0.0,0.0,-3.067809414895347,-2.581312611137957,GO:0022414,reproductive process,M110011,4,GO:0044703 multi-organism reproductive process,GO:0048608 reproductive structure development,,,GO:0007281 germ cell development,GO:0001675 acrosome assembly
0,1,0,0,0,0,0.0,-2.3318642655590827,0.0,0.0,0.0,0.0,GO:0098754,detoxification,M010000,1,,GO:1990748 cellular detoxification,,,,
0,0,1,1,1,0,0.0,0.0,-4.101806786673496,-2.0831212269461923,-5.912368652034076,0.0,GO:0040007,growth,M001110,3,,,GO:0001558 regulation of cell growth,GO:0040008 regulation of growth,GO:0048589 developmental growth,
0,0,1,0,0,0,0.0,0.0,-2.500558120363145,0.0,0.0,0.0,GO:0043473,pigmentation,M001000,1,,,GO:0033059 cellular pigmentation,,,
