Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
modules_mes_black_sorted_top300,Hallmark Gene Sets,23,M5890,HALLMARK TNFA SIGNALING VIA NFKB,,-45,25,31,30293,200,249,41,16,2.4,329|330|687|1051|1942|2683|3383|3460|3552|3575|3604|4780|4790|4791|4792|4794|4973|5606|5743|5970|5971|6347|6352|6890|7128|7185|8061|8767|8837|8878|9242|9308|9945|10010|10318|11182|23764|24145|25816|80149|127544,BIRC2|BIRC3|KLF9|CEBPB|EFNA1|B4GALT1|ICAM1|IFNGR2|IL1A|IL7R|TNFRSF9|NFE2L2|NFKB1|NFKB2|NFKBIA|NFKBIE|OLR1|MAP2K3|PTGS2|RELA|RELB|CCL2|CCL5|TAP1|TNFAIP3|TRAF1|FOSL1|RIPK2|CFLAR|SQSTM1|MSC|CD83|GFPT2|TANK|TNIP1|SLC2A6|MAFF|PANX1|TNFAIP8|ZC3H12A|RNF19B,-41
modules_mes_black_sorted_top300,Reactome Gene Sets,6,R-HSA-1280215,Cytokine Signaling in Immune system,,-43,9.7,23,30293,787,249,63,25,2.8,329|330|2247|3383|3455|3459|3460|3552|3575|3576|3600|3604|3656|3718|4318|4502|4790|4791|4792|4793|4982|5293|5606|5682|5684|5685|5686|5687|5690|5691|5694|5704|5705|5707|5709|5717|5721|5743|5782|5970|5971|6347|6352|6464|6597|6772|6810|7157|7186|7187|7297|8767|8784|8809|8878|8995|9235|9446|9466|10148|23511|81603|92610,BIRC2|BIRC3|FGF2|ICAM1|IFNAR2|IFNGR1|IFNGR2|IL1A|IL7R|CXCL8|IL15|TNFRSF9|IRAK2|JAK3|MMP9|MT2A|NFKB1|NFKB2|NFKBIA|NFKBIB|TNFRSF11B|PIK3CD|MAP2K3|PSMA1|PSMA3|PSMA4|PSMA5|PSMA6|PSMB2|PSMB3|PSMB6|PSMC4|PSMC5|PSMD1|PSMD3|PSMD11|PSME2|PTGS2|PTPN12|RELA|RELB|CCL2|CCL5|SHC1|SMARCA4|STAT1|STX4|TP53|TRAF2|TRAF3|TYK2|RIPK2|TNFRSF18|IL18R1|SQSTM1|TNFSF18|IL32|GSTO1|IL27RA|EBI3|NUP188|TRIM8|TIFA,-40
modules_mes_black_sorted_top300,Reactome Gene Sets,6,R-HSA-449147,Signaling by Interleukins,,-38,13,23,30293,473,249,49,20,2.5,2247|3383|3552|3575|3576|3600|3656|3718|4318|4790|4791|4792|4793|5293|5606|5682|5684|5685|5686|5687|5690|5691|5694|5704|5705|5707|5709|5717|5721|5743|5782|5970|6347|6352|6464|6597|6772|6810|7157|7186|7297|8767|8809|8878|9235|9446|9466|10148|92610,FGF2|ICAM1|IL1A|IL7R|CXCL8|IL15|IRAK2|JAK3|MMP9|NFKB1|NFKB2|NFKBIA|NFKBIB|PIK3CD|MAP2K3|PSMA1|PSMA3|PSMA4|PSMA5|PSMA6|PSMB2|PSMB3|PSMB6|PSMC4|PSMC5|PSMD1|PSMD3|PSMD11|PSME2|PTGS2|PTPN12|RELA|CCL2|CCL5|SHC1|SMARCA4|STAT1|STX4|TP53|TRAF2|TYK2|RIPK2|IL18R1|SQSTM1|IL32|GSTO1|IL27RA|EBI3|TIFA,-36
modules_mes_black_sorted_top300,Reactome Gene Sets,6,R-HSA-9020702,Interleukin-1 signaling,,-29,28,26,30293,115,249,26,10,1.9,3552|3656|4790|4791|4792|4793|5682|5684|5685|5686|5687|5690|5691|5694|5704|5705|5707|5709|5717|5721|5970|7157|7186|8767|8878|92610,IL1A|IRAK2|NFKB1|NFKB2|NFKBIA|NFKBIB|PSMA1|PSMA3|PSMA4|PSMA5|PSMA6|PSMB2|PSMB3|PSMB6|PSMC4|PSMC5|PSMD1|PSMD3|PSMD11|PSME2|RELA|TP53|TRAF2|RIPK2|SQSTM1|TIFA,-27
modules_mes_black_sorted_top300,Reactome Gene Sets,6,R-HSA-446652,Interleukin-1 family signaling,,-29,22,24,30293,153,249,28,11,2,3552|3656|4790|4791|4792|4793|5682|5684|5685|5686|5687|5690|5691|5694|5704|5705|5707|5709|5717|5721|5782|5970|7157|7186|8767|8809|8878|92610,IL1A|IRAK2|NFKB1|NFKB2|NFKBIA|NFKBIB|PSMA1|PSMA3|PSMA4|PSMA5|PSMA6|PSMB2|PSMB3|PSMB6|PSMC4|PSMC5|PSMD1|PSMD3|PSMD11|PSME2|PTPN12|RELA|TP53|TRAF2|RIPK2|IL18R1|SQSTM1|TIFA,-27
modules_mes_black_sorted_top300,GO Biological Processes,19,GO:0071345,cellular response to cytokine stimulus,19_GO:0050896 response to stimulus,-28,7.9,17,30293,736,249,48,19,2.5,329|330|355|965|1984|3383|3455|3459|3460|3552|3575|3576|3600|3656|3718|4502|4780|4790|4792|5970|6347|6352|6354|6376|6772|6810|7157|7185|7186|7187|7297|7424|8061|8767|8784|8809|8828|8995|9076|9125|9242|9466|9641|9945|10010|10148|64332|80149,BIRC2|BIRC3|FAS|CD58|EIF5A|ICAM1|IFNAR2|IFNGR1|IFNGR2|IL1A|IL7R|CXCL8|IL15|IRAK2|JAK3|MT2A|NFE2L2|NFKB1|NFKBIA|RELA|CCL2|CCL5|CCL7|CX3CL1|STAT1|STX4|TP53|TRAF1|TRAF2|TRAF3|TYK2|VEGFC|FOSL1|RIPK2|TNFRSF18|IL18R1|NRP2|TNFSF18|CLDN1|CNOT9|MSC|IL27RA|IKBKE|GFPT2|TANK|EBI3|NFKBIZ|ZC3H12A,-26
modules_mes_black_sorted_top300,KEGG Pathway,24,hsa05169,Epstein-Barr virus infection,,-28,18,22,30293,202,249,30,12,2.1,355|637|965|3383|3455|3718|4790|4791|4792|4793|4794|5293|5606|5704|5705|5707|5709|5717|5970|5971|6772|6890|6892|7128|7157|7186|7187|7297|9641|11047,FAS|BID|CD58|ICAM1|IFNAR2|JAK3|NFKB1|NFKB2|NFKBIA|NFKBIB|NFKBIE|PIK3CD|MAP2K3|PSMC4|PSMC5|PSMD1|PSMD3|PSMD11|RELA|RELB|STAT1|TAP1|TAPBP|TNFAIP3|TP53|TRAF2|TRAF3|TYK2|IKBKE|ADRM1,-26
modules_mes_black_sorted_top300,KEGG Pathway,24,hsa04668,TNF signaling pathway,,-28,27,25,30293,114,249,25,10,1.9,329|330|355|1051|1540|3383|3600|4318|4790|4792|5293|5606|5743|5970|6347|6352|6376|7128|7185|7186|7187|7424|8809|8837|197259,BIRC2|BIRC3|FAS|CEBPB|CYLD|ICAM1|IL15|MMP9|NFKB1|NFKBIA|PIK3CD|MAP2K3|PTGS2|RELA|CCL2|CCL5|CX3CL1|TNFAIP3|TRAF1|TRAF2|TRAF3|VEGFC|IL18R1|CFLAR|MLKL,-26
modules_mes_black_sorted_top300,Reactome Gene Sets,6,R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,,-28,29,25,30293,102,249,24,9.6,1.9,329|330|3604|4791|4982|5682|5684|5685|5686|5687|5690|5691|5694|5704|5705|5707|5709|5717|5721|5971|7186|7187|8784|8995,BIRC2|BIRC3|TNFRSF9|NFKB2|TNFRSF11B|PSMA1|PSMA3|PSMA4|PSMA5|PSMA6|PSMB2|PSMB3|PSMB6|PSMC4|PSMC5|PSMD1|PSMD3|PSMD11|PSME2|RELB|TRAF2|TRAF3|TNFRSF18|TNFSF18,-26
modules_mes_black_sorted_top300,GO Biological Processes,19,GO:0019221,cytokine-mediated signaling pathway,19_GO:0050896 response to stimulus,-27,11,19,30293,383,249,36,14,2.2,329|330|355|1984|3455|3459|3460|3552|3575|3576|3600|3656|3718|4792|5970|6347|6352|6354|6376|6772|7157|7185|7186|7187|7297|8061|8767|8784|8809|8995|9125|9466|9641|10010|10148|64332,BIRC2|BIRC3|FAS|EIF5A|IFNAR2|IFNGR1|IFNGR2|IL1A|IL7R|CXCL8|IL15|IRAK2|JAK3|NFKBIA|RELA|CCL2|CCL5|CCL7|CX3CL1|STAT1|TP53|TRAF1|TRAF2|TRAF3|TYK2|FOSL1|RIPK2|TNFRSF18|IL18R1|TNFSF18|CNOT9|IL27RA|IKBKE|TANK|EBI3|NFKBIZ,-25
