_MEMBER_modules_mes_black_sorted_top300,_MEMBER_modules_mes_blue_sorted_top300,_MEMBER_modules_mes_green_sorted_top300,_MEMBER_modules_mes_grey_sorted_top300,_MEMBER_modules_mes_pink_sorted_top300,_MEMBER_modules_mes_red_sorted_top300,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,1,0,0,0,0,-9.4,-34,0,0,0,0,C2363741,M110000,2,0,DisGeNET,35,HIV-1 infection,,-34,8.1,19,30293,695,300,56,19,2.2,103|196|567|684|834|958|972|1116|1435|1786|3105|3106|3107|3133|3134|3135|3553|3569|3572|3627|3659|3665|3669|3965|4061|4600|5337|5359|5371|5610|6373|6737|6891|7037|7097|7098|7133|8542|8626|8743|8914|9023|9246|9636|9839|10346|10673|11274|23158|23586|23636|25939|51752|60489|64167|200316,ADAR|AHR|B2M|BST2|CASP1|CD40|CD74|CHI3L1|CSF1|DNMT1|HLA-A|HLA-B|HLA-C|HLA-E|HLA-F|HLA-G|IL1B|IL6|IL6ST|CXCL10|IRF1|IRF7|ISG20|LGALS9|LY6E|MX2|PLD1|PLSCR1|PML|EIF2AK2|CXCL11|TRIM21|TAP2|TFRC|TLR2|TLR3|TNFRSF1B|APOL1|TP63|TNFSF10|TIMELESS|CH25H|UBE2L6|ISG15|ZEB2|TRIM22|TNFSF13B|USP18|TBC1D9|RIGI|NUP62|SAMHD1|ERAP1|APOBEC3G|ERAP2|APOBEC3F,-30,0
1,1,0,0,0,0,-21,-28,0,0,0,0,C3714514,M110000,2,0,DisGeNET,35,Infection,,-28,9,18,30293,491,300,44,15,2,103|834|958|1956|2495|3105|3106|3107|3133|3135|3431|3433|3553|3569|3627|3659|3665|3838|4599|4615|4938|5371|5610|5696|5806|6364|6374|6648|6891|7097|7098|7133|7412|8743|10135|10346|10673|23586|23636|54809|60489|64135|150372|200316,ADAR|CASP1|CD40|EGFR|FTH1|HLA-A|HLA-B|HLA-C|HLA-E|HLA-G|SP110|IFIT2|IL1B|IL6|CXCL10|IRF1|IRF7|KPNA2|MX1|MYD88|OAS1|PML|EIF2AK2|PSMB8|PTX3|CCL20|CXCL5|SOD2|TAP2|TLR2|TLR3|TNFRSF1B|VCAM1|TNFSF10|NAMPT|TRIM22|TNFSF13B|RIGI|NUP62|SAMD9|APOBEC3G|IFIH1|NFAM1|APOBEC3F,-24,0
1,1,0,0,0,0,-10,-27,0,0,0,0,C0524910,M110000,2,0,DisGeNET,35,"Hepatitis C, Chronic",,-27,9.6,18,30293,430,300,41,14,2,718|1116|1326|1956|3105|3106|3107|3133|3430|3553|3569|3601|3627|3659|3660|3665|3669|3959|3965|4312|4599|4938|4939|5610|5696|5771|5806|6373|6648|6776|6891|7037|7097|7098|7114|9636|10346|23158|23586|64135|168667,C3|CHI3L1|MAP3K8|EGFR|HLA-A|HLA-B|HLA-C|HLA-E|IFI35|IL1B|IL6|IL15RA|CXCL10|IRF1|IRF2|IRF7|ISG20|LGALS3BP|LGALS9|MMP1|MX1|OAS1|OAS2|EIF2AK2|PSMB8|PTPN2|PTX3|CXCL11|SOD2|STAT5A|TAP2|TFRC|TLR2|TLR3|TMSB4X|ISG15|TRIM22|TBC1D9|RIGI|IFIH1|BMPER,-24,0
1,1,0,0,0,0,-15,-26,0,0,0,0,C0021368,M110000,2,0,DisGeNET,35,Inflammation,,-26,8.9,17,30293,467,300,41,14,2,103|196|623|624|718|834|958|961|1116|1435|1947|1956|1999|2643|2919|2920|3553|3569|3627|3659|3665|4312|4615|5321|5734|5806|6364|6372|6373|7037|7097|7098|7114|7412|8743|8989|9536|9966|10135|10673|58191,ADAR|AHR|BDKRB1|BDKRB2|C3|CASP1|CD40|CD47|CHI3L1|CSF1|EFNB1|EGFR|ELF3|GCH1|CXCL1|CXCL2|IL1B|IL6|CXCL10|IRF1|IRF7|MMP1|MYD88|PLA2G4A|PTGER4|PTX3|CCL20|CXCL6|CXCL11|TFRC|TLR2|TLR3|TMSB4X|VCAM1|TNFSF10|TRPA1|PTGES|TNFSF15|NAMPT|TNFSF13B|CXCL16,-22,0
1,1,0,0,0,0,-7.8,-26,0,0,0,0,C1290884,M110000,2,0,DisGeNET,35,Inflammatory disorder,,-26,9.8,18,30293,391,300,38,13,1.9,103|196|567|602|834|958|1116|1326|1435|1786|1956|2826|3105|3106|3107|3553|3569|3572|3627|3669|4217|4312|4615|5696|5698|5699|5771|5806|6364|6794|7097|7098|7412|8743|9536|25939|51752|144811,ADAR|AHR|B2M|BCL3|CASP1|CD40|CHI3L1|MAP3K8|CSF1|DNMT1|EGFR|CCR10|HLA-A|HLA-B|HLA-C|IL1B|IL6|IL6ST|CXCL10|ISG20|MAP3K5|MMP1|MYD88|PSMB8|PSMB9|PSMB10|PTPN2|PTX3|CCL20|STK11|TLR2|TLR3|VCAM1|TNFSF10|PTGES|SAMHD1|ERAP1|LACC1,-22,0
1,1,0,0,0,0,-11,-23,0,0,0,0,C0375023,M110000,2,0,DisGeNET,35,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,,-23,8.2,16,30293,467,300,38,13,1.9,196|567|684|834|958|1116|1956|2919|2920|3105|3107|3429|3553|3569|3627|3659|3665|4327|4615|5371|5610|5696|5698|6364|6374|6776|7098|7412|7706|8626|9636|9881|10673|23586|64135|79132|83666|84166,AHR|B2M|BST2|CASP1|CD40|CHI3L1|EGFR|CXCL1|CXCL2|HLA-A|HLA-C|IFI27|IL1B|IL6|CXCL10|IRF1|IRF7|MMP19|MYD88|PML|EIF2AK2|PSMB8|PSMB9|CCL20|CXCL5|STAT5A|TLR3|VCAM1|TRIM25|TP63|ISG15|TRANK1|TNFSF13B|RIGI|IFIH1|DHX58|PARP9|NLRC5,-20,0
1,1,0,0,0,0,-14,-22,0,0,0,0,C3714636,M110000,2,0,DisGeNET,35,Pneumonitis,,-22,6.4,14,30293,696,300,44,15,2,196|231|623|834|958|972|1116|1326|1435|1520|1956|2919|2920|3107|3133|3553|3569|3572|3627|3669|3965|4615|4940|5321|5337|5734|5806|6364|6374|6385|6648|6737|6868|7037|7097|7098|7133|7412|8914|8989|9536|10379|64135|83666,AHR|AKR1B1|BDKRB1|CASP1|CD40|CD74|CHI3L1|MAP3K8|CSF1|CTSS|EGFR|CXCL1|CXCL2|HLA-C|HLA-E|IL1B|IL6|IL6ST|CXCL10|ISG20|LGALS9|MYD88|OAS3|PLA2G4A|PLD1|PTGER4|PTX3|CCL20|CXCL5|SDC4|SOD2|TRIM21|ADAM17|TFRC|TLR2|TLR3|TNFRSF1B|VCAM1|TIMELESS|TRPA1|PTGES|IRF9|IFIH1|PARP9,-19,0
1,1,0,0,0,0,-9.1,-22,0,0,0,0,C0151517,M110000,2,0,DisGeNET,35,Complete atrioventricular block,,-22,8.8,16,30293,403,300,35,12,1.9,103|718|834|958|1116|1786|3105|3106|3107|3133|3135|3553|3569|3627|3665|3669|3959|3965|4343|5698|6372|6737|6868|6891|7097|7098|7133|8743|10135|10673|11274|23158|23586|60489|64135,ADAR|C3|CASP1|CD40|CHI3L1|DNMT1|HLA-A|HLA-B|HLA-C|HLA-E|HLA-G|IL1B|IL6|CXCL10|IRF7|ISG20|LGALS3BP|LGALS9|MOV10|PSMB9|CXCL6|TRIM21|ADAM17|TAP2|TLR2|TLR3|TNFRSF1B|TNFSF10|NAMPT|TNFSF13B|USP18|TBC1D9|RIGI|APOBEC3G|IFIH1,-19,0
1,1,1,0,0,0,-13,-21,-2.5,0,0,0,C0011311,M111000,3,0,DisGeNET,35,Dengue Fever,,-21,9.3,16,30293,360,300,33,11,1.8,103|196|684|1956|2537|2811|3105|3106|3107|3133|3553|3569|3627|3659|3665|3838|3965|4615|4938|4939|4940|5025|6373|6891|7097|7098|7412|8542|8743|8914|23586|64135|85441,ADAR|AHR|BST2|EGFR|IFI6|GP1BA|HLA-A|HLA-B|HLA-C|HLA-E|IL1B|IL6|CXCL10|IRF1|IRF7|KPNA2|LGALS9|MYD88|OAS1|OAS2|OAS3|P2RX4|CXCL11|TAP2|TLR2|TLR3|VCAM1|APOL1|TNFSF10|TIMELESS|RIGI|IFIH1|HELZ2,-18,0
1,1,0,0,0,0,-6.5,-21,0,0,0,0,C0221056,M110000,2,0,DisGeNET,35,Adult type dermatomyositis,,-21,13,17,30293,218,300,27,9,1.7,834|958|1116|2537|3105|3106|3107|3553|3569|3572|3627|3669|4312|4599|5552|6373|6737|6868|7098|7133|9636|10673|11274|23586|23636|51191|64135,CASP1|CD40|CHI3L1|IFI6|HLA-A|HLA-B|HLA-C|IL1B|IL6|IL6ST|CXCL10|ISG20|MMP1|MX1|SRGN|CXCL11|TRIM21|ADAM17|TLR3|TNFRSF1B|ISG15|TNFSF13B|USP18|RIGI|NUP62|HERC5|IFIH1,-18,0
