GO,Description,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300
M41711,FAN OVARY CL9 PUTATIVE APOPTOTIC ENDOTHELIAL CELL,-7.506418500260352,-22.25868084748409,-9.06116934499986,0.0,0.0,0.0
M41715,FAN OVARY CL13 MONOCYTE MACROPHAGE,-21.057022463949636,-21.057022463949636,-6.052237731944495,0.0,0.0,0.0
M41698,TRAVAGLINI LUNG TREM2 DENDRITIC CELL,-12.86309327735494,-20.59181334610347,-4.72384902474972,0.0,-3.690400321095696,0.0
M41697,TRAVAGLINI LUNG EREG DENDRITIC CELL,-23.215583859001875,-17.714333631812224,-7.667589608390644,0.0,0.0,-2.262970761188921
M41700,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,-38.73141171560841,-44.167389100775374,-13.118079509899108,0.0,0.0,-2.5859063797398534
M39174,MURARO PANCREAS ACINAR CELL,-11.58591403734681,-27.481011672649352,-7.026720910363787,0.0,0.0,-4.322837151878916
M41720,FAN OVARY CL18 B LYMPHOCYTE,-16.377338139159704,-7.265407599834422,-10.295488489437338,0.0,-2.471109895402869,-3.4773852841206554
M39175,MURARO PANCREAS MESENCHYMAL STROMAL CELL,-9.580112352014385,-3.306563622245626,-42.62724551989582,0.0,-2.8852360779611077,-22.34054001817311
M39264,HU FETAL RETINA FIBROBLAST,-4.462150675841191,-3.862800707044536,-9.45144759404208,0.0,-21.556490514227033,-11.095781315500645
M39021,FAN EMBRYONIC CTX BIG GROUPS BRAIN IMMUNE,0.0,-17.66425118030627,0.0,0.0,0.0,0.0
M39126,AIZARANI LIVER C25 KUPFFER CELLS 4,0.0,-15.023283714092436,0.0,0.0,0.0,0.0
M41709,FAN OVARY CL7 ANGEIOGENIC ENDOTHELIAL CELL,0.0,-18.24342943108715,-3.6587741401970066,0.0,0.0,0.0
M41679,TRAVAGLINI LUNG MESOTHELIAL CELL,-7.391397405649259,-22.227680478004814,0.0,0.0,0.0,0.0
M41692,TRAVAGLINI LUNG MACROPHAGE CELL,-3.719606830671825,-23.18491856129066,0.0,0.0,0.0,0.0
M39051,MANNO MIDBRAIN NEUROTYPES HMGL,-23.273677579313357,-20.45790096474456,0.0,0.0,-4.157828037173669,0.0
M39279,DURANTE ADULT OLFACTORY NEUROEPITHELIUM VASCULAR SMOOTH MUSCLE CELLS,-2.628247046741229,0.0,-4.39934063252112,0.0,0.0,-14.958421527318954
M41671,TRAVAGLINI LUNG AIRWAY SMOOTH MUSCLE CELL,0.0,0.0,-3.5798334083811763,0.0,0.0,-16.613371993819364
M41716,FAN OVARY CL14 MATURE SMOOTH MUSCLE CELL,0.0,0.0,-7.873879486153069,0.0,-2.4477112788498285,-18.17005876031117
M39036,FAN EMBRYONIC CTX NSC 2,0.0,0.0,0.0,-14.74616867744904,0.0,0.0
M39096,ZHONG PFC C1 OPC,0.0,0.0,0.0,-15.616572183974485,0.0,0.0
