GO,Description,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300
GO:0019221,cytokine-mediated signaling pathway,-25.870169698435017,-16.57159362786665,0.0,0.0,0.0,0.0
hsa05169,Epstein-Barr virus infection,-25.668378530128084,-14.85574662570164,0.0,0.0,0.0,0.0
GO:0050865,regulation of cell activation,-13.35493874157147,-11.829203671732458,0.0,0.0,0.0,0.0
GO:0006954,inflammatory response,-25.682945830975385,-20.86383003845513,0.0,0.0,0.0,0.0
M5890,HALLMARK TNFA SIGNALING VIA NFKB,-47.10541752464634,-25.8008403764667,0.0,0.0,0.0,0.0
M5913,HALLMARK INTERFERON GAMMA RESPONSE,-14.943651363469053,-100.0,0.0,0.0,0.0,0.0
GO:0002831,regulation of response to biotic stimulus,-15.809650463232352,-32.6660428460937,0.0,0.0,0.0,0.0
GO:0032103,positive regulation of response to external stimulus,-14.798240763678503,-24.84888594247889,0.0,0.0,0.0,0.0
M5932,HALLMARK INFLAMMATORY RESPONSE,-19.560479543172615,-25.8008403764667,0.0,0.0,0.0,0.0
GO:0009617,response to bacterium,-13.411899735538242,-28.103498682715053,0.0,0.0,0.0,0.0
WP5115,Network map of SARS CoV 2 signaling pathway,-6.506610841256149,-24.659879947973696,0.0,0.0,0.0,0.0
hsa05171,Coronavirus disease - COVID-19,-5.406623856086006,-19.109296378938865,0.0,0.0,0.0,0.0
R-HSA-449147,Signaling by Interleukins,-35.48370167423081,-12.476444442211998,-2.0990409754247477,0.0,0.0,0.0
R-HSA-1280215,Cytokine Signaling in Immune system,-40.85103041242668,-50.76014580200001,-2.2517516757161995,0.0,0.0,0.0
GO:0001775,cell activation,-9.655823080253478,-15.483871529872637,-3.9145852499402713,0.0,0.0,0.0
GO:0002832,negative regulation of response to biotic stimulus,0.0,-19.8713736703424,0.0,0.0,0.0,0.0
M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,-6.938895846993578,-3.7357812151051575,-13.847412757259018,0.0,0.0,-14.943651363469053
R-HSA-1280218,Adaptive Immune System,-16.974243965883588,-16.182764724865116,-4.508401071285783,0.0,0.0,-3.1431345824446053
R-HSA-446203,Asparagine N-linked glycosylation,0.0,0.0,-26.035798225453473,0.0,0.0,-6.35340974005834
R-HSA-5653656,Vesicle-mediated transport,0.0,0.0,-20.72403406955736,-3.406842142123107,0.0,-11.078504061549394
