GO,Description,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.0,0.0,-6.542497032459519,-3.067584550801459,-2.238336917941721,-5.428443922787773
GO:0061024,membrane organization,0.0,0.0,-7.324767985915185,-2.4524729817997675,-2.815646353704515,-6.176138983763398
R-HSA-5653656,Vesicle-mediated transport,0.0,0.0,-20.72403406955736,-3.406842142123107,0.0,-11.078504061549394
R-HSA-381070,IRE1alpha activates chaperones,0.0,0.0,-16.089936239785462,0.0,0.0,-2.755408368091566
R-HSA-446203,Asparagine N-linked glycosylation,0.0,0.0,-26.035798225453473,0.0,0.0,-6.35340974005834
GO:0030036,actin cytoskeleton organization,0.0,-2.5004486283912675,-9.611452647968791,0.0,0.0,-11.101353089414868
hsa04144,Endocytosis,0.0,-4.3548166273734035,-3.6726850979789365,0.0,0.0,-4.3548166273734035
R-HSA-1474244,Extracellular matrix organization,0.0,-3.0544719367571376,-6.426406892520866,0.0,-2.5041275779465764,-8.829990749171618
GO:0051493,regulation of cytoskeleton organization,0.0,0.0,-2.2055441629264774,0.0,-6.511657759100439,-5.257897835294226
GO:0001501,skeletal system development,0.0,0.0,-2.802557104853658,0.0,-6.160098769212005,-8.146408963047538
GO:0061061,muscle structure development,0.0,0.0,-5.3036421644218255,0.0,-4.183022336956197,-7.194919083696761
GO:0031344,regulation of cell projection organization,0.0,0.0,-3.831118220191223,0.0,-6.536822580310473,-3.831118220191223
GO:0000902,cell morphogenesis,0.0,0.0,-5.294739287178047,0.0,-5.317204710486329,-2.4604965298383394
GO:0006900,vesicle budding from membrane,0.0,0.0,-9.368954867222575,0.0,-2.087377716736813,-4.826320386406355
GO:0009792,embryo development ending in birth or egg hatching,-2.137000964178215,0.0,-5.403321213648027,0.0,-6.570742775217209,-3.386286097473794
GO:0007507,heart development,-2.3247292449691765,0.0,-3.6996057325354528,0.0,-4.773429523922527,-5.9075261862600525
M160,PID AVB3 INTEGRIN PATHWAY,0.0,0.0,0.0,0.0,0.0,-11.042445958835767
GO:0034976,response to endoplasmic reticulum stress,-3.3316000455045423,0.0,-9.844624320909015,0.0,0.0,0.0
hsa04141,Protein processing in endoplasmic reticulum,-2.1474929988648412,0.0,-15.221977425517062,0.0,0.0,0.0
R-HSA-2262752,Cellular responses to stress,-9.922914886984847,0.0,-9.278596182014738,0.0,0.0,0.0
