Gene,TotalEvidenceCounts,EvidenceHit:modules_mes_black_sorted_top300,EvidenceHit:modules_mes_blue_sorted_top300,EvidenceHit:modules_mes_green_sorted_top300,EvidenceHit:modules_mes_grey_sorted_top300,EvidenceHit:modules_mes_pink_sorted_top300,EvidenceHit:modules_mes_red_sorted_top300,EvidenceGO:modules_mes_black_sorted_top300,EvidenceGO:modules_mes_blue_sorted_top300,EvidenceGO:modules_mes_green_sorted_top300,EvidenceGO:modules_mes_grey_sorted_top300,EvidenceGO:modules_mes_pink_sorted_top300,EvidenceGO:modules_mes_red_sorted_top300,EvidencePPI:modules_mes_black_sorted_top300,EvidencePPI:modules_mes_blue_sorted_top300,EvidencePPI:modules_mes_green_sorted_top300,EvidencePPI:modules_mes_grey_sorted_top300,EvidencePPI:modules_mes_pink_sorted_top300,EvidencePPI:modules_mes_red_sorted_top300
199746,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3659,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
59269,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7169,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
10466,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
399687,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
11014,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
221692,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
685,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5087,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
3437,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
23371,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2982,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
633,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
55795,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7041,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
3627,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
79139,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1314,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
55276,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1942,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3276,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
24138,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29785,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10010,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6374,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5156,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
55143,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
64332,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6498,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
23210,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5971,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
51296,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7187,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
64748,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
10437,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9690,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1030,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
9212,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
54480,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10945,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
11119,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9570,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6672,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
920,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5350,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
6876,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
8974,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
533,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10252,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1407,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
221458,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3915,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
79792,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1028,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2879,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22801,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
93100,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
738,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
65977,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5686,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5690,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4784,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
11188,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
10076,3.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
338440,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
