Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-1474244,Extracellular matrix organization,,-18,4.9,12,30293,300,922,45,4.9,0.71,2|634|961|1277|1280|1281|1282|1285|1293|1294|1295|1301|1404|1634|2243|2244|2266|3339|3371|3383|3673|3678|3679|3694|3696|3918|4017|4038|4052|4313|4316|4318|4319|4323|4684|5155|5339|5802|6382|7448|9378|55214|56999|59277|169044,A2M|CEACAM1|CD47|COL1A1|COL2A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|COL11A1|HAPLN1|DCN|FGA|FGB|FGG|HSPG2|TNC|ICAM1|ITGA2|ITGA5|ITGA7|ITGB6|ITGB8|LAMC2|LOXL2|LRP4|LTBP1|MMP2|MMP7|MMP9|MMP10|MMP14|NCAM1|PDGFB|PLEC|PTPRS|SDC1|VTN|NRXN1|P3H2|ADAMTS9|NTN4|COL22A1,-15,MyList
Reactome Gene Sets,6,R-HSA-216083,Integrin cell surface interactions,,-13,8.1,12,30293,85,922,21,2.3,0.49,961|1277|1280|1281|1282|1285|1293|1294|1295|2243|2244|2266|3339|3371|3383|3673|3678|3679|3694|3696|7448,CD47|COL1A1|COL2A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|FGA|FGB|FGG|HSPG2|TNC|ICAM1|ITGA2|ITGA5|ITGA7|ITGB6|ITGB8|VTN,-10,MyList
Reactome Gene Sets,6,R-HSA-3000178,ECM proteoglycans,,-10,7.3,9.8,30293,76,922,17,1.8,0.44,1277|1280|1281|1282|1285|1293|1404|1634|3339|3371|3673|3679|3694|4038|4684|5802|7448,COL1A1|COL2A1|COL3A1|COL4A1|COL4A3|COL6A3|HAPLN1|DCN|HSPG2|TNC|ITGA2|ITGA7|ITGB6|LRP4|NCAM1|PTPRS|VTN,-7.1,MyList
Reactome Gene Sets,6,R-HSA-3000171,Non-integrin membrane-ECM interactions,,-9.7,8.4,10,30293,59,922,15,1.6,0.42,1277|1280|1281|1282|1285|1301|3339|3371|3673|3918|5155|6382|7448|9378|59277,COL1A1|COL2A1|COL3A1|COL4A1|COL4A3|COL11A1|HSPG2|TNC|ITGA2|LAMC2|PDGFB|SDC1|VTN|NRXN1|NTN4,-6.9,MyList
Reactome Gene Sets,6,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,,-8.5,7.5,9.1,30293,61,922,14,1.5,0.4,1277|1280|1281|1282|1285|1293|1294|1295|1301|3918|4017|4316|4318|5339,COL1A1|COL2A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|COL11A1|LAMC2|LOXL2|MMP7|MMP9|PLEC,-5.8,MyList
Reactome Gene Sets,6,R-HSA-1442490,Collagen degradation,,-8.2,7.2,8.8,30293,64,922,14,1.5,0.4,1277|1280|1281|1282|1285|1293|1294|1295|1301|4313|4316|4318|4319|4323,COL1A1|COL2A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|COL11A1|MMP2|MMP7|MMP9|MMP10|MMP14,-5.6,MyList
Reactome Gene Sets,6,R-HSA-1474290,Collagen formation,,-7.9,5.8,8.1,30293,90,922,16,1.7,0.43,1277|1280|1281|1282|1285|1293|1294|1295|1301|3918|4017|4316|4318|5339|55214|169044,COL1A1|COL2A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|COL11A1|LAMC2|LOXL2|MMP7|MMP9|PLEC|P3H2|COL22A1,-5.4,MyList
Reactome Gene Sets,6,R-HSA-109582,Hemostasis,,-7.9,2.5,6.6,30293,621,922,47,5.1,0.72,2|197|302|547|634|961|1048|1062|1277|1607|2243|2244|2266|2624|2791|3673|3678|3709|3833|3835|5099|5104|5155|5196|5327|5328|5516|5908|6382|6546|6547|6810|6850|7975|8503|9056|9123|10630|11004|22915|23657|23764|24137|26153|29106|54518|81027,A2M|AHSG|ANXA2|KIF1A|CEACAM1|CD47|CEACAM5|CENPE|COL1A1|DGKB|FGA|FGB|FGG|GATA2|GNG11|ITGA2|ITGA5|ITPR2|KIFC1|KIF22|PCDH7|SERPINA5|PDGFB|PF4|PLAT|PLAU|PPP2CB|RAP1B|SDC1|SLC8A1|SLC8A3|STX4|SYK|MAFK|PIK3R3|SLC7A7|SLC16A3|PDPN|KIF2C|MMRN1|SLC7A11|MAFF|KIF4A|KIF26A|SCG3|APBB1IP|TUBB1,-5.4,MyList
Reactome Gene Sets,6,R-HSA-1280215,Cytokine Signaling in Immune system,,-7.5,2.3,6.3,30293,787,922,54,5.9,0.77,301|302|330|332|1271|1440|2635|3106|3107|3119|3120|3123|3127|3383|3554|3557|3576|3589|3598|3669|3725|3726|3838|4050|4055|4313|4318|4502|4582|4684|4791|5292|5516|5608|5803|5908|6382|6616|6657|6810|6850|6935|7291|8503|8878|9040|9235|9966|10197|10410|11074|51561|81027|84867,ANXA1|ANXA2|BIRC3|BIRC5|CNTFR|CSF3|GBP3|HLA-B|HLA-C|HLA-DQB1|HLA-DQB2|HLA-DRB1|HLA-DRB5|ICAM1|IL1R1|IL1RN|CXCL8|IL11|IL13RA2|ISG20|JUN|JUNB|KPNA2|LTB|LTBR|MMP2|MMP9|MT2A|MUC1|NCAM1|NFKB2|PIM1|PPP2CB|MAP2K6|PTPRZ1|RAP1B|SDC1|SNAP25|SOX2|STX4|SYK|ZEB1|TWIST1|PIK3R3|SQSTM1|UBE2M|IL32|TNFSF15|PSME3|IFITM3|TRIM31|IL23A|TUBB1|PTPN5,-5.1,MyList
Reactome Gene Sets,6,R-HSA-1474228,Degradation of the extracellular matrix,,-7.3,4.5,7.3,30293,140,922,19,2.1,0.47,2|1277|1280|1281|1282|1285|1293|1294|1295|1301|1634|3339|3918|4313|4316|4318|4319|4323|56999,A2M|COL1A1|COL2A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|COL11A1|DCN|HSPG2|LAMC2|MMP2|MMP7|MMP9|MMP10|MMP14|ADAMTS9,-4.9,MyList
