_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-25,C0153381,M1,1,0,DisGeNET,35,Malignant neoplasm of mouth,,-25,3.7,13,30293,756,922,85,9.2,0.95,301|302|332|602|701|768|875|894|961|991|1285|1356|1361|1440|1630|1634|1647|1789|1910|2191|2243|2273|3119|3215|3236|3237|3315|3339|3371|3383|3486|3576|3725|3726|3854|3958|4017|4050|4070|4085|4313|4316|4318|4319|4323|4582|4804|4851|5104|5243|5292|5328|5347|5803|5806|6382|6657|7291|7481|8434|8842|8878|9052|9123|9314|9518|9547|9697|10197|10630|22915|22943|23452|23657|24137|51561|54855|57111|57214|57402|79727|79888|79977|83461|116844,ANXA1|ANXA2|BIRC5|BCL3|BUB1B|CA9|CBS|CCND2|CD47|CDC20|COL4A3|CP|CPB2|CSF3|DCC|DCN|GADD45A|DNMT3B|EDNRB|FAP|FGA|FHL1|HLA-DQB1|HOXB5|HOXD10|HOXD11|HSPB1|HSPG2|TNC|ICAM1|IGFBP3|CXCL8|JUN|JUNB|KRT6B|LGALS3|LOXL2|LTB|TACSTD2|MAD2L1|MMP2|MMP7|MMP9|MMP10|MMP14|MUC1|NGFR|NOTCH1|SERPINA5|ABCB1|PIM1|PLAU|PLK1|PTPRZ1|PTX3|SDC1|SOX2|TWIST1|WNT11|RECK|PROM1|SQSTM1|GPRC5A|SLC16A3|KLF4|GDF15|CXCL14|TRAM2|PSME3|PDPN|MMRN1|DKK1|ANGPTL2|SLC7A11|KIF4A|IL23A|TENT5C|RAB25|CEMIP|S100A14|LIN28A|LPCAT1|GRHL2|CDCA3|LRG1,-21,0
1,-22,C0030297,M1,1,0,DisGeNET,35,Pancreatic Neoplasm,,-22,3.5,13,30293,764,922,82,8.9,0.94,238|302|332|675|699|768|886|961|1028|1030|1048|1440|1469|1630|1634|1647|2255|2258|2562|3383|3397|3576|3651|3673|3725|3958|4070|4286|4313|4316|4318|4319|4323|4582|4583|4684|4804|4851|4885|4914|4916|5209|5210|5243|5327|5328|5339|5347|5366|5649|5764|6240|6382|6423|6657|6876|7031|7052|7291|7295|7448|8404|8434|8470|8553|8842|9201|9212|9232|9314|9518|9547|10763|22915|23022|23657|27319|54474|55655|56667|64399|80312,ALK|ANXA2|BIRC5|BRCA2|BUB1|CA9|CCKAR|CD47|CDKN1C|CDKN2B|CEACAM5|CSF3|CST1|DCC|DCN|GADD45A|FGF10|FGF13|GABRB3|ICAM1|ID1|CXCL8|PDX1|ITGA2|JUN|LGALS3|TACSTD2|MITF|MMP2|MMP7|MMP9|MMP10|MMP14|MUC1|MUC2|NCAM1|NGFR|NOTCH1|NPTX2|NTRK1|NTRK3|PFKFB3|PFKFB4|ABCB1|PLAT|PLAU|PLEC|PLK1|PMAIP1|RELN|PTN|RRM1|SDC1|SFRP2|SOX2|TAGLN|TFF1|TGM2|TWIST1|TXN|VTN|SPARCL1|RECK|SORBS2|BHLHE40|PROM1|DCLK1|AURKB|PTTG1|KLF4|GDF15|CXCL14|NES|MMRN1|PALLD|SLC7A11|BHLHE22|KRT20|NLRP2|MUC13|HHIP|TET1,-19,0
1,-22,C0521158,M1,1,0,DisGeNET,35,Recurrent tumor,,-22,3.5,12,30293,735,922,79,8.6,0.92,238|332|675|701|796|846|961|1012|1015|1030|1048|1062|1063|1087|1280|1630|1647|1910|2114|2180|2258|2346|2984|3315|3371|3397|3418|3486|3557|3576|3642|3694|3835|3918|3958|4084|4144|4176|4288|4313|4316|4318|4582|4851|5104|5347|6374|6657|6850|6855|6935|7031|7052|7153|7168|7295|7448|8277|8842|8878|9212|9314|9518|9970|10215|10630|11178|22943|23089|23657|26509|29968|54474|57761|79888|81610|166824|339896|644943,ALK|BIRC5|BRCA2|BUB1B|CALCA|CASR|CD47|CDH13|CDH17|CDKN2B|CEACAM5|CENPE|CENPF|CEACAM7|COL2A1|DCC|GADD45A|EDNRB|ETS2|ACSL1|FGF13|FOLH1|GUCY2C|HSPB1|TNC|ID1|IDH2|IGFBP3|IL1RN|CXCL8|INSM1|ITGB6|KIF22|LAMC2|LGALS3|MXD1|MAT2A|MCM7|MKI67|MMP2|MMP7|MMP9|MUC1|NOTCH1|SERPINA5|PLK1|CXCL5|SOX2|SYK|SYP|ZEB1|TFF1|TGM2|TOP2A|TPM1|TXN|VTN|TKTL1|PROM1|SQSTM1|AURKB|KLF4|GDF15|NR1I3|OLIG2|PDPN|LZTS1|DKK1|PEG10|SLC7A11|MYOF|PSAT1|KRT20|TRIB3|LPCAT1|FAM83D|RASSF6|GADL1|RASSF10,-19,0
1,-21,C0555198,M1,1,0,DisGeNET,35,Malignant Glioma,,-21,3.5,12,30293,724,922,77,8.4,0.91,301|302|332|577|675|768|796|846|894|1028|1030|1356|1630|1634|1647|2012|2173|2346|2697|2913|3106|3107|3209|3371|3383|3418|3576|3598|3679|3958|4023|4052|4070|4288|4313|4318|4323|4804|4885|4914|4916|5080|5155|5243|5328|5347|5764|6382|6657|6900|7070|7153|7448|7538|8434|8842|9068|9211|9212|9518|9547|9970|10215|10630|10763|11170|22943|23089|27319|55859|55966|57556|64067|64321|79727|259266|339896,ANXA1|ANXA2|BIRC5|ADGRB3|BRCA2|CA9|CALCA|CASR|CCND2|CDKN1C|CDKN2B|CP|DCC|DCN|GADD45A|EMP1|FABP7|FOLH1|GJA1|GRM3|HLA-B|HLA-C|HOXA13|TNC|ICAM1|IDH2|CXCL8|IL13RA2|ITGA7|LGALS3|LPL|LTBP1|TACSTD2|MKI67|MMP2|MMP9|MMP14|NGFR|NPTX2|NTRK1|NTRK3|PAX6|PDGFB|ABCB1|PLAU|PLK1|PTN|SDC1|SOX2|CNTN2|THY1|TOP2A|VTN|ZFP36|RECK|PROM1|ANGPTL1|LGI1|AURKB|GDF15|CXCL14|NR1I3|OLIG2|PDPN|NES|FAM107A|DKK1|PEG10|BHLHE22|BEX1|AJAP1|SEMA6A|NPAS3|SOX17|LIN28A|ASPM|GADL1,-18,0
1,-21,C0220641,M1,1,0,DisGeNET,35,Lip and Oral Cavity Carcinoma,,-21,3.4,12,30293,734,922,77,8.4,0.91,332|602|701|768|875|894|961|991|1285|1356|1361|1440|1630|1634|1647|1789|1910|2191|2273|3119|3215|3339|3371|3383|3486|3576|3725|3958|4017|4050|4070|4085|4313|4316|4318|4319|4323|4582|4804|4851|5104|5243|5292|5328|5347|5803|5806|6382|6423|6657|7291|7481|8434|8842|8878|9052|9123|9314|9518|9547|9697|9839|10197|10630|22915|22943|23452|23657|24137|51561|57111|57214|57402|79888|79977|83461|116844,BIRC5|BCL3|BUB1B|CA9|CBS|CCND2|CD47|CDC20|COL4A3|CP|CPB2|CSF3|DCC|DCN|GADD45A|DNMT3B|EDNRB|FAP|FHL1|HLA-DQB1|HOXB5|HSPG2|TNC|ICAM1|IGFBP3|CXCL8|JUN|LGALS3|LOXL2|LTB|TACSTD2|MAD2L1|MMP2|MMP7|MMP9|MMP10|MMP14|MUC1|NGFR|NOTCH1|SERPINA5|ABCB1|PIM1|PLAU|PLK1|PTPRZ1|PTX3|SDC1|SFRP2|SOX2|TWIST1|WNT11|RECK|PROM1|SQSTM1|GPRC5A|SLC16A3|KLF4|GDF15|CXCL14|TRAM2|ZEB2|PSME3|PDPN|MMRN1|DKK1|ANGPTL2|SLC7A11|KIF4A|IL23A|RAB25|CEMIP|S100A14|LPCAT1|GRHL2|CDCA3|LRG1,-18,0
1,-20,C4086152,M1,1,0,DisGeNET,35,Childhood Astrocytoma,,-20,3.7,12,30293,615,922,69,7.5,0.87,2|107|238|301|429|846|894|961|991|1030|1440|1491|1641|2173|2596|2697|3371|3383|3400|3418|3486|3487|3576|3598|3725|3726|3958|4084|4288|4313|4316|4318|4582|4879|5209|5210|5243|5292|5320|5328|5339|5354|5420|6496|6506|6539|6657|6822|7020|7153|7291|7295|7448|8842|9212|9232|9590|9970|10133|10215|10763|22915|22974|27087|57556|64067|112399|259266|339896,A2M|ADCY1|ALK|ANXA1|ASCL1|CASR|CCND2|CD47|CDC20|CDKN2B|CSF3|CTH|DCX|FABP7|GAP43|GJA1|TNC|ICAM1|ID4|IDH2|IGFBP3|IGFBP4|CXCL8|IL13RA2|JUN|JUNB|LGALS3|MXD1|MKI67|MMP2|MMP7|MMP9|MUC1|NPPB|PFKFB3|PFKFB4|ABCB1|PIM1|PLA2G2A|PLAU|PLEC|PLP1|PODXL|SIX3|SLC1A2|SLC6A12|SOX2|SULT2A1|TFAP2A|TOP2A|TWIST1|TXN|VTN|PROM1|AURKB|PTTG1|AKAP12|NR1I3|OPTN|OLIG2|NES|MMRN1|TPX2|B3GAT1|SEMA6A|NPAS3|EGLN3|ASPM|GADL1,-17,0
1,-18,C0004936,M1,1,0,DisGeNET,35,Mental disorders,,-18,3.2,11,30293,789,922,76,8.2,0.91,2|117|467|577|623|796|886|1012|1137|1356|1613|1789|2042|2346|2697|2823|2890|2913|3106|3107|3339|3383|3557|3576|3725|3726|3855|3918|4318|4684|4804|4851|5021|5080|5142|5155|5243|5327|5454|5649|5972|6328|6506|6570|6616|6860|6886|7052|7101|7122|7295|9201|9248|9260|9378|10215|11074|11122|11211|11255|22941|22986|26470|27087|27319|29968|51477|54858|55117|57556|64067|84867|85300|259266|494470|613212,A2M|ADCYAP1R1|ATF3|ADGRB3|BDKRB1|CALCA|CCKAR|CDH13|CHRNA4|CP|DAPK3|DNMT3B|EPHA3|FOLH1|GJA1|GPM6A|GRIA1|GRM3|HLA-B|HLA-C|HSPG2|ICAM1|IL1RN|CXCL8|JUN|JUNB|KRT7|LAMC2|MMP9|NCAM1|NGFR|NOTCH1|OXTR|PAX6|PDE4B|PDGFB|ABCB1|PLAT|POU3F2|RELN|REN|SCN3A|SLC1A2|SLC18A1|SNAP25|SYT4|TAL1|TGM2|NR2E1|CLDN5|TXN|DCLK1|GPR50|PDLIM7|NRXN1|OLIG2|TRIM31|PTPRT|FZD10|HRH3|SHANK2|SORCS3|SEZ6L2|B3GAT1|BHLHE22|PSAT1|ISYNA1|PGPEP1|SLC6A15|SEMA6A|NPAS3|PTPN5|ATCAY|ASPM|ARK2C|CTXN3,-15,0
1,-18,C0553580,M1,1,0,DisGeNET,35,Ewings sarcoma,,-18,3.7,11,30293,517,922,59,6.4,0.81,238|345|796|846|894|1030|1440|1630|1910|1993|2042|2191|2346|2521|2697|3106|3107|3237|3315|3371|3486|3642|3725|3726|4318|4684|4821|4826|4851|4885|4914|4916|5063|5243|5347|5366|5649|6657|6850|6855|7070|7291|8503|8842|9212|9970|10763|22915|29968|54474|55885|56341|57124|64321|79727|84894|91607|222229|252995,ALK|APOC3|CALCA|CASR|CCND2|CDKN2B|CSF3|DCC|EDNRB|ELAVL2|EPHA3|FAP|FOLH1|FUS|GJA1|HLA-B|HLA-C|HOXD11|HSPB1|TNC|IGFBP3|INSM1|JUN|JUNB|MMP9|NCAM1|NKX2-2|NNAT|NOTCH1|NPTX2|NTRK1|NTRK3|PAK3|ABCB1|PLK1|PMAIP1|RELN|SOX2|SYK|SYP|THY1|TWIST1|PIK3R3|PROM1|AURKB|NR1I3|NES|MMRN1|PSAT1|KRT20|LMO3|PRMT8|CD248|SOX17|LIN28A|LINGO1|SLFN11|LRWD1|FNDC5,-15,0
1,-17,C1658953,M1,1,0,DisGeNET,35,tumor vasculature,,-17,5.9,12,30293,200,922,36,3.9,0.64,301|768|846|1012|1048|1491|1910|1942|2346|3371|3383|3576|3598|4071|4313|4318|4851|4858|5196|5209|5243|5328|5764|6423|8842|9966|9970|10763|22915|57124|57556|57758|59277|112399|116844|260293,ANXA1|CA9|CASR|CDH13|CEACAM5|CTH|EDNRB|EFNA1|FOLH1|TNC|ICAM1|CXCL8|IL13RA2|TM4SF1|MMP2|MMP9|NOTCH1|NOVA2|PF4|PFKFB3|ABCB1|PLAU|PTN|SFRP2|PROM1|TNFSF15|NR1I3|NES|MMRN1|CD248|SEMA6A|SCUBE2|NTN4|EGLN3|LRG1|CYP4X1,-14,0
1,-17,C0007138,M1,1,0,DisGeNET,35,"Carcinoma, Transitional Cell",,-17,3.4,11,30293,623,922,64,6.9,0.84,238|301|302|675|701|894|991|1030|1048|1087|1440|1630|1634|1789|1942|1993|1995|2042|2169|2346|2877|3169|3371|3418|3486|3488|3576|3678|3838|3958|4085|4288|4313|4316|4318|4323|4582|4684|4851|4914|5076|5243|5328|5347|5366|5972|6382|6657|6850|6855|7052|7122|7127|7291|8404|8434|8842|9123|9518|10395|10460|11178|51477|54474,ALK|ANXA1|ANXA2|BRCA2|BUB1B|CCND2|CDC20|CDKN2B|CEACAM5|CEACAM7|CSF3|DCC|DCN|DNMT3B|EFNA1|ELAVL2|ELAVL3|EPHA3|FABP2|FOLH1|GPX2|FOXA1|TNC|IDH2|IGFBP3|IGFBP5|CXCL8|ITGA5|KPNA2|LGALS3|MAD2L1|MKI67|MMP2|MMP7|MMP9|MMP14|MUC1|NCAM1|NOTCH1|NTRK1|PAX2|ABCB1|PLAU|PLK1|PMAIP1|REN|SDC1|SOX2|SYK|SYP|TGM2|CLDN5|TNFAIP2|TWIST1|SPARCL1|RECK|PROM1|SLC16A3|GDF15|DLC1|TACC3|LZTS1|ISYNA1|KRT20,-14,0
1,-16,C0175754,M1,1,0,DisGeNET,35,Agenesis of corpus callosum,,-16,3.4,11,30293,615,922,63,6.8,0.83,247|330|675|701|1063|1282|1356|1630|1641|1947|1993|2009|2018|2173|2346|2617|2619|3397|3576|3725|3726|3835|4318|4582|4851|5036|5063|5243|5292|5366|5396|6240|6299|6421|6496|6657|6658|6822|6855|6935|7153|7291|7545|7546|8842|9232|9839|11113|11255|22915|24137|27087|50674|63895|79633|79659|79727|83999|170302|259266|284403|339896|374654,ALOX15B|BIRC3|BRCA2|BUB1B|CENPF|COL4A1|CP|DCC|DCX|EFNB1|ELAVL2|EML1|EMX2|FABP7|FOLH1|GARS1|GAS1|ID1|CXCL8|JUN|JUNB|KIF22|MMP9|MUC1|NOTCH1|PA2G4|PAK3|ABCB1|PIM1|PMAIP1|PRRX1|RRM1|SALL1|SFPQ|SIX3|SOX2|SOX3|SULT2A1|SYP|ZEB1|TOP2A|TWIST1|ZIC1|ZIC2|PROM1|PTTG1|ZEB2|CIT|HRH3|MMRN1|KIF4A|B3GAT1|NEUROG3|PIEZO2|FAT4|DYNC2H1|LIN28A|KREMEN1|ARX|ASPM|WDR62|GADL1|KIF7,-14,0
1,-16,C0220650,M1,1,0,DisGeNET,35,Metastatic malignant neoplasm to brain,,-16,4.1,11,30293,392,922,49,5.3,0.74,238|301|675|846|1048|1087|1641|1993|2026|2173|2346|2596|2697|3169|3339|3486|3489|3576|3918|4313|4316|4318|4323|4804|4851|4914|5099|5104|5347|5806|6240|6382|6515|6935|7122|7153|7538|9314|9839|9970|10763|51561|57214|63967|79888|81849|150094|166824|339896,ALK|ANXA1|BRCA2|CASR|CEACAM5|CEACAM7|DCX|ELAVL2|ENO2|FABP7|FOLH1|GAP43|GJA1|FOXA1|HSPG2|IGFBP3|IGFBP6|CXCL8|LAMC2|MMP2|MMP7|MMP9|MMP14|NGFR|NOTCH1|NTRK1|PCDH7|SERPINA5|PLK1|PTX3|RRM1|SDC1|SLC2A3|ZEB1|CLDN5|TOP2A|ZFP36|KLF4|ZEB2|NR1I3|NES|IL23A|CEMIP|CLSPN|LPCAT1|ST6GALNAC5|SIK1|RASSF6|GADL1,-13,0
1,-16,C0002793,M1,1,0,DisGeNET,35,Anaplasia,,-16,3.5,11,30293,538,922,58,6.3,0.8,238|646|768|875|1028|1048|1087|1264|1277|1293|1440|1634|2026|2258|2274|2346|2697|3087|3371|3383|3397|3400|3576|3651|3725|3855|4144|4286|4288|4313|4318|4582|4760|4851|5076|5347|5972|6382|6657|6876|6935|7052|7070|8842|9075|9235|9241|9314|10197|10763|27111|29968|50674|54474|57214|64321|348093|729857,ALK|BNC1|CA9|CBS|CDKN1C|CEACAM5|CEACAM7|CNN1|COL1A1|COL6A3|CSF3|DCN|ENO2|FGF13|FHL2|FOLH1|GJA1|HHEX|TNC|ICAM1|ID1|ID4|CXCL8|PDX1|JUN|KRT7|MAT2A|MITF|MKI67|MMP2|MMP9|MUC1|NEUROD1|NOTCH1|PAX2|PLK1|REN|SDC1|SOX2|TAGLN|ZEB1|TGM2|THY1|PROM1|CLDN2|IL32|NOG|KLF4|PSME3|NES|SDCBP2|PSAT1|NEUROG3|KRT20|CEMIP|SOX17|RBPMS2|RGPD2,-13,0
1,-16,C0278510,M1,1,0,DisGeNET,35,Childhood Medulloblastoma,,-16,3,10,30293,771,922,71,7.7,0.88,238|675|718|846|894|1030|1440|1641|1789|1947|1993|2042|2045|2191|2697|2890|3418|3486|3642|3673|3678|3835|3918|4084|4176|4313|4318|4323|4760|4762|4804|4826|4851|4914|4916|5080|5243|5328|5339|5347|5972|6240|6382|6423|6506|6546|6616|6657|6855|7153|7545|7546|8842|9212|9232|9314|9590|9970|10215|10763|22943|23645|27133|51561|56884|57575|64399|79727|253738|259266|374569,ALK|BRCA2|C3|CASR|CCND2|CDKN2B|CSF3|DCX|DNMT3B|EFNB1|ELAVL2|EPHA3|EPHA7|FAP|GJA1|GRIA1|IDH2|IGFBP3|INSM1|ITGA2|ITGA5|KIF22|LAMC2|MXD1|MCM7|MMP2|MMP9|MMP14|NEUROD1|NEUROG1|NGFR|NNAT|NOTCH1|NTRK1|NTRK3|PAX6|ABCB1|PLAU|PLEC|PLK1|REN|RRM1|SDC1|SFRP2|SLC1A2|SLC8A1|SNAP25|SOX2|SYP|TOP2A|ZIC1|ZIC2|PROM1|AURKB|PTTG1|KLF4|AKAP12|NR1I3|OLIG2|NES|DKK1|PPP1R15A|KCNH5|IL23A|FSTL5|PCDH10|HHIP|LIN28A|EBF3|ASPM|ASPG,-13,0
