Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
26153,3.0,1,1,1
50863,3.0,1,1,1
3678,3.0,1,1,1
2346,3.0,1,1,1
3397,3.0,1,1,1
339983,3.0,1,1,1
1087,3.0,1,1,1
6570,3.0,1,1,1
57530,3.0,1,1,1
6616,3.0,1,1,1
1947,3.0,1,1,1
140453,3.0,1,1,1
2045,3.0,1,1,1
4038,3.0,1,1,1
170689,3.0,1,1,1
3673,3.0,1,1,1
9951,3.0,1,1,1
3107,3.0,1,1,1
9378,3.0,1,1,1
5339,3.0,1,1,1
3339,3.0,1,1,1
81027,3.0,1,1,1
4583,3.0,1,1,1
7448,3.0,1,1,1
6892,3.0,1,1,1
5080,3.0,1,1,1
27087,3.0,1,1,1
6542,3.0,1,1,1
5155,3.0,1,1,1
9982,3.0,1,1,1
339896,3.0,1,1,1
1280,3.0,1,1,1
3642,3.0,1,1,1
1136,3.0,1,1,1
4684,3.0,1,1,1
56978,3.0,1,1,1
55117,3.0,1,1,1
4319,3.0,1,1,1
1870,3.0,1,1,1
2243,3.0,1,1,1
3106,3.0,1,1,1
3726,3.0,1,1,1
3694,3.0,1,1,1
10675,3.0,1,1,1
9123,3.0,1,1,1
3127,3.0,1,1,1
2266,3.0,1,1,1
5328,3.0,1,1,1
4760,3.0,1,1,1
1030,3.0,1,1,1
93010,3.0,1,1,1
107,3.0,1,1,1
50944,3.0,1,1,1
7070,3.0,1,1,1
991,3.0,1,1,1
50614,3.0,1,1,1
5802,3.0,1,1,1
57761,3.0,1,1,1
11004,3.0,1,1,1
3838,3.0,1,1,1
4017,3.0,1,1,1
1440,3.0,1,1,1
4323,3.0,1,1,1
1212,3.0,1,1,1
1294,3.0,1,1,1
9040,3.0,1,1,1
1281,3.0,1,1,1
6810,3.0,1,1,1
1285,3.0,1,1,1
9839,3.0,1,1,1
57556,3.0,1,1,1
5104,3.0,1,1,1
10627,3.0,1,1,1
8434,3.0,1,1,1
22943,3.0,1,1,1
56999,3.0,1,1,1
1809,3.0,1,1,1
2255,3.0,1,1,1
55211,3.0,1,1,1
