Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
7070,3.0,1,1,1
7168,3.0,1,1,1
388,3.0,1,1,1
85301,3.0,1,1,1
2260,3.0,1,1,1
8633,3.0,1,1,1
4052,3.0,1,1,1
2719,3.0,1,1,1
59283,3.0,1,1,1
3910,3.0,1,1,1
6482,3.0,1,1,1
4185,3.0,1,1,1
4626,3.0,1,1,1
8291,3.0,1,1,1
81029,3.0,1,1,1
4325,3.0,1,1,1
6091,3.0,1,1,1
4747,3.0,1,1,1
1293,3.0,1,1,1
10893,3.0,1,1,1
64857,3.0,1,1,1
8325,3.0,1,1,1
6387,3.0,1,1,1
2683,3.0,1,1,1
1306,3.0,1,1,1
26762,3.0,1,1,1
169044,3.0,1,1,1
4038,3.0,1,1,1
3667,3.0,1,1,1
10550,3.0,1,1,1
805,3.0,1,1,1
3690,3.0,1,1,1
3800,3.0,1,1,1
780,3.0,1,1,1
729,3.0,1,1,1
6385,3.0,1,1,1
283208,3.0,1,1,1
2982,3.0,1,1,1
6285,3.0,1,1,1
9256,3.0,1,1,1
55701,3.0,1,1,1
10371,3.0,1,1,1
6657,3.0,1,1,1
6616,3.0,1,1,1
58,3.0,1,1,1
200958,3.0,1,1,1
7225,3.0,1,1,1
715,3.0,1,1,1
3798,3.0,1,1,1
90161,3.0,1,1,1
157506,3.0,1,1,1
23263,3.0,1,1,1
948,3.0,1,1,1
1294,3.0,1,1,1
633,3.0,1,1,1
6422,3.0,1,1,1
72,3.0,1,1,1
8654,3.0,1,1,1
1291,3.0,1,1,1
7412,3.0,1,1,1
2239,3.0,1,1,1
1292,3.0,1,1,1
1404,3.0,1,1,1
91584,3.0,1,1,1
716,3.0,1,1,1
51384,3.0,1,1,1
7169,3.0,1,1,1
54437,3.0,1,1,1
3911,3.0,1,1,1
50509,3.0,1,1,1
7134,3.0,1,1,1
51363,3.0,1,1,1
2192,3.0,1,1,1
27087,3.0,1,1,1
2495,3.0,1,1,1
2908,3.0,1,1,1
27092,3.0,1,1,1
1759,3.0,1,1,1
10082,3.0,1,1,1
655,3.0,1,1,1
154796,3.0,1,1,1
8549,3.0,1,1,1
25802,3.0,1,1,1
8912,3.0,1,1,1
4254,3.0,1,1,1
7057,3.0,1,1,1
10276,3.0,1,1,1
3084,3.0,1,1,1
730,3.0,1,1,1
57214,3.0,1,1,1
25,3.0,1,1,1
2006,3.0,1,1,1
4958,3.0,1,1,1
8076,3.0,1,1,1
9314,3.0,1,1,1
3038,3.0,1,1,1
27123,3.0,1,1,1
5549,3.0,1,1,1
8128,3.0,1,1,1
4656,3.0,1,1,1
3371,3.0,1,1,1
5243,3.0,1,1,1
170690,3.0,1,1,1
7481,3.0,1,1,1
8324,3.0,1,1,1
1363,3.0,1,1,1
5142,3.0,1,1,1
9075,3.0,1,1,1
64579,3.0,1,1,1
11095,3.0,1,1,1
2294,3.0,1,1,1
7273,3.0,1,1,1
116372,3.0,1,1,1
53616,3.0,1,1,1
50863,3.0,1,1,1
23705,3.0,1,1,1
50937,3.0,1,1,1
84570,3.0,1,1,1
1368,3.0,1,1,1
55366,3.0,1,1,1
6324,3.0,1,1,1
10486,3.0,1,1,1
57761,3.0,1,1,1
8754,3.0,1,1,1
2199,3.0,1,1,1
1592,3.0,1,1,1
3691,3.0,1,1,1
6383,3.0,1,1,1
146,3.0,1,1,1
8854,3.0,1,1,1
1302,3.0,1,1,1
4651,3.0,1,1,1
4753,3.0,1,1,1
5648,3.0,1,1,1
9211,3.0,1,1,1
6507,3.0,1,1,1
3091,3.0,1,1,1
6299,3.0,1,1,1
1393,3.0,1,1,1
1290,3.0,1,1,1
286133,3.0,1,1,1
6423,3.0,1,1,1
4322,3.0,1,1,1
59,3.0,1,1,1
649,3.0,1,1,1
2244,3.0,1,1,1
4062,3.0,1,1,1
2202,3.0,1,1,1
10319,3.0,1,1,1
89,3.0,1,1,1
5055,3.0,1,1,1
5270,3.0,1,1,1
11096,3.0,1,1,1
54829,3.0,1,1,1
1803,3.0,1,1,1
10398,3.0,1,1,1
960,3.0,1,1,1
83539,3.0,1,1,1
70,3.0,1,1,1
5080,3.0,1,1,1
64759,3.0,1,1,1
10894,3.0,1,1,1
5351,3.0,1,1,1
4053,3.0,1,1,1
22856,3.0,1,1,1
2697,3.0,1,1,1
2983,3.0,1,1,1
1307,3.0,1,1,1
1496,3.0,1,1,1
9955,3.0,1,1,1
4045,3.0,1,1,1
10516,3.0,1,1,1
4015,3.0,1,1,1
1301,3.0,1,1,1
55203,3.0,1,1,1
7475,3.0,1,1,1
6586,3.0,1,1,1
79875,3.0,1,1,1
1006,3.0,1,1,1
7512,3.0,1,1,1
84171,3.0,1,1,1
4323,3.0,1,1,1
2674,3.0,1,1,1
257194,3.0,1,1,1
9353,3.0,1,1,1
5592,3.0,1,1,1
7042,3.0,1,1,1
