_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-26.313805679786277,R-HSA-1474244,M1,1,0,Reactome Gene Sets,6,Extracellular matrix organization,,-26.313805679786277,6.168257918552036,15.597134965518876,30293,300,884,54,6.108597285067873,0.8054851322779767,2|649|726|960|1277|1281|1282|1285|1293|1294|1295|1301|1634|2243|2244|2266|2331|3371|3383|3673|3676|3685|3694|3696|3914|3918|4017|4053|4312|4313|4316|4318|4319|4680|4684|5033|5045|5155|5339|5352|6385|7042|7276|8038|8728|9378|9509|10491|11096|22795|56999|58494|83700|169044,A2M|BMP1|CAPN5|CD44|COL1A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|COL11A1|DCN|FGA|FGB|FGG|FMOD|TNC|ICAM1|ITGA2|ITGA4|ITGAV|ITGB6|ITGB8|LAMB3|LAMC2|LOXL2|LTBP2|MMP1|MMP2|MMP7|MMP9|MMP10|CEACAM6|NCAM1|P4HA1|FURIN|PDGFB|PLEC|PLOD2|SDC4|TGFB2|TTR|ADAM12|ADAM19|NRXN1|ADAMTS2|CRTAP|ADAMTS5|NID2|ADAMTS9|JAM2|JAM3|COL22A1,-22.900673629351406,0,1,1,1,-26.313805679786277,15.991779788838612,
1,-12.418794198947396,R-HSA-216083,M1,1,0,Reactome Gene Sets,6,Integrin cell surface interactions,,-12.418794198947396,8.063082246473249,11.305576626979747,30293,85,884,20,2.262443438914027,0.5001421670929493,960|1277|1281|1282|1285|1293|1294|1295|2243|2244|2266|3371|3383|3673|3676|3685|3694|3696|58494|83700,CD44|COL1A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|FGA|FGB|FGG|TNC|ICAM1|ITGA2|ITGA4|ITGAV|ITGB6|ITGB8|JAM2|JAM3,-9.306692144176505,0,1,0,0,-26.313805679786277,15.991779788838612,
1,-11.918423710796732,R-HSA-1474290,M1,1,0,Reactome Gene Sets,6,Collagen formation,,-11.918423710796732,7.615133232780291,10.896443890440775,30293,90,884,20,2.262443438914027,0.5001421670929493,649|1277|1281|1282|1285|1293|1294|1295|1301|3914|3918|4017|4316|4318|5033|5339|5352|9509|10491|169044,BMP1|COL1A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|COL11A1|LAMB3|LAMC2|LOXL2|MMP7|MMP9|P4HA1|PLEC|PLOD2|ADAMTS2|CRTAP|COL22A1,-8.982412915081524,0,1,0,0,-26.313805679786277,15.991779788838612,
1,-10.708909702745398,R-HSA-1474228,M1,1,0,Reactome Gene Sets,6,Degradation of the extracellular matrix,,-10.708909702745398,5.629759211376859,9.519346523832068,30293,140,884,23,2.6018099547511313,0.5354107617048817,2|649|726|960|1277|1281|1282|1285|1293|1294|1295|1301|1634|3914|3918|4312|4313|4316|4318|4319|5045|11096|56999,A2M|BMP1|CAPN5|CD44|COL1A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|COL11A1|DCN|LAMB3|LAMC2|MMP1|MMP2|MMP7|MMP9|MMP10|FURIN|ADAMTS5|ADAMTS9,-7.897837643638488,0,1,0,0,-26.313805679786277,15.991779788838612,
1,-9.769152282295286,R-HSA-2022090,M1,1,0,Reactome Gene Sets,6,Assembly of collagen fibrils and other multimeric structures,,-9.769152282295286,8.426581855945404,10.066312954372346,30293,61,884,15,1.6968325791855203,0.4343873007526416,649|1277|1281|1282|1285|1293|1294|1295|1301|3914|3918|4017|4316|4318|5339,BMP1|COL1A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|COL11A1|LAMB3|LAMC2|LOXL2|MMP7|MMP9|PLEC,-7.2011182718746705,0,1,0,0,-26.313805679786277,15.991779788838612,
1,-8.440991942616995,R-HSA-1442490,M1,1,0,Reactome Gene Sets,6,Collagen degradation,,-8.440991942616995,7.496146776018099,9.019529919240778,30293,64,884,14,1.583710407239819,0.41989939280637856,1277|1281|1282|1285|1293|1294|1295|1301|4312|4313|4316|4318|4319|5045,COL1A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|COL11A1|MMP1|MMP2|MMP7|MMP9|MMP10|FURIN,-6.090774846598083,0,1,0,0,-26.313805679786277,15.991779788838612,
1,-8.165538335227899,R-HSA-1650814,M1,1,0,Reactome Gene Sets,6,Collagen biosynthesis and modifying enzymes,,-8.165538335227899,7.160498412912811,8.752112476009463,30293,67,884,14,1.583710407239819,0.41989939280637856,649|1277|1281|1282|1285|1293|1294|1295|1301|5033|5352|9509|10491|169044,BMP1|COL1A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|COL11A1|P4HA1|PLOD2|ADAMTS2|CRTAP|COL22A1,-5.898534320471264,0,1,0,0,-26.313805679786277,15.991779788838612,
1,-7.0347667811004335,R-HSA-2214320,M1,1,0,Reactome Gene Sets,6,Anchoring fibril formation,,-7.0347667811004335,15.991779788838612,10.068973768402872,30293,15,884,7,0.7918552036199095,0.29810579543139754,649|1277|1282|1285|1294|3914|3918,BMP1|COL1A1|COL4A1|COL4A3|COL7A1|LAMB3|LAMC2,-4.922664726329542,0,1,0,0,-26.313805679786277,15.991779788838612,
1,-6.5449943341948975,R-HSA-3000178,M1,1,0,Reactome Gene Sets,6,ECM proteoglycans,,-6.5449943341948975,5.861648606811147,7.357235660372561,30293,76,884,13,1.4705882352941178,0.40485765580153693,1277|1281|1282|1285|1293|1634|2331|3371|3673|3685|3694|4684|7042,COL1A1|COL3A1|COL4A1|COL4A3|COL6A3|DCN|FMOD|TNC|ITGA2|ITGAV|ITGB6|NCAM1|TGFB2,-4.529802292432063,0,1,0,0,-26.313805679786277,15.991779788838612,
1,-5.773191371431998,R-HSA-3000157,M1,1,0,Reactome Gene Sets,6,Laminin interactions,,-5.773191371431998,9.13815987933635,7.731803959646043,30293,30,884,8,0.9049773755656109,0.31850675619228336,1282|1285|1294|3673|3685|3914|3918|22795,COL4A1|COL4A3|COL7A1|ITGA2|ITGAV|LAMB3|LAMC2|NID2,-3.891538238039381,0,1,0,0,-26.313805679786277,15.991779788838612,
1,-5.379388747870007,R-HSA-8948216,M1,1,0,Reactome Gene Sets,6,Collagen chain trimerization,,-5.379388747870007,7.009383998354585,6.915932747470491,30293,44,884,9,1.0180995475113122,0.33763455179887303,1277|1281|1282|1285|1293|1294|1295|1301|169044,COL1A1|COL3A1|COL4A1|COL4A3|COL6A3|COL7A1|COL8A1|COL11A1|COL22A1,-3.5460402940519455,0,1,0,0,-26.313805679786277,15.991779788838612,
1,-3.883986194111249,R-HSA-2243919,M1,1,0,Reactome Gene Sets,6,Crosslinking of collagen fibrils,,-3.883986194111249,9.518916540975363,6.267993220642096,30293,18,884,5,0.5656108597285068,0.2522324987049648,649|1277|1282|1285|4017,BMP1|COL1A1|COL4A1|COL4A3|LOXL2,-2.270194693129959,0,1,0,0,-26.313805679786277,15.991779788838612,
