_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-37,M39055,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2A,,-37,5.1,18,30293,600,884,90,10,1,117|230|460|477|547|577|678|960|1012|1295|1301|1410|1804|1910|2042|2173|2196|2273|2318|2353|2823|2846|2890|2913|3315|3371|3685|3696|4329|4547|4753|4916|4982|5033|5097|5354|5803|5992|6319|6422|6507|6656|7018|7431|7476|8404|8671|9201|9378|9459|9469|9902|10446|10630|10675|10690|10788|10964|22829|22871|23022|23302|23544|23657|29106|29995|54437|54674|55790|55816|56884|56892|56978|57348|64067|79192|79645|116372|128414|143686|152573|203447|220382|286204|374407|375704|387597|388585|389799|440097,ADCYAP1R1|ALDOC|ASTN1|ATP1A2|KIF1A|ADGRB3|ZFP36L2|CD44|CDH13|COL8A1|COL11A1|CRYAB|DPP6|EDNRB|EPHA3|FABP7|FAT2|FHL1|FLNC|FOS|GPM6A|LPAR4|GRIA1|GRM3|HSPB1|TNC|ITGAV|ITGB8|ALDH6A1|MTTP|NELL2|NTRK3|TNFRSF11B|P4HA1|PCDH1|PLP1|PTPRZ1|RFX4|SCD|SFRP1|SLC1A3|SOX1|TF|VIM|WNT7A|SPARCL1|SLC4A4|DCLK1|NRXN1|ARHGEF6|CHST3|MRC2|LRRN2|PDPN|CSPG5|FUT9|IQGAP2|IFI44L|NLGN4Y|NLGN1|PALLD|WSCD1|SEZ6L|SLC7A11|SCG3|LMCD1|SEMA5B|LRRN3|CSGALNACT1|DOK5|FSTL5|TCIM|PRDM8|TTYH1|NPAS3|IRX1|CLXN|LYPD1|NKAIN4|SESN3|SHISA3|NRK|FAM181B|CRB2|DNAJB13|ENHO|ILDR2|HES5|CFAP77|DBX2,-33,0
1,-33,M39209,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-33,4.3,16,30293,765,884,96,11,1,133|338|348|467|862|1136|1271|1277|1281|1282|1293|1294|1301|1356|1410|1435|1545|1634|1749|1750|1809|1910|2042|2273|2331|2619|2736|2977|3226|3237|3371|3488|3685|3694|4023|4053|4188|4313|4804|4982|5322|5396|5764|5947|6236|6422|6507|6623|6876|6913|7018|7025|7070|7103|7291|7424|7545|8404|9052|9201|9353|9378|9469|9509|9547|9902|10085|10186|10752|11082|22795|22829|22871|23022|23194|23452|23768|27289|29995|51129|51330|51655|55816|56130|56937|56999|57451|64094|64409|79784|91107|92293|122786|253738|260293|283659,ADM|APOB|APOE|ATF3|RUNX1T1|CHRNA3|CNTFR|COL1A1|COL3A1|COL4A1|COL6A3|COL7A1|COL11A1|CP|CRYAB|CSF1|CYP1B1|DCN|DLX5|DLX6|DPYSL3|EDNRB|EPHA3|FHL1|FMOD|GAS1|GLI2|GUCY1A2|HOXC10|HOXD11|TNC|IGFBP5|ITGAV|ITGB6|LPL|LTBP2|MDFI|MMP2|NGFR|TNFRSF11B|PLA2G5|PRRX1|PTN|RBP1|RRAD|SFRP1|SLC1A3|SNCG|TAGLN|TBX15|TF|NR2F1|THY1|TSPAN8|TWIST1|VEGFC|ZIC1|SPARCL1|GPRC5A|DCLK1|SLIT2|NRXN1|CHST3|ADAMTS2|CXCL14|MRC2|EDIL3|LHFPL6|CHL1|ESM1|NID2|NLGN4Y|NLGN1|PALLD|FBXL7|ANGPTL2|FLRT2|RND1|LMCD1|ANGPTL4|TNFRSF12A|RASD1|DOK5|PCDHB6|PMEPA1|ADAMTS9|TENM2|SMOC2|GALNT17|MYH14|TRIM47|TMEM132C|FRMD6|EBF3|CYP4X1|PRTG,-29,0
1,-31,M39054,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-31,5.5,17,30293,440,884,71,8,0.91,117|332|429|477|547|577|678|1012|1301|1410|1804|1910|2042|2196|2273|2353|2890|2913|3315|3371|3696|4288|4329|4547|4821|4916|4982|5097|5354|5764|5803|5992|6319|6507|6656|7018|7431|7476|7477|8404|8671|9459|9469|9902|10630|10675|10763|10788|10964|23302|23544|23657|27164|55790|57348|58494|64067|79192|116372|128414|143686|152573|196740|220382|256536|256987|286204|375704|387597|388585|440097,ADCYAP1R1|BIRC5|ASCL1|ATP1A2|KIF1A|ADGRB3|ZFP36L2|CDH13|COL11A1|CRYAB|DPP6|EDNRB|EPHA3|FAT2|FHL1|FOS|GRIA1|GRM3|HSPB1|TNC|ITGB8|MKI67|ALDH6A1|MTTP|NKX2-2|NTRK3|TNFRSF11B|PCDH1|PLP1|PTN|PTPRZ1|RFX4|SCD|SLC1A3|SOX1|TF|VIM|WNT7A|WNT7B|SPARCL1|SLC4A4|ARHGEF6|CHST3|MRC2|PDPN|CSPG5|NES|IQGAP2|IFI44L|WSCD1|SEZ6L|SLC7A11|SALL3|CSGALNACT1|TTYH1|JAM2|NPAS3|IRX1|LYPD1|NKAIN4|SESN3|SHISA3|VSTM4|FAM181B|TCERG1L|SERINC5|CRB2|ENHO|ILDR2|HES5|DBX2,-27,0
1,-31,M39167,M1,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CJ IMMUNE CELLS,,-31,5.1,16,30293,505,884,75,8.5,0.94,2|348|577|1004|1012|1277|1281|1282|1293|1435|1634|1809|1893|1910|2113|2273|2701|2791|3488|4053|4061|4131|4313|4478|5327|5328|5764|5947|6422|6935|7045|7052|7070|7122|7127|8404|8434|8490|8722|8728|9260|9547|9839|9891|9902|10186|10398|10630|10752|10763|10964|11075|11096|11170|22885|23129|23194|23452|25802|25927|27151|54674|56287|56917|57493|57616|58494|64067|79974|80312|83700|94234|122786|170954|375704,A2M|APOE|ADGRB3|CDH6|CDH13|COL1A1|COL3A1|COL4A1|COL6A3|CSF1|DCN|DPYSL3|ECM1|EDNRB|ETS1|FHL1|GJA4|GNG11|IGFBP5|LTBP2|LY6E|MAP1B|MMP2|MSN|PLAT|PLAU|PTN|RBP1|SFRP1|ZEB1|TGFBI|TGM2|THY1|CLDN5|TNFAIP2|SPARCL1|RECK|RGS5|CTSF|ADAM19|PDLIM7|CXCL14|ZEB2|NUAK1|MRC2|LHFPL6|MYL9|PDPN|CHL1|NES|IFI44L|STMN2|ADAMTS5|FAM107A|ABLIM3|PLXND1|FBXL7|ANGPTL2|LMOD1|CNRIP1|CPAMD8|LRRN3|GKN1|MEIS3|HEG1|TSHZ3|JAM2|NPAS3|CPED1|TET1|JAM3|FOXQ1|FRMD6|PPP1R18|ENHO,-27,0
1,-31,M39066,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBML5,,-31,5.3,16,30293,465,884,72,8.1,0.92,119|273|463|577|862|1012|1075|1641|1809|1993|1995|1996|2042|2624|2823|2890|3642|3746|4131|4133|4675|4684|4821|4826|4858|5178|5451|5800|6328|6496|6616|6656|6664|6886|8403|8609|9378|9891|9951|10297|10690|10842|10962|11075|11122|11189|22885|22895|27319|27328|29114|51617|54715|55351|55506|55966|57451|57482|79750|83723|84867|84969|85300|85508|91584|132204|134111|147906|196500|256536|389206|440270,ADD2|AMPH|ZFHX3|ADGRB3|RUNX1T1|CDH13|CTSC|DCX|DPYSL3|ELAVL2|ELAVL3|ELAVL4|EPHA3|GATA2|GPM6A|GRIA1|INSM1|KCNC1|MAP1B|MAP2|NAP1L3|NCAM1|NKX2-2|NNAT|NOVA2|PEG3|POU2F1|PTPRO|SCN3A|SIX3|SNAP25|SOX1|SOX11|TAL1|SOX14|KLF7|NRXN1|NUAK1|HS3ST4|APC2|FUT9|PPP1R17|MLLT11|STMN2|PTPRT|CELF3|ABLIM3|RPH3A|BHLHE22|PCDH11X|TAGLN3|NSG2|RBFOX1|STK32B|MACROH2A2|AJAP1|TENM2|CRACD|ZNF385D|TLCD3B|PTPN5|TOX2|ATCAY|SCRT2|PLXNA4|SYNPR|UBE2QL1|DACT3|PIANP|TCERG1L|BEND4|GOLGA8B,-27,0
1,-30,M39063,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNBM,,-30,6.7,17,30293,295,884,58,6.6,0.83,1641|1809|1879|1993|1995|1996|2020|2596|2823|3642|4131|4133|4684|4760|4807|4826|5100|5126|5800|6328|6616|6664|6900|7846|9201|10085|10570|10683|10842|10962|11075|11096|11189|23440|27319|29106|29114|51299|55966|56896|56978|57482|58158|63950|63973|64641|64780|78997|83723|85300|85508|134111|134829|219527|253738|387104|389432|494470,DCX|DPYSL3|EBF1|ELAVL2|ELAVL3|ELAVL4|EN2|GAP43|GPM6A|INSM1|MAP1B|MAP2|NCAM1|NEUROD1|NHLH1|NNAT|PCDH8|PCSK2|PTPRO|SCN3A|SNAP25|SOX11|CNTN2|TUBA1A|DCLK1|EDIL3|DPYSL4|DLL3|PPP1R17|MLLT11|STMN2|ADAMTS5|CELF3|OTP|BHLHE22|SCG3|TAGLN3|NRN1|AJAP1|DPYSL5|PRDM8|CRACD|NEUROD4|DMRTA2|NEUROG2|EBF2|MICAL1|GDAP1L1|TLCD3B|ATCAY|SCRT2|UBE2QL1|CLVS2|LRRC55|EBF3|MTCL3|SAMD5|ARK2C,-27,0
1,-30,M39067,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HDA,,-30,5,16,30293,506,884,74,8.4,0.93,114|273|463|1012|1137|1295|1641|1644|1804|1809|1879|1993|1995|1996|2020|2258|2562|2596|2823|2890|2899|3642|3918|4062|4131|4133|4675|4684|4826|5097|5800|6328|6570|6616|6664|6860|7846|8609|8788|9201|9378|9590|9951|10085|10690|10752|10962|11075|11189|23544|24147|29106|29114|50863|51617|55117|55530|55966|56978|57522|57549|64409|64641|78997|79750|84867|84969|85300|91584|134111|134829|196500|219527|253738,ADCY8|AMPH|ZFHX3|CDH13|CHRNA4|COL8A1|DCX|DDC|DPP6|DPYSL3|EBF1|ELAVL2|ELAVL3|ELAVL4|EN2|FGF13|GABRB3|GAP43|GPM6A|GRIA1|GRIK3|INSM1|LAMC2|LY6H|MAP1B|MAP2|NAP1L3|NCAM1|NNAT|PCDH1|PTPRO|SCN3A|SLC18A1|SNAP25|SOX11|SYT4|TUBA1A|KLF7|DLK1|DCLK1|NRXN1|AKAP12|HS3ST4|EDIL3|FUT9|CHL1|MLLT11|STMN2|CELF3|SEZ6L|FJX1|SCG3|TAGLN3|NTM|NSG2|SLC6A15|SVOP|AJAP1|PRDM8|SRGAP1|IGSF9|GALNT17|EBF2|GDAP1L1|ZNF385D|PTPN5|TOX2|ATCAY|PLXNA4|UBE2QL1|CLVS2|PIANP|LRRC55|EBF3,-26,0
1,-28,M39056,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL3,,-28,4.6,15,30293,574,884,77,8.7,0.95,117|467|477|649|678|960|1012|1075|1295|1410|1634|1804|1910|2042|2196|2318|2353|2846|2890|3099|3315|3488|3696|3776|4023|4329|4547|4982|5033|5352|5992|6258|6319|6507|6695|7018|7033|7276|7431|7476|8404|8671|9201|9353|9423|9469|9902|9951|10418|10446|10630|10675|10763|10788|22915|23194|23657|24147|27092|29995|54674|55790|55959|56892|57101|57348|58494|79645|81706|92293|128414|170302|284312|286204|374407|388585|389799,ADCYAP1R1|ATF3|ATP1A2|BMP1|ZFP36L2|CD44|CDH13|CTSC|COL8A1|CRYAB|DCN|DPP6|EDNRB|EPHA3|FAT2|FLNC|FOS|LPAR4|GRIA1|HK2|HSPB1|IGFBP5|ITGB8|KCNK2|LPL|ALDH6A1|MTTP|TNFRSF11B|P4HA1|PLOD2|RFX4|RXRG|SCD|SLC1A3|SPOCK1|TF|TFF3|TTR|VIM|WNT7A|SPARCL1|SLC4A4|DCLK1|SLIT2|NTN1|CHST3|MRC2|HS3ST4|SPON1|LRRN2|PDPN|CSPG5|NES|IQGAP2|MMRN1|FBXL7|SLC7A11|FJX1|CACNG4|LMCD1|LRRN3|CSGALNACT1|SULF2|TCIM|ANO2|TTYH1|JAM2|CLXN|PPP1R14C|TMEM132C|NKAIN4|ARX|ZSCAN1|CRB2|DNAJB13|HES5|CFAP77,-25,0
1,-28,M39073,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HOMTN,,-28,5.5,16,30293,389,884,63,7.1,0.87,463|577|1136|1143|1621|1641|1809|1993|1995|1996|2042|2258|2558|2596|4131|4133|4753|4914|5334|6258|6328|6572|6616|6623|6860|6900|7846|8224|10085|10297|10512|10586|10962|11075|11189|29114|51286|54674|54715|55117|55530|55816|56341|56884|57451|57687|60482|78997|81832|83660|83723|85300|85508|91584|114787|132299|134111|146395|196500|260293|387856|494470|613212,ZFHX3|ADGRB3|CHRNA3|CHRNB4|DBH|DCX|DPYSL3|ELAVL2|ELAVL3|ELAVL4|EPHA3|FGF13|GABRA5|GAP43|MAP1B|MAP2|NELL2|NTRK1|PLCL1|RXRG|SCN3A|SLC18A3|SNAP25|SNCG|SYT4|CNTN2|TUBA1A|SYN3|EDIL3|APC2|SEMA3C|MAB21L2|MLLT11|STMN2|CELF3|TAGLN3|CEND1|LRRN3|RBFOX1|SLC6A15|SVOP|DOK5|PRMT8|FSTL5|TENM2|VAT1L|SLC5A7|GDAP1L1|NETO1|TLN2|TLCD3B|ATCAY|SCRT2|PLXNA4|GPRIN1|OCIAD2|UBE2QL1|GSG1L|PIANP|CYP4X1|CCDC184|ARK2C|CTXN3,-24,0
1,-26,M39269,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA RGC,,-26,5,15,30293,443,884,65,7.4,0.88,119|230|664|1136|1382|1641|1809|1879|1993|1995|1996|2258|2273|2596|2675|2821|3156|3417|3797|4131|4133|4684|4753|4858|4914|5126|6258|6319|6328|6616|6623|6664|6860|6900|7846|8609|9201|10085|10570|10683|10814|10962|11075|11182|23544|25927|26355|27346|29106|29114|51286|51299|54674|56896|56917|57522|57611|78997|84969|85300|89927|128414|132299|253738|387856,ADD2|ALDOC|BNIP3|CHRNA3|CRABP2|DCX|DPYSL3|EBF1|ELAVL2|ELAVL3|ELAVL4|FGF13|FHL1|GAP43|GFRA2|GPI|HMGCR|IDH1|KIF3C|MAP1B|MAP2|NCAM1|NELL2|NOVA2|NTRK1|PCSK2|RXRG|SCD|SCN3A|SNAP25|SNCG|SOX11|SYT4|CNTN2|TUBA1A|KLF7|DCLK1|EDIL3|DPYSL4|DLL3|CPLX2|MLLT11|STMN2|SLC2A6|SEZ6L|CNRIP1|FAM162A|TMEM97|SCG3|TAGLN3|CEND1|NRN1|LRRN3|DPYSL5|MEIS3|SRGAP1|ISLR2|GDAP1L1|TOX2|ATCAY|BMERB1|NKAIN4|OCIAD2|EBF3|CCDC184,-23,0
