_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.9,R-HSA-5653656,Vesicle-mediated transport,M1,1,0
1,-2.9,R-HSA-3656243,Defective ST3GAL3 causes MCT12 and EIEE15,M1,1,0
1,-3.5,R-HSA-1592389,Activation of Matrix Metalloproteinases,M1,1,0
1,-3.3,R-HSA-3656237,Defective EXT2 causes exostoses 2,M1,1,0
1,-3,R-HSA-9006931,Signaling by Nuclear Receptors,M1,1,0
1,-4.1,R-HSA-382551,Transport of small molecules,M1,1,0
1,-3.7,R-HSA-388844,Receptor-type tyrosine-protein phosphatases,M1,1,0
1,-3.1,R-HSA-3304349,Loss of Function of SMAD2/3 in Cancer,M1,1,0
1,-3.7,R-HSA-418990,Adherens junctions interactions,M1,1,0
1,-4.9,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,M1,1,0
1,-2.2,R-HSA-8941856,RUNX3 regulates NOTCH signaling,M1,1,0
1,-3.7,R-HSA-5683057,MAPK family signaling cascades,M1,1,0
1,-6.1,R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",M1,1,0
1,-3.4,R-HSA-3304356,SMAD2/3 Phosphorylation Motif Mutants in Cancer,M1,1,0
1,-2.1,R-HSA-5576893,Phase 2 - plateau phase,M1,1,0
1,-2.2,R-HSA-2024101,CS/DS degradation,M1,1,0
1,-12,R-HSA-8948216,Collagen chain trimerization,M1,1,0
1,-3.3,R-HSA-6783589,Interleukin-6 family signaling,M1,1,0
1,-2.2,R-HSA-446728,Cell junction organization,M1,1,0
1,-2.8,R-HSA-975634,Retinoid metabolism and transport,M1,1,0
1,-5.2,R-HSA-6794362,Protein-protein interactions at synapses,M1,1,0
1,-4.6,R-HSA-3642278,Loss of Function of TGFBR2 in Cancer,M1,1,0
1,-3.2,R-HSA-5684996,MAPK1/MAPK3 signaling,M1,1,0
1,-2.8,R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",M1,1,0
1,-2.1,R-HSA-75892,Platelet Adhesion to exposed collagen,M1,1,0
