Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-1474244,Extracellular matrix organization,,-47,9.7,24,30293,300,731,70,9.6,1.1,87|649|652|655|1281|1282|1284|1285|1286|1287|1293|1294|1300|1306|1311|1404|1509|1634|2192|2201|2202|2244|3371|3672|3673|3675|3910|3912|4015|4052|4053|4060|4312|4313|4320|4322|4325|4921|5054|5155|6696|7040|7042|7043|7057|7076|7093|7373|7412|7837|8038|8076|8425|8515|9510|9644|9672|10319|11095|22795|54829|59277|63827|80274|81578|84570|136227|140766|169044|170692,ACTN1|BMP1|BMP4|BMP7|COL3A1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL6A3|COL7A1|COL10A1|COL15A1|COMP|HAPLN1|CTSD|DCN|FBLN1|FBN2|EFEMP1|FGB|TNC|ITGA1|ITGA2|ITGA3|LAMA4|LAMB1|LOX|LTBP1|LTBP2|LUM|MMP1|MMP2|MMP11|MMP13|MMP16|DDR2|SERPINE1|PDGFB|SPP1|TGFB1|TGFB2|TGFB3|THBS1|TIMP1|TLL2|COL14A1|VCAM1|PXDN|ADAM12|MFAP5|LTBP4|ITGA10|ADAMTS1|SH3PXD2A|SDC3|LAMC3|ADAMTS8|NID2|ASPN|NTN4|BCAN|SCUBE1|COL21A1|COL25A1|COL26A1|ADAMTS14|COL22A1|ADAMTS18,-44
MyList,Reactome Gene Sets,6,R-HSA-1474228,Degradation of the extracellular matrix,,-20,9.2,15,30293,140,731,31,4.2,0.75,649|1281|1282|1284|1285|1286|1287|1293|1294|1300|1306|1509|1634|2201|3912|4312|4313|4320|4322|4325|6696|7076|7093|7373|9510|11095|63827|80274|84570|136227|170692,BMP1|COL3A1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL6A3|COL7A1|COL10A1|COL15A1|CTSD|DCN|FBN2|LAMB1|MMP1|MMP2|MMP11|MMP13|MMP16|SPP1|TIMP1|TLL2|COL14A1|ADAMTS1|ADAMTS8|BCAN|SCUBE1|COL25A1|COL26A1|ADAMTS18,-17
MyList,Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-20,4.4,12,30293,526,731,56,7.7,0.98,348|805|1281|1282|1284|1285|1286|1287|1293|1509|1759|1839|1958|1959|2066|2069|2252|2263|2321|2567|2670|3084|3315|3399|3400|3673|3675|3708|3910|3912|4233|4908|5125|5155|5156|5327|5764|5792|5800|6285|6387|6696|7057|8038|8483|8829|8877|9846|10221|10252|10319|10718|57761|64759|143282|155066,APOE|CALM2|COL3A1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL6A3|CTSD|DNM1|HBEGF|EGR1|EGR2|ERBB4|EREG|FGF7|FGFR2|FLT1|GABRG3|GFAP|NRG1|HSPB1|ID3|ID4|ITGA2|ITGA3|ITPR1|LAMA4|LAMB1|MET|NTF3|PCSK5|PDGFB|PDGFRA|PLAT|PTN|PTPRF|PTPRO|S100B|CXCL12|SPP1|THBS1|ADAM12|CILP|NRP1|SPHK1|GAB2|TRIB1|SPRY1|LAMC3|NRG3|TRIB3|TNS3|FGFBP3|ATP6V0E2,-17
MyList,Reactome Gene Sets,6,R-HSA-9675108,Nervous system development,,-17,3.9,11,30293,578,731,55,7.5,0.98,214|288|388|1281|1282|1284|1285|1286|1287|1293|1759|1808|1809|1821|1959|2043|2045|2048|2668|2674|2817|3672|3673|3912|3983|4233|4313|4627|4629|4753|5362|5454|6387|7225|7436|7852|8128|8482|8515|8633|8829|9037|9495|9846|10371|10752|56896|57211|59277|91584|103910|116986|219699|285704|100133941,ALCAM|ANK3|RHOB|COL3A1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL6A3|DNM1|DPYSL2|DPYSL3|DRP2|EGR2|EPHA4|EPHA7|EPHB2|GDNF|GFRA1|GPC1|ITGA1|ITGA2|LAMB1|ABLIM1|MET|MMP2|MYH9|MYH11|NELL2|PLXNA2|POU3F2|CXCL12|TRPC6|VLDLR|CXCR4|ST8SIA2|SEMA7A|ITGA10|UNC5C|NRP1|SEMA5A|AKAP5|GAB2|SEMA3A|CHL1|DPYSL5|ADGRG6|NTN4|PLXNA4|MYL12B|AGAP2|UNC5B|RGMB|CD24,-14
MyList,Reactome Gene Sets,6,R-HSA-3000178,ECM proteoglycans,,-16,11,14,30293,76,731,21,2.9,0.62,1281|1282|1284|1285|1286|1287|1293|1311|1404|1634|3371|3673|3910|3912|4060|5054|7040|7042|7043|54829|63827,COL3A1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL6A3|COMP|HAPLN1|DCN|TNC|ITGA2|LAMA4|LAMB1|LUM|SERPINE1|TGFB1|TGFB2|TGFB3|ASPN|BCAN,-13
MyList,Reactome Gene Sets,6,R-HSA-3000171,Non-integrin membrane-ECM interactions,,-16,13,15,30293,59,731,19,2.6,0.59,87|1281|1282|1284|1285|1286|1287|1300|3371|3673|3910|3912|4921|5155|7040|7057|9672|10319|59277,ACTN1|COL3A1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL10A1|TNC|ITGA2|LAMA4|LAMB1|DDR2|PDGFB|TGFB1|THBS1|SDC3|LAMC3|NTN4,-13
MyList,Reactome Gene Sets,6,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,-15,8.3,13,30293,125,731,25,3.4,0.67,348|652|1000|1356|2621|2719|3371|3485|3486|3487|3488|3490|3491|3912|4052|4312|4313|5179|6696|7076|8614|11098|54757|54972|401138,APOE|BMP4|CDH2|CP|GAS6|GPC3|TNC|IGFBP2|IGFBP3|IGFBP4|IGFBP5|IGFBP7|CCN1|LAMB1|LTBP1|MMP1|MMP2|PENK|SPP1|TIMP1|STC2|PRSS23|FAM20A|TMEM132A|AMTN,-13
MyList,Reactome Gene Sets,6,R-HSA-422475,Axon guidance,,-15,3.8,11,30293,553,731,51,7,0.94,214|288|388|1281|1282|1284|1285|1286|1287|1293|1759|1808|1809|2043|2045|2048|2668|2674|2817|3672|3673|3912|3983|4233|4313|4627|4629|4753|5362|6387|7225|7436|7852|8128|8482|8515|8633|8829|9037|9495|9846|10371|10752|56896|59277|91584|103910|116986|219699|285704|100133941,ALCAM|ANK3|RHOB|COL3A1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL6A3|DNM1|DPYSL2|DPYSL3|EPHA4|EPHA7|EPHB2|GDNF|GFRA1|GPC1|ITGA1|ITGA2|LAMB1|ABLIM1|MET|MMP2|MYH9|MYH11|NELL2|PLXNA2|CXCL12|TRPC6|VLDLR|CXCR4|ST8SIA2|SEMA7A|ITGA10|UNC5C|NRP1|SEMA5A|AKAP5|GAB2|SEMA3A|CHL1|DPYSL5|NTN4|PLXNA4|MYL12B|AGAP2|UNC5B|RGMB|CD24,-13
MyList,Reactome Gene Sets,6,R-HSA-3781865,Diseases of glycosylation,,-15,7.5,12,30293,144,731,26,3.6,0.69,1464|1634|2683|2719|2817|4060|4851|4854|4958|4969|7057|9037|9510|9672|9719|10082|10417|11095|54437|55901|63827|81792|140766|170689|170691|170692,CSPG4|DCN|B4GALT1|GPC3|GPC1|LUM|NOTCH1|NOTCH3|OMD|OGN|THBS1|SEMA5A|ADAMTS1|SDC3|ADAMTSL2|GPC6|SPON2|ADAMTS8|SEMA5B|THSD1|BCAN|ADAMTS12|ADAMTS14|ADAMTS15|ADAMTS17|ADAMTS18,-12
MyList,Reactome Gene Sets,6,R-HSA-1474290,Collagen formation,,-15,9.7,13,30293,90,731,21,2.9,0.62,649|1281|1282|1284|1285|1286|1287|1293|1294|1300|1306|4015|4322|7093|7373|7837|81578|84570|136227|140766|169044,BMP1|COL3A1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL6A3|COL7A1|COL10A1|COL15A1|LOX|MMP13|TLL2|COL14A1|PXDN|COL21A1|COL25A1|COL26A1|ADAMTS14|COL22A1,-12
