_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-24,PGB:00120,M1,1,0,PaGenBase,36,Cell-specific: Cardiac Myocytes,,-24,15,19,30293,60,871,26,3,0.58,1000|1404|1490|1809|1906|2149|2202|2590|2627|3486|4312|5054|5327|5999|6783|7057|7130|7980|8614|8829|9411|10234|22795|22836|23213|27295,CDH2|HAPLN1|CCN2|DPYSL3|EDN1|F2R|EFEMP1|GALNT2|GATA6|IGFBP3|MMP1|SERPINE1|PLAT|RGS4|SULT1E1|THBS1|TNFAIP6|TFPI2|STC2|NRP1|ARHGAP29|LRRC17|NID2|RHOBTB3|SULF1|PDLIM3,-21,0
1,-24,PGB:00067,M1,1,0,PaGenBase,36,Cell-specific: Brain cell,,-24,14,18,30293,67,871,27,3.1,0.59,1293|1902|3371|3486|4015|4052|4060|4313|5054|5055|5156|5270|5328|7134|7980|8038|9510|10371|10468|11010|55966|59277|79827|81035|83604|126393|131578,COL6A3|LPAR1|TNC|IGFBP3|LOX|LTBP1|LUM|MMP2|SERPINE1|SERPINB2|PDGFRA|SERPINE2|PLAU|TNNC1|TFPI2|ADAM12|ADAMTS1|SEMA3A|FST|GLIPR1|AJAP1|NTN4|CLMP|COLEC12|TMEM47|HSPB6|LRRC15,-21,0
1,-24,PGB:00014,M1,1,0,PaGenBase,36,Cell-specific: DRG,,-24,4.7,14,30293,456,871,62,7.1,0.87,19|220|1006|1268|1311|1464|1466|1501|1545|1734|1839|1910|2173|2258|2297|2662|3231|3233|3371|3800|4223|4741|4747|5122|5125|5152|5354|5764|5798|5961|6285|6781|7130|7134|7545|7857|7881|8076|8618|8633|9369|9514|9745|9865|10149|10216|10267|11075|11341|23017|23263|23336|25903|26002|29114|56144|56967|57214|57863|79987|91683|113146,ABCA1|ALDH1A3|CDH8|CNR1|COMP|CSPG4|CSRP2|CTNND2|CYP1B1|DIO2|HBEGF|EDNRB|FABP7|FGF13|FOXD1|GDF10|HOXD1|HOXD4|TNC|KIF5C|MEOX2|NEFM|NEFL|PCSK1|PCSK5|PDE9A|PLP1|PTN|PTPRN|PRPH2|S100B|STC1|TNFAIP6|TNNC1|ZIC1|SCG2|KCNAB1|MFAP5|CADPS|UNC5C|NRXN3|GAL3ST1|ZNF536|TRIL|ADGRG2|PRG4|RAMP1|STMN2|SCRG1|FAIM2|MCF2L|SYNM|OLFML2B|MOXD1|TAGLN3|PCDHA4|C14orf132|CEMIP|CADM3|SVEP1|SYT12|AHNAK2,-21,0
1,-21,PGB:00049,M1,1,0,PaGenBase,36,Cell-specific: Adipocyte,,-21,8.2,15,30293,145,871,34,3.9,0.66,133|348|710|715|1293|1311|1634|2192|2273|2619|3075|3487|3488|3910|4053|4060|4313|4642|5156|6319|6586|7078|8076|8483|8613|9244|11075|27129|54510|57124|79987|83604|116039|126393,ADM|APOE|SERPING1|C1R|COL6A3|COMP|DCN|FBLN1|FHL1|GAS1|CFH|IGFBP4|IGFBP5|LAMA4|LTBP2|LUM|MMP2|MYO1D|PDGFRA|SCD|SLIT3|TIMP3|MFAP5|CILP|PLPP3|CRLF1|STMN2|HSPB7|PCDH18|CD248|SVEP1|TMEM47|OSR2|HSPB6,-18,0
1,-20,PGB:00045,M1,1,0,PaGenBase,36,Tissue-specific: placenta,,-20,5.4,13,30293,305,871,47,5.4,0.77,133|649|653|654|1028|1282|1284|1392|1612|2192|2201|2321|2624|2719|3624|4232|4320|4826|5054|5055|5155|5270|5328|5865|6513|7046|7052|7078|7262|7837|7980|8038|8482|9244|9518|10319|10630|22836|22943|51232|55655|57211|64220|79987|80760|152816|389136,ADM|BMP1|BMP5|BMP6|CDKN1C|COL4A1|COL4A2|CRH|DAPK1|FBLN1|FBN2|FLT1|GATA2|GPC3|INHBA|MEST|MMP11|NNAT|SERPINE1|SERPINB2|PDGFB|SERPINE2|PLAU|RAB3B|SLC2A1|TGFBR1|TGM2|TIMP3|PHLDA2|PXDN|TFPI2|ADAM12|SEMA7A|CRLF1|GDF15|LAMC3|PDPN|RHOBTB3|DKK1|CRIM1|NLRP2|ADGRG6|STRA6|SVEP1|ITIH5|ODAPH|VGLL3,-18,0
1,-17,PGB:00015,M1,1,0,PaGenBase,36,Tissue-specific: Smooth Muscle,,-17,8.8,14,30293,103,871,26,3,0.58,19|1000|2258|2683|3912|4015|4312|5054|5742|5806|6781|7042|7057|7130|7837|8614|9645|9945|10234|10468|11010|23213|26585|57214|64123|151887,ABCA1|CDH2|FGF13|B4GALT1|LAMB1|LOX|MMP1|SERPINE1|PTGS1|PTX3|STC1|TGFB2|THBS1|TNFAIP6|PXDN|STC2|MICAL2|GFPT2|LRRC17|FST|GLIPR1|SULF1|GREM1|CEMIP|ADGRL4|CCDC80,-15,0
1,-11,PGB:00069,M1,1,0,PaGenBase,36,Cell-specific: A204,,-11,9.8,11,30293,57,871,16,1.8,0.46,1006|1356|1392|1958|3371|4223|4325|5122|5178|5179|6781|7043|7134|7857|8515|54769,CDH8|CP|CRH|EGR1|TNC|MEOX2|MMP16|PCSK1|PEG3|PENK|STC1|TGFB3|TNNC1|SCG2|ITGA10|DIRAS2,-9.5,0
1,-11,PGB:00081,M1,1,0,PaGenBase,36,Cell-specific: Bronchial Epithelial Cells,,-11,5.8,9.8,30293,137,871,23,2.6,0.54,182|220|928|1832|2706|3675|3856|3910|4233|5055|5328|5792|6591|7162|7262|9510|9635|10468|10512|22822|81706|113146|347902,JAG1|ALDH1A3|CD9|DSP|GJB2|ITGA3|KRT8|LAMA4|MET|SERPINB2|PLAU|PTPRF|SNAI2|TPBG|PHLDA2|ADAMTS1|CLCA2|FST|SEMA3C|PHLDA1|PPP1R14C|AHNAK2|AMIGO2,-9.1,0
1,-10,PGB:00031,M1,1,0,PaGenBase,36,Cell-specific: HUVEC,,-10,3.5,8.2,30293,371,871,37,4.2,0.68,146|654|2048|2149|2151|2201|2202|2321|2668|2697|2861|4133|4312|4858|5054|5055|5155|5806|5999|6869|7042|7046|7052|7057|7075|7262|7980|8490|9411|10468|11098|22829|22943|25797|83857|84631|116372,ADRA1D|BMP6|EPHB2|F2R|F2RL2|FBN2|EFEMP1|FLT1|GDNF|GJA1|GPR37|MAP2|MMP1|NOVA2|SERPINE1|SERPINB2|PDGFB|PTX3|RGS4|TACR1|TGFB2|TGFBR1|TGM2|THBS1|TIE1|PHLDA2|TFPI2|RGS5|ARHGAP29|FST|PRSS23|NLGN4Y|DKK1|QPCT|TMTC1|SLITRK2|LYPD1,-8.3,0
1,-7.6,PGB:00059,M1,1,0,PaGenBase,36,Cell-specific: Testis Germ Cell,,-7.6,6,8,30293,87,871,15,1.7,0.44,58|1191|1264|1674|2861|3400|3800|4629|5354|5764|10351|11341|23336|23705|83445,ACTA1|CLU|CNN1|DES|GPR37|ID4|KIF5C|MYH11|PLP1|PTN|ABCA8|SCRG1|SYNM|CADM1|GSG1,-5.9,0
1,-7,PGB:00072,M1,1,0,PaGenBase,36,Tissue-specific: uterus,,-7,5.9,7.6,30293,83,871,14,1.6,0.43,1264|1287|1464|1909|2619|4320|4969|5099|6781|7044|11259|54829|113146|116039,CNN1|COL4A5|CSPG4|EDNRA|GAS1|MMP11|OGN|PCDH7|STC1|LEFTY2|FILIP1L|ASPN|AHNAK2|OSR2,-5.4,0
1,-6.9,PGB:00060,M1,1,0,PaGenBase,36,Tissue-specific: retinoblastoma,,-6.9,5.4,7.4,30293,97,871,15,1.7,0.44,683|4015|4288|4312|4908|5740|5806|6241|7057|8614|9037|10468|22943|25891|57214,BST1|LOX|MKI67|MMP1|NTF3|PTGIS|PTX3|RRM2|THBS1|STC2|SEMA5A|FST|DKK1|PAMR1|CEMIP,-5.3,0
1,-6.4,PGB:00063,M1,1,0,PaGenBase,36,Cell-specific: OVR278S,,-6.4,6.2,7.4,30293,67,871,12,1.4,0.39,869|1286|1294|2043|2252|2334|3910|4629|4638|8038|10234|116039,CBLN1|COL4A4|COL7A1|EPHA4|FGF7|AFF2|LAMA4|MYH11|MYLK|ADAM12|LRRC17|OSR2,-4.8,0
1,-5.6,PGB:00037,M1,1,0,PaGenBase,36,Tissue-specific: heart,,-5.6,2.8,5.6,30293,321,871,26,3,0.58,58|70|1000|1827|1903|2138|4879|5066|5318|5806|6546|7134|7138|8707|10611|10699|10867|22998|27063|27129|55504|80206|81578|115701|116496|389336,ACTA1|ACTC1|CDH2|RCAN1|S1PR3|EYA1|NPPB|PAM|PKP2|PTX3|SLC8A1|TNNC1|TNNT1|B3GALT2|PDLIM5|CORIN|TSPAN9|LIMCH1|ANKRD1|HSPB7|TNFRSF19|FHOD3|COL21A1|ALPK2|NIBAN1|C5orf46,-4.1,0
1,-5.4,PGB:00061,M1,1,0,PaGenBase,36,Cell-specific: astrocytes,,-5.4,17,8.9,30293,10,871,5,0.57,0.26,70|2890|23209|27253|50507,ACTC1|GRIA1|MLC1|PCDH17|NOX4,-3.9,0
1,-4.7,PGB:00113,M1,1,0,PaGenBase,36,Cell-specific: U138,,-4.7,20,8.6,30293,7,871,4,0.46,0.23,7123|8613|27129|126393,CLEC3B|PLPP3|HSPB7|HSPB6,-3.3,0
1,-4.5,PGB:00065,M1,1,0,PaGenBase,36,Tissue-specific: Breast,,-4.5,3.5,5.2,30293,150,871,15,1.7,0.44,861|3084|3203|3887|4233|4826|5021|6319|7021|7262|8614|9037|10265|56937|163782,RUNX1|NRG1|HOXA6|KRT81|MET|NNAT|OXTR|SCD|TFAP2B|PHLDA2|STC2|SEMA5A|IRX5|PMEPA1|KANK4,-3.2,0
1,-4.5,PGB:00057,M1,1,0,PaGenBase,36,Tissue-specific: ovary,,-4.5,2.8,5,30293,245,871,20,2.3,0.51,654|1293|1958|1959|2048|2308|4320|4969|5155|5178|7026|7044|8425|8532|8840|9627|10234|57616|64084|83539,BMP6|COL6A3|EGR1|EGR2|EPHB2|FOXO1|MMP11|OGN|PDGFB|PEG3|NR2F2|LEFTY2|LTBP4|CPZ|CCN4|SNCAIP|LRRC17|TSHZ3|CLSTN2|CHST9,-3.2,0
1,-3.8,PGB:00082,M1,1,0,PaGenBase,36,Cell-specific: Breast cell,,-3.8,5.1,5.2,30293,55,871,8,0.92,0.32,1545|2674|3856|3875|4256|4886|7026|347902,CYP1B1|GFRA1|KRT8|KRT18|MGP|NPY1R|NR2F2|AMIGO2,-2.5,0
1,-3.7,PGB:00004,M1,1,0,PaGenBase,36,Tissue-specific: kidney,,-3.7,2.1,4.1,30293,483,871,29,3.3,0.61,59|1004|2244|3233|3589|3773|3975|4036|4886|5455|6492|6493|6696|6928|7021|7364|8029|8870|9966|50507|56670|64220|79623|79924|83849|127707|168002|192668|220963,ACTA2|CDH6|FGB|HOXD4|IL11|KCNJ16|LHX1|LRP2|NPY1R|POU3F3|SIM1|SIM2|SPP1|HNF1B|TFAP2B|UGT2B7|CUBN|IER3|TNFSF15|NOX4|SUCNR1|STRA6|GALNT14|ADM2|SYT15|KLHDC7A|DACT2|CYS1|SLC16A9,-2.5,0
1,-3.7,PGB:00133,M1,1,0,PaGenBase,36,Cell-specific: Liposarcoma cell,,-3.7,8.7,5.9,30293,20,871,5,0.57,0.26,1306|3977|22836|25878|114907,COL15A1|LIFR|RHOBTB3|MXRA5|FBXO32,-2.4,0
1,-3.2,PGB:00036,M1,1,0,PaGenBase,36,Cell-specific: MOLT4,,-3.2,3,4.1,30293,137,871,12,1.4,0.39,146|1381|2674|3485|3702|4312|6586|6657|9348|10123|10317|80852,ADRA1D|CRABP1|GFRA1|IGFBP2|ITK|MMP1|SLIT3|SOX2|NDST3|ARL4C|B3GALT5|GRIP2,-2,0
