Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-1474244,Extracellular matrix organization,,-24,5.9,15,30293,300,875,51,5.8,0.79,726|960|1277|1280|1281|1285|1293|1295|1301|1308|1404|1462|1463|1634|2243|2244|2266|2331|2335|3371|3383|3673|3676|3685|3696|3912|3918|4015|4017|4038|4312|4313|4316|4318|4319|4680|5033|5045|5054|5155|5352|5644|6385|7057|7076|8728|9378|11096|55214|56999|169044,CAPN5|CD44|COL1A1|COL2A1|COL3A1|COL4A3|COL6A3|COL8A1|COL11A1|COL17A1|HAPLN1|VCAN|NCAN|DCN|FGA|FGB|FGG|FMOD|FN1|TNC|ICAM1|ITGA2|ITGA4|ITGAV|ITGB8|LAMB1|LAMC2|LOX|LOXL2|LRP4|MMP1|MMP2|MMP7|MMP9|MMP10|CEACAM6|P4HA1|FURIN|SERPINE1|PDGFB|PLOD2|PRSS1|SDC4|THBS1|TIMP1|ADAM19|NRXN1|ADAMTS5|P3H2|ADAMTS9|COL22A1,-20,MyList
Reactome Gene Sets,6,R-HSA-191273,Cholesterol biosynthesis,,-14,18,15,30293,27,875,14,1.6,0.42,39|1595|1717|2222|2224|3156|3157|3422|4047|4597|6307|6309|6713|10682,ACAT2|CYP51A1|DHCR7|FDFT1|FDPS|HMGCR|HMGCS1|IDI1|LSS|MVD|MSMO1|SC5D|SQLE|EBP,-11,MyList
Reactome Gene Sets,6,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,-12,6.4,10,30293,125,875,23,2.6,0.54,174|336|338|1356|1462|2243|2266|2335|3371|3486|3491|3912|4312|4313|5069|5768|7076|8404|8614|10272|29106|91851|255738,AFP|APOA2|APOB|CP|VCAN|FGA|FGG|FN1|TNC|IGFBP3|CCN1|LAMB1|MMP1|MMP2|PAPPA|QSOX1|TIMP1|SPARCL1|STC2|FSTL3|SCG3|CHRDL1|PCSK9,-8.9,MyList
Reactome Gene Sets,6,R-HSA-1474228,Degradation of the extracellular matrix,,-12,5.9,10,30293,140,875,24,2.7,0.55,726|960|1277|1280|1281|1285|1293|1295|1301|1308|1634|2335|3912|3918|4312|4313|4316|4318|4319|5045|5644|7076|11096|56999,CAPN5|CD44|COL1A1|COL2A1|COL3A1|COL4A3|COL6A3|COL8A1|COL11A1|COL17A1|DCN|FN1|LAMB1|LAMC2|MMP1|MMP2|MMP7|MMP9|MMP10|FURIN|PRSS1|TIMP1|ADAMTS5|ADAMTS9,-8.8,MyList
Reactome Gene Sets,6,R-HSA-109582,Hemostasis,,-12,3,8.5,30293,621,875,53,6.1,0.81,60|226|338|388|409|928|960|1048|1062|1191|1277|2243|2244|2266|2335|2624|2785|2791|2977|3673|3676|3685|3798|3832|3897|4312|4680|4973|5024|5054|5155|5196|5327|5328|5329|5592|5768|5919|6385|6546|6547|7057|7076|7424|7846|8140|10630|22915|23764|29106|54210|57126|81027,ACTB|ALDOA|APOB|RHOB|ARRB2|CD9|CD44|CEACAM5|CENPE|CLU|COL1A1|FGA|FGB|FGG|FN1|GATA2|GNG3|GNG11|GUCY1A2|ITGA2|ITGA4|ITGAV|KIF5A|KIF11|L1CAM|MMP1|CEACAM6|OLR1|P2RX3|SERPINE1|PDGFB|PF4|PLAT|PLAU|PLAUR|PRKG1|QSOX1|RARRES2|SDC4|SLC8A1|SLC8A3|THBS1|TIMP1|VEGFC|TUBA1A|SLC7A5|PDPN|MMRN1|MAFF|SCG3|TREM1|CD177|TUBB1,-8.8,MyList
Reactome Gene Sets,6,R-HSA-216083,Integrin cell surface interactions,,-10,7.3,10,30293,85,875,18,2.1,0.48,960|1277|1280|1281|1285|1293|1295|2243|2244|2266|2335|3371|3383|3673|3676|3685|3696|7057,CD44|COL1A1|COL2A1|COL3A1|COL4A3|COL6A3|COL8A1|FGA|FGB|FGG|FN1|TNC|ICAM1|ITGA2|ITGA4|ITGAV|ITGB8|THBS1,-7.9,MyList
Reactome Gene Sets,6,R-HSA-8957275,Post-translational protein phosphorylation,,-10,6.4,9.7,30293,108,875,20,2.3,0.51,174|336|338|1356|1462|2243|2266|2335|3371|3486|3491|3912|5768|7076|8404|8614|10272|29106|91851|255738,AFP|APOA2|APOB|CP|VCAN|FGA|FGG|FN1|TNC|IGFBP3|CCN1|LAMB1|QSOX1|TIMP1|SPARCL1|STC2|FSTL3|SCG3|CHRDL1|PCSK9,-7.9,MyList
Reactome Gene Sets,6,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,,-10,6.4,9.7,30293,108,875,20,2.3,0.51,1052|1901|2335|3383|3552|3561|3598|3716|4312|4313|4318|4582|4609|6288|6347|6935|7076|7291|7431|51561,CEBPD|S1PR1|FN1|ICAM1|IL1A|IL2RG|IL13RA2|JAK1|MMP1|MMP2|MMP9|MUC1|MYC|SAA1|CCL2|ZEB1|TIMP1|TWIST1|VIM|IL23A,-7.9,MyList
Reactome Gene Sets,6,R-HSA-3000178,ECM proteoglycans,,-10,7.7,10,30293,76,875,17,1.9,0.47,1277|1280|1281|1285|1293|1404|1462|1463|1634|2331|2335|3371|3673|3685|3912|4038|5054,COL1A1|COL2A1|COL3A1|COL4A3|COL6A3|HAPLN1|VCAN|NCAN|DCN|FMOD|FN1|TNC|ITGA2|ITGAV|LAMB1|LRP4|SERPINE1,-7.9,MyList
Reactome Gene Sets,6,R-HSA-3000171,Non-integrin membrane-ECM interactions,,-10,8.8,10,30293,59,875,15,1.7,0.44,1277|1280|1281|1285|1301|2335|3371|3673|3685|3912|3918|5155|6385|7057|9378,COL1A1|COL2A1|COL3A1|COL4A3|COL11A1|FN1|TNC|ITGA2|ITGAV|LAMB1|LAMC2|PDGFB|SDC4|THBS1|NRXN1,-7.6,MyList
