_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.6,R-HSA-2022870,Chondroitin sulfate biosynthesis,M1,1,0
1,-4.8,R-HSA-388844,Receptor-type tyrosine-protein phosphatases,M1,1,0
1,-14,R-HSA-191273,Cholesterol biosynthesis,M1,1,0
1,-2.9,R-HSA-9696273,RND1 GTPase cycle,M1,1,0
1,-3.9,R-HSA-5083625,Defective GALNT3 causes HFTC,M1,1,0
1,-3.9,R-HSA-8963888,Chylomicron assembly,M1,1,0
1,-5.5,R-HSA-1592389,Activation of Matrix Metalloproteinases,M1,1,0
1,-2.8,R-HSA-629597,Highly calcium permeable nicotinic acetylcholine receptors,M1,1,0
1,-2.1,R-HSA-8986944,Transcriptional Regulation by MECP2,M1,1,0
1,-3.3,R-HSA-9006931,Signaling by Nuclear Receptors,M1,1,0
1,-3.4,R-HSA-382551,Transport of small molecules,M1,1,0
1,-5,R-HSA-372790,Signaling by GPCR,M1,1,0
1,-3.7,R-HSA-418990,Adherens junctions interactions,M1,1,0
1,-2.7,R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,M1,1,0
1,-3.2,R-HSA-400206,Regulation of lipid metabolism by PPARalpha,M1,1,0
1,-2.6,R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",M1,1,0
1,-2.1,R-HSA-5576893,Phase 2 - plateau phase,M1,1,0
1,-2.2,R-HSA-2024101,CS/DS degradation,M1,1,0
1,-5.4,R-HSA-8948216,Collagen chain trimerization,M1,1,0
1,-4.5,R-HSA-446728,Cell junction organization,M1,1,0
1,-10,R-HSA-8957275,Post-translational protein phosphorylation,M1,1,0
1,-6,R-HSA-500792,GPCR ligand binding,M1,1,0
1,-4.7,R-HSA-5173105,O-linked glycosylation,M1,1,0
1,-2.3,R-HSA-76009,Platelet Aggregation (Plug Formation),M1,1,0
1,-2.1,R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,M1,1,0
1,-2.6,R-HSA-5625900,RHO GTPases activate CIT,M1,1,0
1,-3,R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,M1,1,0
1,-3.5,R-HSA-140875,Common Pathway of Fibrin Clot Formation,M1,1,0
1,-2.4,R-HSA-622323,Presynaptic nicotinic acetylcholine receptors,M1,1,0
1,-2.7,R-HSA-6802949,Signaling by RAS mutants,M1,1,0
1,-3.1,R-HSA-372708,p130Cas linkage to MAPK signaling for integrins,M1,1,0
1,-2.1,R-HSA-195721,Signaling by WNT,M1,1,0
1,-4,R-HSA-373755,Semaphorin interactions,M1,1,0
1,-2.1,R-HSA-354192,Integrin signaling,M1,1,0
1,-2.9,R-HSA-71387,Metabolism of carbohydrates,M1,1,0
1,-4.9,R-HSA-1280215,Cytokine Signaling in Immune system,M1,1,0
1,-2.7,R-HSA-8963898,Plasma lipoprotein assembly,M1,1,0
1,-6.4,R-HSA-1650814,Collagen biosynthesis and modifying enzymes,M1,1,0
1,-9.1,R-HSA-1474290,Collagen formation,M1,1,0
1,-3.8,R-HSA-5083632,Defective C1GALT1C1 causes TNPS,M1,1,0
1,-3.4,R-HSA-375165,NCAM signaling for neurite out-growth,M1,1,0
1,-2.1,R-HSA-975634,Retinoid metabolism and transport,M1,1,0
1,-5.9,R-HSA-449147,Signaling by Interleukins,M1,1,0
1,-2.5,R-HSA-6794362,Protein-protein interactions at synapses,M1,1,0
1,-5,R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",M1,1,0
1,-4.6,R-HSA-419037,NCAM1 interactions,M1,1,0
1,-2.4,R-HSA-418346,Platelet homeostasis,M1,1,0
1,-3.3,R-HSA-388396,GPCR downstream signalling,M1,1,0
1,-2.2,R-HSA-556833,Metabolism of lipids,M1,1,0
1,-6.9,R-HSA-8957322,Metabolism of steroids,M1,1,0
1,-3.9,R-HSA-5083636,Defective GALNT12 causes CRCS1,M1,1,0
1,-2.2,R-HSA-6798695,Neutrophil degranulation,M1,1,0
1,-3.2,R-HSA-1989781,PPARA activates gene expression,M1,1,0
1,-3.7,R-HSA-9823739,Formation of the anterior neural plate,M1,1,0
1,-5.6,R-HSA-202733,Cell surface interactions at the vascular wall,M1,1,0
1,-2.7,R-HSA-445095,Interaction between L1 and Ankyrins,M1,1,0
1,-2.7,R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,M1,1,0
1,-2.7,R-HSA-201451,Signaling by BMP,M1,1,0
1,-6.2,R-HSA-3000170,Syndecan interactions,M1,1,0
1,-2.2,R-HSA-425407,SLC-mediated transmembrane transport,M1,1,0
1,-2.1,R-HSA-181431,Acetylcholine binding and downstream events,M1,1,0
1,-2.6,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,M1,1,0
1,-3.3,R-HSA-449836,Other interleukin signaling,M1,1,0
1,-2.9,R-HSA-1980143,Signaling by NOTCH1,M1,1,0
1,-8.5,R-HSA-1442490,Collagen degradation,M1,1,0
1,-2.6,R-HSA-190377,FGFR2b ligand binding and activation,M1,1,0
1,-10,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M1,1,0
1,-2.2,R-HSA-877300,Interferon gamma signaling,M1,1,0
1,-4,R-HSA-6807047,Cholesterol biosynthesis via desmosterol,M1,1,0
1,-7.3,R-HSA-9675108,Nervous system development,M1,1,0
1,-2.8,R-HSA-2243919,Crosslinking of collagen fibrils,M1,1,0
1,-2.7,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,M1,1,0
1,-2.9,R-HSA-5362517,Signaling by Retinoic Acid,M1,1,0
1,-4.4,R-HSA-3595172,Defective CHST3 causes SEDCJD,M1,1,0
1,-3.2,R-HSA-977068,Termination of O-glycan biosynthesis,M1,1,0
1,-4.1,R-HSA-3781865,Diseases of glycosylation,M1,1,0
1,-4.3,R-HSA-380108,Chemokine receptors bind chemokines,M1,1,0
1,-2.1,R-HSA-2214320,Anchoring fibril formation,M1,1,0
1,-4.7,R-HSA-8875878,MET promotes cell motility,M1,1,0
1,-2.9,R-HSA-9759475,Regulation of CDH11 Expression and Function,M1,1,0
1,-12,R-HSA-1474228,Degradation of the extracellular matrix,M1,1,0
1,-5.6,R-HSA-76002,"Platelet activation, signaling and aggregation",M1,1,0
1,-3,R-HSA-399956,CRMPs in Sema3A signaling,M1,1,0
1,-2.5,R-HSA-1433617,Regulation of signaling by NODAL,M1,1,0
1,-2.7,R-HSA-437239,Recycling pathway of L1,M1,1,0
1,-2.4,R-HSA-629594,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,M1,1,0
1,-3.4,R-HSA-75205,Dissolution of Fibrin Clot,M1,1,0
1,-2.2,R-HSA-9012999,RHO GTPase cycle,M1,1,0
1,-3.6,R-HSA-186797,Signaling by PDGF,M1,1,0
1,-3,R-HSA-5668914,Diseases of metabolism,M1,1,0
1,-2.9,R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,M1,1,0
1,-3.1,R-HSA-3906995,Diseases associated with O-glycosylation of proteins,M1,1,0
1,-2.8,R-HSA-170834,Signaling by TGF-beta Receptor Complex,M1,1,0
1,-4,R-HSA-201556,Signaling by ALK,M1,1,0
1,-4,R-HSA-6807062,Cholesterol biosynthesis via lathosterol,M1,1,0
1,-2.7,R-HSA-8963889,Assembly of active LPL and LIPC lipase complexes,M1,1,0
1,-2.4,R-HSA-157118,Signaling by NOTCH,M1,1,0
1,-5.9,R-HSA-112316,Neuronal System,M1,1,0
1,-3.1,R-HSA-629587,Highly sodium permeable postsynaptic acetylcholine nicotinic receptors,M1,1,0
1,-3.9,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),M1,1,0
1,-2.7,R-HSA-9764260,Regulation of Expression and Function of Type II Classical Cadherins,M1,1,0
1,-7.1,R-HSA-6783783,Interleukin-10 signaling,M1,1,0
1,-6.4,R-HSA-422475,Axon guidance,M1,1,0
1,-10,R-HSA-3000178,ECM proteoglycans,M1,1,0
1,-3,R-HSA-2980736,Peptide hormone metabolism,M1,1,0
1,-2.5,R-HSA-2022923,Dermatan sulfate biosynthesis,M1,1,0
1,-2.7,R-HSA-9759476,Regulation of Homotypic Cell-Cell Adhesion,M1,1,0
1,-2.6,R-HSA-5686938,Regulation of TLR by endogenous ligand,M1,1,0
1,-10,R-HSA-3000171,Non-integrin membrane-ECM interactions,M1,1,0
1,-5.5,R-HSA-9006936,Signaling by TGFB family members,M1,1,0
1,-5.8,R-HSA-8874081,MET activates PTK2 signaling,M1,1,0
1,-2.9,R-HSA-5621480,Dectin-2 family,M1,1,0
1,-4.7,R-HSA-210745,Regulation of gene expression in beta cells,M1,1,0
1,-2.1,R-HSA-3772470,Negative regulation of TCF-dependent signaling by WNT ligand antagonists,M1,1,0
1,-6.4,R-HSA-8963899,Plasma lipoprotein remodeling,M1,1,0
1,-8.4,R-HSA-1655829,Regulation of cholesterol biosynthesis by SREBP (SREBF),M1,1,0
1,-2.5,R-HSA-71288,Creatine metabolism,M1,1,0
1,-2.1,R-HSA-622327,Postsynaptic nicotinic acetylcholine receptors,M1,1,0
1,-2.2,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,M1,1,0
1,-2.4,R-HSA-389948,PD-1 signaling,M1,1,0
1,-2.7,R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,M1,1,0
1,-3.6,R-HSA-375276,Peptide ligand-binding receptors,M1,1,0
1,-7.2,R-HSA-373760,L1CAM interactions,M1,1,0
1,-6.5,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,M1,1,0
1,-3.8,R-HSA-1500931,Cell-Cell communication,M1,1,0
1,-24,R-HSA-1474244,Extracellular matrix organization,M1,1,0
1,-6.2,R-HSA-210746,Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells,M1,1,0
1,-3.9,R-HSA-112315,Transmission across Chemical Synapses,M1,1,0
1,-3,R-HSA-5674135,MAP2K and MAPK activation,M1,1,0
1,-2.5,R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,M1,1,0
1,-3.2,R-HSA-112310,Neurotransmitter release cycle,M1,1,0
1,-2.5,R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,M1,1,0
1,-3.6,R-HSA-421270,Cell-cell junction organization,M1,1,0
1,-2.8,R-HSA-373080,Class B/2 (Secretin family receptors),M1,1,0
1,-12,R-HSA-109582,Hemostasis,M1,1,0
1,-2.3,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),M1,1,0
1,-3,R-HSA-2132295,MHC class II antigen presentation,M1,1,0
1,-7.5,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M1,1,0
1,-2.2,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,M1,1,0
1,-3.5,R-HSA-1181150,Signaling by NODAL,M1,1,0
1,-3.1,R-HSA-354194,GRB2:SOS provides linkage to MAPK signaling for Integrins,M1,1,0
1,-2.9,R-HSA-9656223,Signaling by RAF1 mutants,M1,1,0
