_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-31,C0030297,M1,1,0,DisGeNET,35,Pancreatic Neoplasm,,-31,4.2,16,30293,764,875,93,11,1,60|216|238|664|688|768|886|960|1030|1045|1048|1050|1400|1440|1469|1630|1634|1803|1894|2255|2258|2335|2562|2810|2821|3099|3383|3491|3552|3572|3673|3716|3939|4015|4070|4192|4313|4316|4318|4319|4582|4586|4609|4680|4804|4885|4914|4916|5054|5210|5327|5328|5329|5644|5727|5764|6347|6364|6422|6423|6425|6498|6690|6876|7031|7045|7052|7057|7076|7291|7424|7474|8404|8434|8553|9201|9289|9547|10397|10551|11199|22915|23022|23600|27319|27346|51129|54474|55655|55902|56667|64399|65125,ACTB|ALDH1A1|ALK|BNIP3|KLF5|CA9|CCKAR|CD44|CDKN2B|CDX2|CEACAM5|CEBPA|CRMP1|CSF3|CST1|DCC|DCN|DPP4|ECT2|FGF10|FGF13|FN1|GABRB3|SFN|GPI|HK2|ICAM1|CCN1|IL1A|IL6ST|ITGA2|JAK1|LDHA|LOX|TACSTD2|MDK|MMP2|MMP7|MMP9|MMP10|MUC1|MUC5AC|MYC|CEACAM6|NGFR|NPTX2|NTRK1|NTRK3|SERPINE1|PFKFB4|PLAT|PLAU|PLAUR|PRSS1|PTCH1|PTN|CCL2|CCL20|SFRP1|SFRP2|SFRP5|SKIL|SPINK1|TAGLN|TFF1|TGFBI|TGM2|THBS1|TIMP1|TWIST1|VEGFC|WNT5A|SPARCL1|RECK|BHLHE40|DCLK1|ADGRG1|CXCL14|NDRG1|AGR2|ANXA10|MMRN1|PALLD|AMACR|BHLHE22|TMEM97|ANGPTL4|KRT20|NLRP2|ACSS2|MUC13|HHIP|WNK1,-28,0
1,-26,C0555198,M1,1,0,DisGeNET,35,Malignant Glioma,,-26,3.9,14,30293,724,875,82,9.4,0.99,60|577|664|768|796|846|960|1030|1356|1462|1630|1634|1894|2173|2335|2346|2697|2913|3099|3209|3371|3383|3552|3598|3897|3925|3939|4023|4070|4192|4288|4312|4313|4318|4597|4601|4609|4804|4885|4914|4916|5046|5080|5155|5328|5360|5764|6347|6352|6664|6781|6900|7045|7057|7070|7076|7103|7345|7431|7538|8140|8434|8549|9068|9141|9211|9547|10215|10397|10446|10630|11170|22918|27319|51129|55022|55966|64067|64321|79727|255738|259266,ACTB|ADGRB3|BNIP3|CA9|CALCA|CASR|CD44|CDKN2B|CP|VCAN|DCC|DCN|ECT2|FABP7|FN1|FOLH1|GJA1|GRM3|HK2|HOXA13|TNC|ICAM1|IL1A|IL13RA2|L1CAM|STMN1|LDHA|LPL|TACSTD2|MDK|MKI67|MMP1|MMP2|MMP9|MVD|MXI1|MYC|NGFR|NPTX2|NTRK1|NTRK3|PCSK6|PAX6|PDGFB|PLAU|PLTP|PTN|CCL2|CCL5|SOX11|STC1|CNTN2|TGFBI|THBS1|THY1|TIMP1|TSPAN8|UCHL1|VIM|ZFP36|SLC7A5|RECK|LGR5|ANGPTL1|PDCD5|LGI1|CXCL14|OLIG2|NDRG1|LRRN2|PDPN|FAM107A|CD93|BHLHE22|ANGPTL4|PID1|AJAP1|NPAS3|SOX17|LIN28A|PCSK9|ASPM,-22,0
1,-23,C0004763,M1,1,0,DisGeNET,35,Barrett Esophagus,,-23,4.6,14,30293,478,875,63,7.2,0.87,60|182|290|338|688|960|1012|1045|1277|1630|1672|1803|1901|1906|2168|2335|2487|3315|3371|3383|3486|3491|3552|3852|4118|4288|4312|4313|4316|4318|4582|4584|4586|4601|4609|4680|5021|6422|6423|6476|6498|6927|6935|7031|7052|7076|7431|7474|8313|8549|9075|9201|9590|10551|11199|11237|23600|54474|56033|56287|57761|90139|140453,ACTB|JAG1|ANPEP|APOB|KLF5|CD44|CDH13|CDX2|COL1A1|DCC|DEFB1|DPP4|S1PR1|EDN1|FABP1|FN1|FRZB|HSPB1|TNC|ICAM1|IGFBP3|CCN1|IL1A|KRT5|MAL|MKI67|MMP1|MMP2|MMP7|MMP9|MUC1|MUC3A|MUC5AC|MXI1|MYC|CEACAM6|OXTR|SFRP1|SFRP2|SI|SKIL|HNF1A|ZEB1|TFF1|TGM2|TIMP1|VIM|WNT5A|AXIN2|LGR5|CLDN2|DCLK1|AKAP12|AGR2|ANXA10|RNF24|AMACR|KRT20|BARX1|GKN1|TRIB3|TSPAN18|MUC17,-20,0
1,-22,C0521158,M1,1,0,DisGeNET,35,Recurrent tumor,,-22,3.6,12,30293,735,875,77,8.8,0.96,60|174|182|216|238|701|796|846|960|1012|1030|1045|1048|1062|1087|1191|1280|1630|1803|1910|2180|2258|2335|2346|2810|3315|3371|3486|3557|3642|3732|3852|3918|3925|3936|4288|4312|4313|4316|4318|4582|4601|4609|4680|5077|5727|6319|6347|6352|6374|6607|6781|6935|7031|7052|7057|7076|7168|7424|7431|8277|8878|9612|10215|10551|10630|11010|11199|54474|55536|55612|55893|56108|57007|57761|65125|166824,ACTB|AFP|JAG1|ALDH1A1|ALK|BUB1B|CALCA|CASR|CD44|CDH13|CDKN2B|CDX2|CEACAM5|CENPE|CEACAM7|CLU|COL2A1|DCC|DPP4|EDNRB|ACSL1|FGF13|FN1|FOLH1|SFN|HSPB1|TNC|IGFBP3|IL1RN|INSM1|CD82|KRT5|LAMC2|STMN1|LCP1|MKI67|MMP1|MMP2|MMP7|MMP9|MUC1|MXI1|MYC|CEACAM6|PAX3|PTCH1|SCD|CCL2|CCL5|CXCL5|SMN2|STC1|ZEB1|TFF1|TGM2|THBS1|TIMP1|TPM1|VEGFC|VIM|TKTL1|SQSTM1|NCOR2|OLIG2|AGR2|PDPN|GLIPR1|ANXA10|KRT20|CDCA7L|FERMT1|ZNF395|PCDHGA7|ACKR3|TRIB3|WNK1|RASSF6,-19,0
1,-22,C0151744,M1,1,0,DisGeNET,35,Myocardial Ischemia,,-22,3.6,12,30293,756,875,78,8.9,0.96,60|134|226|290|338|345|409|796|861|1050|1052|1137|1440|1559|1634|1803|1906|1910|2224|2244|2335|2697|2701|2920|3099|3123|3158|3315|3371|3383|3399|3486|3491|3552|3557|3572|3776|3939|4015|4023|4223|4316|4318|4329|4547|4973|5024|5054|5069|5142|5320|6258|6288|6289|6319|6347|6364|6535|6546|6616|6876|6935|7185|7351|7538|7846|8313|8553|10874|29881|51561|54541|55655|64581|65125|79727|255738|259266,ACTB|ADORA1|ALDOA|ANPEP|APOB|APOC3|ARRB2|CALCA|RUNX1|CEBPA|CEBPD|CHRNA4|CSF3|CYP2C9|DCN|DPP4|EDN1|EDNRB|FDPS|FGB|FN1|GJA1|GJA4|CXCL2|HK2|HLA-DRB1|HMGCS2|HSPB1|TNC|ICAM1|ID3|IGFBP3|CCN1|IL1A|IL1RN|IL6ST|KCNK2|LDHA|LOX|LPL|MEOX2|MMP7|MMP9|ALDH6A1|MTTP|OLR1|P2RX3|SERPINE1|PAPPA|PDE4B|PLA2G2A|RXRG|SAA1|SAA2|SCD|CCL2|CCL20|SLC6A8|SLC8A1|SNAP25|TAGLN|ZEB1|TRAF1|UCP2|ZFP36|TUBA1A|AXIN2|BHLHE40|NMU|NPC1L1|IL23A|DDIT4|NLRP2|CLEC7A|WNK1|LIN28A|PCSK9|ASPM,-19,0
1,-21,C0149521,M1,1,0,DisGeNET,35,"Pancreatitis, Chronic",,-21,4.8,13,30293,379,875,53,6.1,0.81,60|182|846|960|1045|1048|1191|1277|1301|1440|1634|1906|2331|2335|3123|3371|3383|3552|3716|4023|4312|4316|4319|4582|4586|4609|4804|4885|4914|5644|5727|6347|6364|6422|6546|6607|6690|7031|7041|7076|8404|9075|9547|10551|11199|27035|50506|60468|60482|64399|65125|79710|166824,ACTB|JAG1|CASR|CD44|CDX2|CEACAM5|CLU|COL1A1|COL11A1|CSF3|DCN|EDN1|FMOD|FN1|HLA-DRB1|TNC|ICAM1|IL1A|JAK1|LPL|MMP1|MMP7|MMP10|MUC1|MUC5AC|MYC|NGFR|NPTX2|NTRK1|PRSS1|PTCH1|CCL2|CCL20|SFRP1|SLC8A1|SMN2|SPINK1|TFF1|TGFB1I1|TIMP1|SPARCL1|CLDN2|CXCL14|AGR2|ANXA10|NOX1|DUOX2|BACH2|SLC5A7|HHIP|WNK1|MORC4|RASSF6,-18,0
1,-21,C0153690,M1,1,0,DisGeNET,35,Secondary malignant neoplasm of bone,,-21,3.7,12,30293,647,875,70,8,0.92,174|182|216|238|388|846|960|1048|1462|1621|1634|1803|1906|2258|2335|2346|2487|2521|2697|2913|3315|3371|3383|3486|3552|3572|3604|3673|3676|3685|3732|3897|4015|4312|4313|4318|4547|4582|4609|4680|4914|4916|5054|5806|6347|6364|6372|6374|6927|6935|6997|7045|7052|7291|7431|7474|8788|8878|9241|9290|9547|9839|10397|22915|23452|54474|56937|57007|255743|401152,AFP|JAG1|ALDH1A1|ALK|RHOB|CASR|CD44|CEACAM5|VCAN|DBH|DCN|DPP4|EDN1|FGF13|FN1|FOLH1|FRZB|FUS|GJA1|GRM3|HSPB1|TNC|ICAM1|IGFBP3|IL1A|IL6ST|TNFRSF9|ITGA2|ITGA4|ITGAV|CD82|L1CAM|LOX|MMP1|MMP2|MMP9|MTTP|MUC1|MYC|CEACAM6|NTRK1|NTRK3|SERPINE1|PTX3|CCL2|CCL20|CXCL6|CXCL5|HNF1A|ZEB1|CRIPTO|TGFBI|TGM2|TWIST1|VIM|WNT5A|DLK1|SQSTM1|NOG|GPR55|CXCL14|ZEB2|NDRG1|MMRN1|ANGPTL2|KRT20|PMEPA1|ACKR3|NPNT|C4orf3,-18,0
1,-20,C1658953,M1,1,0,DisGeNET,35,tumor vasculature,,-20,6.6,14,30293,200,875,38,4.3,0.69,290|726|768|846|1012|1048|1910|2335|2346|3371|3383|3491|3598|3897|3939|4192|4313|4318|4858|4973|5054|5069|5196|5328|5764|6352|6423|6607|7045|7057|7351|10682|22915|23129|57007|57124|112399|260293,ANPEP|CAPN5|CA9|CASR|CDH13|CEACAM5|EDNRB|FN1|FOLH1|TNC|ICAM1|CCN1|IL13RA2|L1CAM|LDHA|MDK|MMP2|MMP9|NOVA2|OLR1|SERPINE1|PAPPA|PF4|PLAU|PTN|CCL5|SFRP2|SMN2|TGFBI|THBS1|UCP2|EBP|MMRN1|PLXND1|ACKR3|CD248|EGLN3|CYP4X1,-17,0
1,-19,C0004936,M1,1,0,DisGeNET,35,Mental disorders,,-19,3.3,11,30293,789,875,76,8.7,0.95,60|117|216|338|409|577|796|886|928|1012|1137|1356|1621|1808|2042|2346|2697|2823|2913|3156|3383|3557|3855|3918|3925|4318|4804|4897|5021|5080|5142|5155|5327|5521|6289|6328|6493|6570|6616|6860|6886|6927|7052|7101|7103|7122|7869|8728|9201|9248|9260|9378|9612|9638|10215|11122|11211|11255|22986|23566|26047|26115|26137|27319|54210|54329|55117|55902|57007|64067|84867|85300|114798|114815|259266|494470,ACTB|ADCYAP1R1|ALDH1A1|APOB|ARRB2|ADGRB3|CALCA|CCKAR|CD9|CDH13|CHRNA4|CP|DBH|DPYSL2|EPHA3|FOLH1|GJA1|GPM6A|GRM3|HMGCR|ICAM1|IL1RN|KRT7|LAMC2|STMN1|MMP9|NGFR|NRCAM|OXTR|PAX6|PDE4B|PDGFB|PLAT|PPP2R2B|SAA2|SCN3A|SIM2|SLC18A1|SNAP25|SYT4|TAL1|HNF1A|TGM2|NR2E1|TSPAN8|CLDN5|SEMA3B|ADAM19|DCLK1|GPR50|PDLIM7|NRXN1|NCOR2|FEZ1|OLIG2|PTPRT|FZD10|HRH3|SORCS3|LPAR3|CNTNAP2|TANC2|ZBTB20|BHLHE22|TREM1|GPR85|SLC6A15|ACSS2|ACKR3|NPAS3|PTPN5|ATCAY|SLITRK1|SORCS1|ASPM|ARK2C,-16,0
1,-19,C0027708,M1,1,0,DisGeNET,35,Nephroblastoma,,-19,3.8,12,30293,586,875,64,7.3,0.88,93|174|182|216|238|701|768|796|861|862|960|1012|1030|1048|1050|1293|1382|1440|1630|2335|2624|3236|3491|3855|4004|4192|4288|4547|4582|4804|4825|4826|5054|5076|5077|5080|5420|5727|5764|6422|6496|6515|6546|6736|6886|6927|7057|7070|7076|7431|7474|8434|8788|11010|11346|23405|54474|58524|79727|79870|84798|219287|255738|389421,ACVR2B|AFP|JAG1|ALDH1A1|ALK|BUB1B|CA9|CALCA|RUNX1|RUNX1T1|CD44|CDH13|CDKN2B|CEACAM5|CEBPA|COL6A3|CRABP2|CSF3|DCC|FN1|GATA2|HOXD10|CCN1|KRT7|LMO1|MDK|MKI67|MTTP|MUC1|NGFR|NKX6-1|NNAT|SERPINE1|PAX2|PAX3|PAX6|PODXL|PTCH1|PTN|SFRP1|SIX3|SLC2A3|SLC8A1|SRY|TAL1|HNF1A|THBS1|THY1|TIMP1|VIM|WNT5A|RECK|DLK1|GLIPR1|SYNPO|DICER1|KRT20|DMRT3|LIN28A|BAALC|C19orf48P|AMER2|PCSK9|LIN28B,-16,0
