_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-28,PGB:00014,M1,1,0,PaGenBase,36,Cell-specific: DRG,,-28,5.2,15,30293,456,875,68,7.8,0.91,20|419|477|688|744|796|1048|1301|1382|1400|1462|1621|1804|1910|1995|1996|2173|2258|2346|2596|2675|2701|3371|3798|3897|3936|4004|4023|4081|4222|4223|4741|4804|4885|4914|4916|5100|5121|5266|5354|5764|5803|6456|6616|6781|7070|7103|7545|7869|9201|9211|9378|9745|9892|10439|11075|11122|22986|23012|26002|26050|54674|55117|55885|56144|65009|91851|253982,ABCA2|ART3|ATP1A2|KLF5|MPPED2|CALCA|CEACAM5|COL11A1|CRABP2|CRMP1|VCAN|DBH|DPP6|EDNRB|ELAVL3|ELAVL4|FABP7|FGF13|FOLH1|GAP43|GFRA2|GJA4|TNC|KIF5A|L1CAM|LCP1|LMO1|LPL|MAB21L1|MEOX1|MEOX2|NEFM|NGFR|NPTX2|NTRK1|NTRK3|PCDH8|PCP4|PI3|PLP1|PTN|PTPRZ1|SH3GL2|SNAP25|STC1|THY1|TSPAN8|ZIC1|SEMA3B|DCLK1|LGI1|NRXN1|ZNF536|SNAP91|OLFM1|STMN2|PTPRT|SORCS3|STK38L|MOXD1|SLITRK5|LRRN3|SLC6A15|LMO3|PCDHA4|NDRG4|CHRDL1|ASPHD1,-25,0
1,-16,PGB:00015,M1,1,0,PaGenBase,36,Tissue-specific: Smooth Muscle,,-16,8.4,13,30293,103,875,25,2.9,0.56,1440|1462|1803|2258|2632|2919|3552|3912|4015|4312|5033|5054|5352|5806|6347|6372|6374|6781|7045|7057|8614|11010|11123|25932|55022,CSF3|VCAN|DPP4|FGF13|GBE1|CXCL1|IL1A|LAMB1|LOX|MMP1|P4HA1|SERPINE1|PLOD2|PTX3|CCL2|CXCL6|CXCL5|STC1|TGFBI|THBS1|STC2|GLIPR1|RCAN3|CLIC4|PID1,-13,0
1,-13,PGB:00120,M1,1,0,PaGenBase,36,Cell-specific: Cardiac Myocytes,,-13,10,13,30293,60,875,18,2.1,0.48,1404|1906|2335|2791|2919|3486|3572|4312|5054|5069|5327|5352|6347|6372|7057|7168|8614|57575,HAPLN1|EDN1|FN1|GNG11|CXCL1|IGFBP3|IL6ST|MMP1|SERPINE1|PAPPA|PLAT|PLOD2|CCL2|CXCL6|THBS1|TPM1|STC2|PCDH10,-11,0
1,-11,PGB:00007,M1,1,0,PaGenBase,36,Tissue-specific: colon,,-11,3.8,8.9,30293,338,875,37,4.2,0.68,688|1045|1048|1087|1179|1264|1308|3209|3960|4017|6476|7031|7103|9245|9914|9982|10551|10586|10637|10917|27035|27134|54474|55018|55612|55808|56667|79983|140453|148156|170825|222171|346606|389158|440603|644844|653808,KLF5|CDX2|CEACAM5|CEACAM7|CLCA1|CNN1|COL17A1|HOXA13|LGALS4|LOXL2|SI|TFF1|TSPAN8|GCNT3|ATP2C2|FGFBP1|AGR2|MAB21L2|LEFTY1|BTNL3|NOX1|TJP3|KRT20|ANKRD40CL|FERMT1|ST6GALNAC1|MUC13|POF1B|MUC17|ZNF558|GSX2|PRR15|MOGAT3|PLSCR5|BCL2L15|PHGR1|ZG16,-9.1,0
1,-9.3,PGB:00081,M1,1,0,PaGenBase,36,Cell-specific: Bronchial Epithelial Cells,,-9.3,5.3,8.7,30293,137,875,21,2.4,0.52,182|646|771|928|1308|2810|3552|3852|3854|3855|3918|4070|4496|5328|6385|7424|9638|9982|10512|10551|55612,JAG1|BNC1|CA12|CD9|COL17A1|SFN|IL1A|KRT5|KRT6B|KRT7|LAMC2|TACSTD2|MT1H|PLAU|SDC4|VEGFC|FEZ1|FGFBP1|SEMA3C|AGR2|FERMT1,-7.4,0
1,-8.9,PGB:00049,M1,1,0,PaGenBase,36,Cell-specific: Adipocyte,,-8.9,5,8.4,30293,145,875,21,2.4,0.52,1293|1634|2180|2273|2619|3936|4023|4313|4642|5320|5396|6319|7070|8434|11075|11096|23452|55902|56944|57124|91851,COL6A3|DCN|ACSL1|FHL1|GAS1|LCP1|LPL|MMP2|MYO1D|PLA2G2A|PRRX1|SCD|THY1|RECK|STMN2|ADAMTS5|ANGPTL2|ACSS2|OLFML3|CD248|CHRDL1,-6.9,0
1,-8.4,PGB:00107,M1,1,0,PaGenBase,36,Cell-specific: SHSYSY-RA,,-8.4,9.2,9.5,30293,45,875,12,1.4,0.39,796|1136|1641|3785|4081|4741|6570|6572|6616|8492|9201|11189,CALCA|CHRNA3|DCX|KCNQ2|MAB21L1|NEFM|SLC18A1|SLC18A3|SNAP25|PRSS12|DCLK1|CELF3,-6.5,0
1,-8.2,PGB:00067,M1,1,0,PaGenBase,36,Cell-specific: Brain cell,,-8.2,7.2,8.8,30293,67,875,14,1.6,0.42,1293|1462|2791|3371|3486|4015|4313|5054|5328|5396|7474|11010|55966|79870,COL6A3|VCAN|GNG11|TNC|IGFBP3|LOX|MMP2|SERPINE1|PLAU|PRRX1|WNT5A|GLIPR1|AJAP1|BAALC,-6.4,0
1,-6,PGB:00001,M1,1,0,PaGenBase,36,Tissue-specific: liver,,-6,2.2,5.5,30293,692,875,44,5,0.74,336|338|345|875|1050|1356|1361|1465|1559|2168|2243|2244|2266|2593|2645|2920|3026|3157|3158|3218|3960|4547|4582|5045|5077|5420|5446|5919|6288|6289|6690|6906|7076|9075|9248|10682|11199|23316|29881|57761|114785|255738|284904|653857,APOA2|APOB|APOC3|CBS|CEBPA|CP|CPB2|CSRP1|CYP2C9|FABP1|FGA|FGB|FGG|GAMT|GCK|CXCL2|HABP2|HMGCS1|HMGCS2|HOXB8|LGALS4|MTTP|MUC1|FURIN|PAX3|PODXL|PON3|RARRES2|SAA1|SAA2|SPINK1|SERPINA7|TIMP1|CLDN2|GPR50|EBP|ANXA10|CUX2|NPC1L1|TRIB3|MBD6|PCSK9|SEC14L4|ACTR3C,-4.4,0
1,-5.7,PGB:00078,M1,1,0,PaGenBase,36,Cell-specific: liver cell,,-5.7,4.9,6.5,30293,91,875,13,1.5,0.41,174|336|338|1361|2168|2243|2244|4069|4547|6364|6658|6906|8313,AFP|APOA2|APOB|CPB2|FABP1|FGA|FGB|LYZ|MTTP|CCL20|SOX3|SERPINA7|AXIN2,-4.1,0
1,-5.4,PGB:00060,M1,1,0,PaGenBase,36,Tissue-specific: retinoblastoma,,-5.4,4.6,6.2,30293,97,875,13,1.5,0.41,60|1382|4015|4288|4312|5396|5806|6241|7057|7474|8614|23138|25891,ACTB|CRABP2|LOX|MKI67|MMP1|PRRX1|PTX3|RRM2|THBS1|WNT5A|STC2|N4BP3|PAMR1,-3.8,0
1,-5.3,PGB:00020,M1,1,0,PaGenBase,36,Tissue-specific: retina,,-5.3,4,5.9,30293,130,875,15,1.7,0.44,1421|1910|2487|4004|4081|4308|4760|5080|5121|6425|6496|30813|54102|84107|338917,CRYGD|EDNRB|FRZB|LMO1|MAB21L1|TRPM1|NEUROD1|PAX6|PCP4|SFRP5|SIX3|VSX1|CLIC6|ZIC4|VSX2,-3.7,0
1,-5.1,PGB:00065,M1,1,0,PaGenBase,36,Tissue-specific: Breast,,-5.1,3.7,5.7,30293,150,875,16,1.8,0.45,174|861|1641|2846|3852|3854|4826|5021|6319|7021|8614|23022|55200|56937|253143|646625,AFP|RUNX1|DCX|LPAR4|KRT5|KRT6B|NNAT|OXTR|SCD|TFAP2B|STC2|PALLD|PLEKHG6|PMEPA1|PRR14L|URAD,-3.6,0
1,-5,PGB:00045,M1,1,0,PaGenBase,36,Tissue-specific: placenta,,-5,2.7,5.2,30293,305,875,24,2.7,0.55,93|517|1749|2335|2624|3624|4826|5054|5069|5155|5328|6572|7052|7869|8482|10630|10761|10886|22918|23764|55655|57211|124935|389136,ACVR2B|ATP5MC2|DLX5|FN1|GATA2|INHBA|NNAT|SERPINE1|PAPPA|PDGFB|PLAU|SLC18A3|TGM2|SEMA3B|SEMA7A|PDPN|PLAC1|NPFFR2|CD93|MAFF|NLRP2|ADGRG6|SLC43A2|VGLL3,-3.5,0
1,-4.9,PGB:00031,M1,1,0,PaGenBase,36,Cell-specific: HUVEC,,-4.9,2.5,5.1,30293,371,875,27,3.1,0.58,1012|1901|2697|2919|2977|3776|3855|4070|4131|4312|4319|4858|4897|5045|5054|5155|5329|5806|6498|7052|7057|7424|9260|23302|55530|116372|120224,CDH13|S1PR1|GJA1|CXCL1|GUCY1A2|KCNK2|KRT7|TACSTD2|MAP1B|MMP1|MMP10|NOVA2|NRCAM|FURIN|SERPINE1|PDGFB|PLAUR|PTX3|SKIL|TGM2|THBS1|VEGFC|PDLIM7|WSCD1|SVOP|LYPD1|TMEM45B,-3.4,0
1,-4.6,PGB:00118,M1,1,0,PaGenBase,36,Cell-specific: SHSYSY+RA,,-4.6,20,8.6,30293,7,875,4,0.46,0.23,429|6496|24141|79570,ASCL1|SIX3|LAMP5|NKAIN1,-3.2,0
1,-4.5,PGB:00069,M1,1,0,PaGenBase,36,Cell-specific: A204,,-4.5,5.5,5.8,30293,57,875,9,1,0.34,744|960|1301|1356|3371|4223|5178|6781|10863,MPPED2|CD44|COL11A1|CP|TNC|MEOX2|PEG3|STC1|ADAM28,-3.1,0
1,-4.3,PGB:00002,M1,1,0,PaGenBase,36,Cell-specific: HEPG2,,-4.3,2.3,4.6,30293,425,875,28,3.2,0.59,18|174|338|345|1361|1803|1999|2168|2243|2244|2266|2593|3557|4547|4897|5320|6364|6690|6906|6927|8435|8549|8614|10205|10551|25841|51142|54329,ABAT|AFP|APOB|APOC3|CPB2|DPP4|ELF3|FABP1|FGA|FGB|FGG|GAMT|IL1RN|MTTP|NRCAM|PLA2G2A|CCL20|SPINK1|SERPINA7|HNF1A|SOAT2|LGR5|STC2|MPZL2|AGR2|ABTB2|CHCHD2|GPR85,-2.9,0
1,-3.8,PGB:00079,M1,1,0,PaGenBase,36,Tissue-specific: Caudate nucleus,,-3.8,5.9,5.4,30293,41,875,7,0.8,0.3,3918|7101|24141|26355|27092|54550|84107,LAMC2|NR2E1|LAMP5|FAM162A|CACNG4|NECAB2|ZIC4,-2.5,0
1,-3.8,PGB:00082,M1,1,0,PaGenBase,36,Cell-specific: Breast cell,,-3.8,5,5.2,30293,55,875,8,0.91,0.32,1952|2674|3852|3875|4070|7031|10551|255743,CELSR2|GFRA1|KRT5|KRT18|TACSTD2|TFF1|AGR2|NPNT,-2.5,0
1,-3.6,PGB:00051,M1,1,0,PaGenBase,36,Tissue-specific: Cerebellum,,-3.6,3.2,4.5,30293,141,875,13,1.5,0.41,1995|2020|2196|4081|4760|5080|6511|7545|7546|8497|9671|23302|253982,ELAVL3|EN2|FAT2|MAB21L1|NEUROD1|PAX6|SLC1A6|ZIC1|ZIC2|PPFIA4|WSCD2|WSCD1|ASPHD1,-2.4,0
1,-3.5,PGB:00019,M1,1,0,PaGenBase,36,Cell-specific: H1-hesc,,-3.5,2.1,4,30293,447,875,27,3.1,0.58,477|1137|1421|1641|3696|4496|4622|5196|5446|5456|6352|6656|7477|9289|10008|10637|23024|27328|29106|55200|56130|56144|56146|64332|83482|256536|440712,ATP1A2|CHRNA4|CRYGD|DCX|ITGB8|MT1H|MYH4|PF4|PON3|POU3F4|CCL5|SOX1|WNT7B|ADGRG1|KCNE3|LEFTY1|PDZRN3|PCDH11X|SCG3|PLEKHG6|PCDHB6|PCDHA4|PCDHA2|NFKBIZ|SCRT1|TCERG1L|RHEX,-2.3,0
1,-3.5,PGB:00018,M1,1,0,PaGenBase,36,Tissue-specific: lung,,-3.5,2,3.9,30293,498,875,29,3.3,0.61,659|960|1440|1906|2697|2919|3119|3383|3855|3918|4069|4319|4582|4680|4973|5266|6347|6364|6372|6498|6664|7122|8482|10326|11227|54210|79949|81027|729857,BMPR2|CD44|CSF3|EDN1|GJA1|CXCL1|HLA-DQB1|ICAM1|KRT7|LAMC2|LYZ|MMP10|MUC1|CEACAM6|OLR1|PI3|CCL2|CCL20|CXCL6|SKIL|SOX11|CLDN5|SEMA7A|SIRPB1|GALNT5|TREM1|PLEKHS1|TUBB1|RGPD2,-2.3,0
1,-3.5,PGB:00008,M1,1,0,PaGenBase,36,Tissue-specific: small intestine,,-3.5,3.2,4.4,30293,128,875,12,1.4,0.39,4312|4547|4584|6425|6476|29881|56144|79853|89872|140453|151354|284099,MMP1|MTTP|MUC3A|SFRP5|SI|NPC1L1|PCDHA4|TM4SF20|AQP10|MUC17|LRATD1|C17orf78,-2.2,0
1,-3.4,PGB:00142,M1,1,0,PaGenBase,36,Cell-specific: Cervical Ectoepithelial,,-3.4,11,6,30293,13,875,4,0.46,0.23,5100|6653|9982|57451,PCDH8|SORL1|FGFBP1|TENM2,-2.2,0
1,-3.4,PGB:00080,M1,1,0,PaGenBase,36,Cell-specific: huh-7,,-3.4,7.5,5.4,30293,23,875,5,0.57,0.25,1050|1280|2168|4547|6690,CEBPA|COL2A1|FABP1|MTTP|SPINK1,-2.2,0
1,-3.4,PGB:00004,M1,1,0,PaGenBase,36,Tissue-specific: kidney,,-3.4,2,3.8,30293,483,875,28,3.2,0.59,771|846|1672|1803|2244|3212|3218|3772|4316|4496|5069|5076|5456|6493|7021|9075|9620|10655|23600|50614|55214|55351|79919|147040|166824|169693|338094|387700,CA12|CASR|DEFB1|DPP4|FGB|HOXB2|HOXB8|KCNJ15|MMP7|MT1H|PAPPA|PAX2|POU3F4|SIM2|TFAP2B|CLDN2|CELSR1|DMRT2|AMACR|GALNT9|P3H2|STK32B|MAB21L4|KCTD11|RASSF6|TMEM252|FAM151A|SLC16A12,-2.2,0
1,-3.2,PGB:00072,M1,1,0,PaGenBase,36,Tissue-specific: uterus,,-3.2,3.8,4.3,30293,83,875,9,1,0.34,1264|2018|2619|4316|4319|6659|6781|9260|80045,CNN1|EMX2|GAS1|MMP7|MMP10|SOX4|STC1|PDLIM7|GPR157,-2,0
1,-3.1,PGB:00126,M1,1,0,PaGenBase,36,Cell-specific: Testis cell,,-3.1,6.7,5,30293,26,875,5,0.57,0.25,3772|5727|55211|64321|283659,KCNJ15|PTCH1|DPPA4|SOX17|PRTG,-1.9,0
