Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
4312,3.0,1,1,1
60,3.0,1,1,1
10135,3.0,1,1,1
1634,3.0,1,1,1
25802,3.0,1,1,1
284217,3.0,1,1,1
6352,3.0,1,1,1
2668,3.0,1,1,1
8549,3.0,1,1,1
8912,3.0,1,1,1
3553,3.0,1,1,1
4920,3.0,1,1,1
7057,3.0,1,1,1
55214,3.0,1,1,1
2260,3.0,1,1,1
8844,3.0,1,1,1
1311,3.0,1,1,1
3676,3.0,1,1,1
2920,3.0,1,1,1
4325,3.0,1,1,1
6372,3.0,1,1,1
2023,3.0,1,1,1
3437,3.0,1,1,1
5106,3.0,1,1,1
1286,3.0,1,1,1
8743,3.0,1,1,1
81624,3.0,1,1,1
8633,3.0,1,1,1
6382,3.0,1,1,1
3690,3.0,1,1,1
2201,3.0,1,1,1
684,3.0,1,1,1
2982,3.0,1,1,1
6657,3.0,1,1,1
19,3.0,1,1,1
4052,3.0,1,1,1
50964,3.0,1,1,1
285704,3.0,1,1,1
7408,3.0,1,1,1
871,3.0,1,1,1
4609,3.0,1,1,1
59283,3.0,1,1,1
2316,3.0,1,1,1
388,3.0,1,1,1
8425,3.0,1,1,1
5742,3.0,1,1,1
22795,3.0,1,1,1
55901,3.0,1,1,1
1306,3.0,1,1,1
169044,3.0,1,1,1
1300,3.0,1,1,1
3910,3.0,1,1,1
3105,3.0,1,1,1
10018,3.0,1,1,1
182,3.0,1,1,1
84870,3.0,1,1,1
6385,3.0,1,1,1
8325,3.0,1,1,1
3554,3.0,1,1,1
2908,3.0,1,1,1
3084,3.0,1,1,1
1277,3.0,1,1,1
3122,3.0,1,1,1
7296,3.0,1,1,1
8788,3.0,1,1,1
2634,3.0,1,1,1
7169,3.0,1,1,1
7412,3.0,1,1,1
1958,3.0,1,1,1
11227,3.0,1,1,1
3376,3.0,1,1,1
2921,3.0,1,1,1
1296,3.0,1,1,1
4317,3.0,1,1,1
166012,3.0,1,1,1
5740,3.0,1,1,1
54437,3.0,1,1,1
9636,3.0,1,1,1
864,3.0,1,1,1
50509,3.0,1,1,1
3911,3.0,1,1,1
5360,3.0,1,1,1
1759,3.0,1,1,1
8878,3.0,1,1,1
4239,3.0,1,1,1
4637,3.0,1,1,1
120,3.0,1,1,1
55679,3.0,1,1,1
3675,3.0,1,1,1
51129,3.0,1,1,1
6387,3.0,1,1,1
9590,3.0,1,1,1
90161,3.0,1,1,1
4321,3.0,1,1,1
27092,3.0,1,1,1
10082,3.0,1,1,1
5230,3.0,1,1,1
1756,3.0,1,1,1
57863,3.0,1,1,1
4320,3.0,1,1,1
655,3.0,1,1,1
57452,3.0,1,1,1
468,3.0,1,1,1
1404,3.0,1,1,1
2817,3.0,1,1,1
79623,3.0,1,1,1
4092,3.0,1,1,1
2006,3.0,1,1,1
140766,3.0,1,1,1
27123,3.0,1,1,1
3897,3.0,1,1,1
23586,3.0,1,1,1
2495,3.0,1,1,1
9076,3.0,1,1,1
9420,3.0,1,1,1
219699,3.0,1,1,1
2730,3.0,1,1,1
9075,3.0,1,1,1
4821,3.0,1,1,1
6288,3.0,1,1,1
3429,3.0,1,1,1
718,3.0,1,1,1
6299,3.0,1,1,1
2202,3.0,1,1,1
3400,3.0,1,1,1
6928,3.0,1,1,1
10046,3.0,1,1,1
7042,3.0,1,1,1
55366,3.0,1,1,1
10675,3.0,1,1,1
136227,3.0,1,1,1
7090,3.0,1,1,1
23705,3.0,1,1,1
7112,3.0,1,1,1
4940,3.0,1,1,1
56937,3.0,1,1,1
9719,3.0,1,1,1
6510,3.0,1,1,1
1956,3.0,1,1,1
170690,3.0,1,1,1
7474,3.0,1,1,1
481,3.0,1,1,1
4599,3.0,1,1,1
650,3.0,1,1,1
4141,3.0,1,1,1
6301,3.0,1,1,1
800,3.0,1,1,1
1950,3.0,1,1,1
2318,3.0,1,1,1
10092,3.0,1,1,1
87,3.0,1,1,1
59,3.0,1,1,1
1289,3.0,1,1,1
55790,3.0,1,1,1
10769,3.0,1,1,1
4651,3.0,1,1,1
2887,3.0,1,1,1
57211,3.0,1,1,1
3383,3.0,1,1,1
11095,3.0,1,1,1
2294,3.0,1,1,1
2199,3.0,1,1,1
3726,3.0,1,1,1
4919,3.0,1,1,1
4060,3.0,1,1,1
7138,3.0,1,1,1
3672,3.0,1,1,1
1959,3.0,1,1,1
9955,3.0,1,1,1
2048,3.0,1,1,1
10516,3.0,1,1,1
6374,3.0,1,1,1
953,3.0,1,1,1
10398,3.0,1,1,1
6347,3.0,1,1,1
960,3.0,1,1,1
83539,3.0,1,1,1
59277,3.0,1,1,1
22885,3.0,1,1,1
50515,3.0,1,1,1
4015,3.0,1,1,1
54739,3.0,1,1,1
627,3.0,1,1,1
7094,3.0,1,1,1
5351,3.0,1,1,1
4162,3.0,1,1,1
1307,3.0,1,1,1
5080,3.0,1,1,1
348,3.0,1,1,1
5091,3.0,1,1,1
1301,3.0,1,1,1
83999,3.0,1,1,1
23220,3.0,1,1,1
374378,3.0,1,1,1
11096,3.0,1,1,1
7040,3.0,1,1,1
2674,3.0,1,1,1
6586,3.0,1,1,1
1848,3.0,1,1,1
63827,3.0,1,1,1
6423,3.0,1,1,1
4322,3.0,1,1,1
3912,3.0,1,1,1
2244,3.0,1,1,1
4907,3.0,1,1,1
6383,3.0,1,1,1
84171,3.0,1,1,1
53358,3.0,1,1,1
2263,3.0,1,1,1
5454,3.0,1,1,1
79875,3.0,1,1,1
9536,3.0,1,1,1
9353,3.0,1,1,1
567,3.0,1,1,1
1006,3.0,1,1,1
2597,3.0,1,1,1
50848,3.0,1,1,1
81539,3.0,1,1,1
59284,3.0,1,1,1
64386,3.0,1,1,1
5730,3.0,1,1,1
7453,3.0,1,1,1
72,3.0,1,1,1
7436,3.0,1,1,1
8076,3.0,1,1,1
1545,3.0,1,1,1
9510,3.0,1,1,1
