_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-15,TRR01158,M1,1,0,TRRUST,34,Regulated by: RELA,,-15,4.4,11,30293,334,851,41,4.8,0.73,602|633|634|650|972|1026|1277|1294|1999|2034|2253|2335|2920|3383|3552|3576|3726|4023|4684|4973|5021|5106|5284|5629|6277|6288|6348|6352|6364|6374|6549|6892|7031|7056|7128|7291|9021|23541|55655|57761|140453,BCL3|BGN|CEACAM1|BMP2|CD74|CDKN1A|COL1A1|COL7A1|ELF3|EPAS1|FGF8|FN1|CXCL2|ICAM1|IL1A|CXCL8|JUNB|LPL|NCAM1|OLR1|OXTR|PCK2|PIGR|PROX1|S100A6|SAA1|CCL3|CCL5|CCL20|CXCL5|SLC9A2|TAPBP|TFF1|THBD|TNFAIP3|TWIST1|SOCS3|SEC14L2|NLRP2|TRIB3|MUC17,-12,0
1,-12,TRR00875,M1,1,0,TRRUST,34,Regulated by: NFKB1,,-12,4,9.4,30293,340,851,38,4.5,0.71,2|567|602|633|634|650|972|1026|1277|1294|1999|2253|2335|2920|3383|3552|3576|3726|4023|4684|4973|5284|5629|6277|6288|6348|6352|6364|6374|6549|6892|7031|7056|7128|9021|23541|55655|140453,A2M|B2M|BCL3|BGN|CEACAM1|BMP2|CD74|CDKN1A|COL1A1|COL7A1|ELF3|FGF8|FN1|CXCL2|ICAM1|IL1A|CXCL8|JUNB|LPL|NCAM1|OLR1|PIGR|PROX1|S100A6|SAA1|CCL3|CCL5|CCL20|CXCL5|SLC9A2|TAPBP|TFF1|THBD|TNFAIP3|SOCS3|SEC14L2|NLRP2|MUC17,-9.8,0
1,-11,TRR01256,M1,1,0,TRRUST,34,Regulated by: SP1,,-11,3.2,8.6,30293,526,851,47,5.5,0.78,345|768|875|890|976|1026|1029|1030|1143|1277|1294|1311|1910|2353|2697|3037|3283|3383|3481|3487|3785|3852|4023|5021|5080|5155|5327|5493|5521|6352|6374|6549|6616|6658|6662|6736|7056|8434|8660|9547|9615|10761|11186|22915|84171|147040|148022,APOC3|CA9|CBS|CCNA2|ADGRE5|CDKN1A|CDKN2A|CDKN2B|CHRNB4|COL1A1|COL7A1|COMP|EDNRB|FOS|GJA1|HAS2|HSD3B1|ICAM1|IGF2|IGFBP4|KCNQ2|KRT5|LPL|OXTR|PAX6|PDGFB|PLAT|PPL|PPP2R2B|CCL5|CXCL5|SLC9A2|SNAP25|SOX3|SOX9|SRY|THBD|RECK|IRS2|CXCL14|GDA|PLAC1|RASSF1|MMRN1|LOXL4|KCTD11|TICAM1,-9,0
1,-7.5,TRR01277,M1,1,0,TRRUST,34,Regulated by: STAT3,,-7.5,4.4,7.4,30293,162,851,20,2.4,0.52,2|1026|1649|2034|2258|2266|2353|3383|3576|3589|3726|4319|6288|7291|7538|9021|9590|9641|27035|79152,A2M|CDKN1A|DDIT3|EPAS1|FGF13|FGG|FOS|ICAM1|CXCL8|IL11|JUNB|MMP10|SAA1|TWIST1|ZFP36|SOCS3|AKAP12|IKBKE|NOX1|FA2H,-5.5,0
1,-6.2,TRR01259,M1,1,0,TRRUST,34,Regulated by: SP3,,-6.2,4.5,6.7,30293,127,851,16,1.9,0.47,768|875|976|1026|1029|1030|1143|1277|3487|4023|5327|6549|7031|8434|9021|11186,CA9|CBS|ADGRE5|CDKN1A|CDKN2A|CDKN2B|CHRNB4|COL1A1|IGFBP4|LPL|PLAT|SLC9A2|TFF1|RECK|SOCS3|RASSF1,-4.4,0
1,-6.2,TRR01419,M1,1,0,TRRUST,34,Regulated by: TP53,,-6.2,3.8,6.4,30293,176,851,19,2.2,0.51,174|602|890|1026|1410|1462|1647|2258|2521|3397|4194|4288|6513|6533|9518|9540|11186|22943|64065,AFP|BCL3|CCNA2|CDKN1A|CRYAB|VCAN|GADD45A|FGF13|FUS|ID1|MDM4|MKI67|SLC2A1|SLC6A6|GDF15|TP53I3|RASSF1|DKK1|PERP,-4.4,0
1,-5.7,TRR00645,M1,1,0,TRRUST,34,Regulated by: JUN,,-5.7,3.7,6.1,30293,172,851,18,2.1,0.49,345|1026|1634|1649|2114|2697|3552|3576|3725|5021|5106|5327|6352|6707|6850|7031|7295|147040,APOC3|CDKN1A|DCN|DDIT3|ETS2|GJA1|IL1A|CXCL8|JUN|OXTR|PCK2|PLAT|CCL5|SPRR3|SYK|TFF1|TXN|KCTD11,-4,0
1,-5.4,TRR00280,M1,1,0,TRRUST,34,Regulated by: ETS1,,-5.4,5.1,6.4,30293,84,851,12,1.4,0.4,285|290|768|1026|1029|1277|1889|2297|4319|5196|7020|10397,ANGPT2|ANPEP|CA9|CDKN1A|CDKN2A|COL1A1|ECE1|FOXD1|MMP10|PF4|TFAP2A|NDRG1,-3.7,0
1,-5.3,TRR01059,M1,1,0,TRRUST,34,Regulated by: POU5F1,,-5.3,9.6,7.4,30293,26,851,7,0.82,0.31,1026|1045|1647|1749|7070|22943|132625,CDKN1A|CDX2|GADD45A|DLX5|THY1|DKK1|ZFP42,-3.6,0
1,-5.1,TRR01556,M1,1,0,TRRUST,34,Regulated by: ZBTB7A,,-5.1,24,9.5,30293,6,851,4,0.47,0.23,1029|2353|5214|6515,CDKN2A|FOS|PFKP|SLC2A3,-3.4,0
