Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
6376,3.0,1,1,1
6348,3.0,1,1,1
1634,3.0,1,1,1
4684,3.0,1,1,1
55117,3.0,1,1,1
6352,3.0,1,1,1
5339,3.0,1,1,1
5155,3.0,1,1,1
8660,3.0,1,1,1
3918,3.0,1,1,1
3852,3.0,1,1,1
1311,3.0,1,1,1
7029,3.0,1,1,1
3676,3.0,1,1,1
2920,3.0,1,1,1
2042,3.0,1,1,1
80736,3.0,1,1,1
1293,3.0,1,1,1
29988,3.0,1,1,1
51208,3.0,1,1,1
108,3.0,1,1,1
1030,3.0,1,1,1
26050,3.0,1,1,1
6572,3.0,1,1,1
10475,3.0,1,1,1
1015,3.0,1,1,1
2556,3.0,1,1,1
9235,3.0,1,1,1
4760,3.0,1,1,1
55816,3.0,1,1,1
1051,3.0,1,1,1
1356,3.0,1,1,1
6456,3.0,1,1,1
5080,3.0,1,1,1
169044,3.0,1,1,1
169026,3.0,1,1,1
3726,3.0,1,1,1
2791,3.0,1,1,1
9245,3.0,1,1,1
59283,3.0,1,1,1
56667,3.0,1,1,1
4023,3.0,1,1,1
111,3.0,1,1,1
2045,3.0,1,1,1
655,3.0,1,1,1
140453,3.0,1,1,1
1647,3.0,1,1,1
3772,3.0,1,1,1
6513,3.0,1,1,1
238,3.0,1,1,1
166012,3.0,1,1,1
4914,3.0,1,1,1
7122,3.0,1,1,1
5196,3.0,1,1,1
5045,3.0,1,1,1
91584,3.0,1,1,1
2634,3.0,1,1,1
27035,3.0,1,1,1
633,3.0,1,1,1
1294,3.0,1,1,1
7058,3.0,1,1,1
4036,3.0,1,1,1
9180,3.0,1,1,1
222584,3.0,1,1,1
8482,3.0,1,1,1
290,3.0,1,1,1
55211,3.0,1,1,1
1277,3.0,1,1,1
1137,3.0,1,1,1
2168,3.0,1,1,1
50674,3.0,1,1,1
1855,3.0,1,1,1
64065,3.0,1,1,1
9244,3.0,1,1,1
9378,3.0,1,1,1
10418,3.0,1,1,1
9123,3.0,1,1,1
114,3.0,1,1,1
79784,3.0,1,1,1
1759,3.0,1,1,1
51599,3.0,1,1,1
5125,3.0,1,1,1
10811,3.0,1,1,1
9314,3.0,1,1,1
11343,3.0,1,1,1
134829,3.0,1,1,1
1029,3.0,1,1,1
11226,3.0,1,1,1
9060,3.0,1,1,1
6385,3.0,1,1,1
3642,3.0,1,1,1
57530,3.0,1,1,1
7056,3.0,1,1,1
4194,3.0,1,1,1
650,3.0,1,1,1
63874,3.0,1,1,1
9056,3.0,1,1,1
1879,3.0,1,1,1
6364,3.0,1,1,1
4319,3.0,1,1,1
56937,3.0,1,1,1
2243,3.0,1,1,1
9719,3.0,1,1,1
9540,3.0,1,1,1
1361,3.0,1,1,1
