_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-50.58271751815059,R-HSA-1474244,M1,1,0,Reactome Gene Sets,6,Extracellular matrix organization,,-50.58271751815059,8.960386803185438,23.95334734696154,30293,300,879,78,8.873720136518772,0.9591361209496666,633|655|780|1281|1293|1294|1295|1296|1301|1306|1462|1634|2006|2192|2201|2202|2244|2247|2331|3339|3371|3381|3672|3673|3675|3676|3679|3689|3910|3911|3918|4015|4016|4017|4038|4053|4060|4239|4312|4316|4317|4318|4321|4322|4593|4684|4811|5033|5054|5351|5352|6382|7040|7042|7057|7373|7837|8038|8728|9509|9644|10516|11095|11096|22795|22801|59277|63923|64386|80274|80781|81578|84171|140766|169044|170690|284217|340267,BGN|BMP7|DDR1|COL3A1|COL6A3|COL7A1|COL8A1|COL8A2|COL11A1|COL15A1|VCAN|DCN|ELN|FBLN1|FBN2|EFEMP1|FGB|FGF2|FMOD|HSPG2|TNC|IBSP|ITGA1|ITGA2|ITGA3|ITGA4|ITGA7|ITGB2|LAMA4|LAMA5|LAMC2|LOX|LOXL1|LOXL2|LRP4|LTBP2|LUM|MFAP4|MMP1|MMP7|MMP8|MMP9|MMP12|MMP13|MUSK|NCAM1|NID1|P4HA1|SERPINE1|PLOD1|PLOD2|SDC1|TGFB1|TGFB2|THBS1|COL14A1|PXDN|ADAM12|ADAM19|ADAMTS2|SH3PXD2A|FBLN5|ADAMTS8|ADAMTS5|NID2|ITGA11|NTN4|TNN|MMP25|SCUBE1|COL18A1|COL21A1|LOXL4|ADAMTS14|COL22A1|ADAMTS16|LAMA1|COL28A1,-47.16958546771571,0,1,1,1,-50.58271751815059,9.97613915334411,
1,-15.715628918843825,R-HSA-3000178,M1,1,0,Reactome Gene Sets,6,ECM proteoglycans,,-15.715628918843825,9.97613915334411,13.544159767030049,30293,76,879,22,2.502844141069397,0.5268881592175053,633|1281|1293|1462|1634|2331|3339|3371|3381|3673|3679|3910|3911|4038|4060|4593|4684|5054|7040|7042|63923|284217,BGN|COL3A1|COL6A3|VCAN|DCN|FMOD|HSPG2|TNC|IBSP|ITGA2|ITGA7|LAMA4|LAMA5|LRP4|LUM|MUSK|NCAM1|SERPINE1|TGFB1|TGFB2|TNN|LAMA1,-12.779618123128616,0,1,0,0,-50.58271751815059,9.97613915334411,
1,-11.446593255383588,R-HSA-216083,M1,1,0,Reactome Gene Sets,6,Integrin cell surface interactions,,-11.446593255383588,7.703499966539516,10.698710985540375,30293,85,879,19,2.161547212741752,0.49050418086522063,1281|1293|1294|1295|1296|2244|3339|3371|3381|3672|3673|3675|3676|3679|3689|4060|7057|22801|80781,COL3A1|COL6A3|COL7A1|COL8A1|COL8A2|FGB|HSPG2|TNC|IBSP|ITGA1|ITGA2|ITGA3|ITGA4|ITGA7|ITGB2|LUM|THBS1|ITGA11|COL18A1,-9.112642450996342,0,1,0,0,-50.58271751815059,9.97613915334411,
1,-18.43032154194737,R-HSA-1474290,M1,1,0,Reactome Gene Sets,6,Collagen formation,,-18.43032154194737,9.95598533687271,14.709264410815369,30293,90,879,26,2.9579067121729237,0.5714495261855357,1281|1293|1294|1295|1296|1301|1306|3918|4015|4016|4017|4316|4318|4322|5033|5351|5352|7373|7837|9509|80781|81578|84171|140766|169044|340267,COL3A1|COL6A3|COL7A1|COL8A1|COL8A2|COL11A1|COL15A1|LAMC2|LOX|LOXL1|LOXL2|MMP7|MMP9|MMP13|P4HA1|PLOD1|PLOD2|COL14A1|PXDN|ADAMTS2|COL18A1|COL21A1|LOXL4|ADAMTS14|COL22A1|COL28A1,-15.318219487176481,0,2,1,1,-18.43032154194737,10.169417557209197,
1,-14.285175333028869,R-HSA-1474228,M1,1,0,Reactome Gene Sets,6,Degradation of the extracellular matrix,,-14.285175333028869,6.646440760604583,11.575903498665332,30293,140,879,27,3.0716723549488054,0.5819938117013069,1281|1293|1294|1295|1296|1301|1306|1634|2006|2201|3339|3911|3918|4312|4316|4317|4318|4321|4322|4811|7373|11095|11096|64386|80274|80781|170690,COL3A1|COL6A3|COL7A1|COL8A1|COL8A2|COL11A1|COL15A1|DCN|ELN|FBN2|HSPG2|LAMA5|LAMC2|MMP1|MMP7|MMP8|MMP9|MMP12|MMP13|NID1|COL14A1|ADAMTS8|ADAMTS5|MMP25|SCUBE1|COL18A1|ADAMTS16,-11.571013286930016,0,2,0,0,-18.43032154194737,10.169417557209197,
1,-13.137769266950922,R-HSA-2022090,M1,1,0,Reactome Gene Sets,6,Assembly of collagen fibrils and other multimeric structures,,-13.137769266950922,10.169417557209197,12.392376391911284,30293,61,879,18,2.04778156996587,0.47769920186356457,1281|1293|1294|1295|1296|1301|1306|3918|4015|4016|4017|4316|4318|4322|7373|7837|80781|84171,COL3A1|COL6A3|COL7A1|COL8A1|COL8A2|COL11A1|COL15A1|LAMC2|LOX|LOXL1|LOXL2|MMP7|MMP9|MMP13|COL14A1|PXDN|COL18A1|LOXL4,-10.569735256530308,0,2,0,0,-18.43032154194737,10.169417557209197,
1,-11.263910520515472,R-HSA-1650814,M1,1,0,Reactome Gene Sets,6,Collagen biosynthesis and modifying enzymes,,-11.263910520515472,8.744349922741243,10.97017101628781,30293,67,879,17,1.9340159271899886,0.46450969307742457,1281|1293|1294|1295|1296|1301|1306|5033|5351|5352|7373|9509|80781|81578|140766|169044|340267,COL3A1|COL6A3|COL7A1|COL8A1|COL8A2|COL11A1|COL15A1|P4HA1|PLOD1|PLOD2|COL14A1|ADAMTS2|COL18A1|COL21A1|ADAMTS14|COL22A1|COL28A1,-9.026869729136282,0,2,0,0,-18.43032154194737,10.169417557209197,
1,-9.48404645009384,R-HSA-1442490,M1,1,0,Reactome Gene Sets,6,Collagen degradation,,-9.48404645009384,8.077271757679181,9.797727050346522,30293,64,879,15,1.7064846416382253,0.4368367709195157,1281|1293|1294|1295|1296|1301|1306|4312|4316|4317|4318|4321|4322|7373|80781,COL3A1|COL6A3|COL7A1|COL8A1|COL8A2|COL11A1|COL15A1|MMP1|MMP7|MMP8|MMP9|MMP12|MMP13|COL14A1|COL18A1,-7.432642235676561,0,2,0,0,-18.43032154194737,10.169417557209197,
1,-8.527397549181645,R-HSA-8948216,M1,1,0,Reactome Gene Sets,6,Collagen chain trimerization,,-8.527397549181645,9.399007136208503,9.637849607243723,30293,44,879,12,1.3651877133105803,0.3913964291820151,1281|1293|1294|1295|1296|1301|1306|7373|80781|81578|169044|340267,COL3A1|COL6A3|COL7A1|COL8A1|COL8A2|COL11A1|COL15A1|COL14A1|COL18A1|COL21A1|COL22A1|COL28A1,-6.529238846717591,0,2,0,0,-18.43032154194737,10.169417557209197,
1,-15.234742295588509,R-HSA-6785807,M1,1,0,Reactome Gene Sets,6,Interleukin-4 and Interleukin-13 signaling,,-15.234742295588509,7.9775523532633885,12.55742979861263,30293,108,879,25,2.844141069397042,0.5606807260676089,301|1052|2162|2247|2625|3091|3569|3576|3689|3726|3911|3976|4312|4318|4609|5292|6288|6356|6624|6657|7040|7184|7431|9021|58480,ANXA1|CEBPD|F13A1|FGF2|GATA3|HIF1A|IL6|CXCL8|ITGB2|JUNB|LAMA5|LIF|MMP1|MMP9|MYC|PIM1|SAA1|CCL11|FSCN1|SOX2|TGFB1|HSP90B1|VIM|SOCS3|RHOU,-12.4236702364816,0,3,1,1,-15.234742295588509,7.9775523532633885,
