_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-1e+02,M39209,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-1e+02,8.2,35,30293,765,879,182,21,1.4,220|284|445|633|710|730|861|1003|1266|1281|1293|1294|1301|1356|1381|1490|1545|1634|1910|2012|2034|2138|2192|2195|2202|2252|2273|2296|2331|2619|2621|2674|2687|2697|2921|2977|3037|3075|3225|3232|3233|3234|3280|3290|3339|3371|3485|3486|3487|3488|3490|3491|3569|3671|3672|3910|3949|3977|4015|4016|4023|4053|4060|4082|4254|4256|4281|4487|4502|4616|4651|4681|4685|4811|4837|4920|5010|5069|5137|5730|5740|5764|5783|5919|6004|6355|6387|6414|6422|6425|6529|6542|6590|6662|6752|6876|6913|7025|7026|7058|7078|7103|7130|7373|7545|8325|8470|8613|8633|8829|9021|9052|9180|9369|9509|9547|9627|10252|10265|10350|10351|10468|10752|11082|11167|11281|22795|23114|23213|25878|25884|25903|26011|26167|27286|29995|51129|51232|51330|51435|54206|54477|54510|54757|56243|56937|56944|57007|64093|64094|79822|79827|79949|79987|80274|80760|81578|83604|84168|84466|84858|84870|85449|89795|91653|92293|116535|117581|120114|127435|140886|147381|151887|153571|169611|219699|253738|283298|340267|387509|387758|387763,ALDH1A3|ANGPT1|ASS1|BGN|SERPING1|C7|RUNX1|CDH5|CNN3|COL3A1|COL6A3|COL7A1|COL11A1|CP|CRABP1|CCN2|CYP1B1|DCN|EDNRB|EMP1|EPAS1|EYA1|FBLN1|FAT1|EFEMP1|FGF7|FHL1|FOXC1|FMOD|GAS1|GAS6|GFRA1|GGT5|GJA1|CXCL3|GUCY1A2|HAS2|CFH|HOXC9|HOXD3|HOXD4|HOXD8|HES1|HSD11B1|HSPG2|TNC|IGFBP2|IGFBP3|IGFBP4|IGFBP5|IGFBP7|CCN1|IL6|ISLR|ITGA1|LAMA4|LDLR|LIFR|LOX|LOXL1|LPL|LTBP2|LUM|MARCKS|KITLG|MGP|MID1|MSX1|MT2A|GADD45B|MYO10|NBL1|NCAM2|NID1|NNMT|ROR2|CLDN11|PAPPA|PDE1C|PTGDS|PTGIS|PTN|PTPN13|RARRES2|RGS16|CCL8|CXCL12|SELENOP|SFRP1|SFRP5|SLC6A1|SLC7A2|SLPI|SOX9|SSTR2|TAGLN|TBX15|NR2F1|NR2F2|THBS2|TIMP3|TSPAN8|TNFAIP6|COL14A1|ZIC1|FZD8|SORBS2|PLPP3|UNC5C|NRP1|SOCS3|GPRC5A|OSMR|NRXN3|ADAMTS2|CXCL14|SNCAIP|SPRY1|IRX5|ABCA9|ABCA8|FST|CHL1|ESM1|FSTL1|POU6F2|NID2|NFASC|SULF1|MXRA5|CHRDL2|OLFML2B|TENM4|PCDHB5|SRPX2|LMCD1|ANGPTL4|CRIM1|TNFRSF12A|SCARA3|ERRFI1|PLEKHA5|PCDH18|FAM20A|KIAA1217|PMEPA1|OLFML3|ACKR3|SMOC1|SMOC2|ARHGAP28|CLMP|PLEKHS1|SVEP1|SCUBE1|ITIH5|COL21A1|TMEM47|ANTXR1|MEGF10|ZNF503|RSPO3|KIAA1755|NAV3|BOC|TMEM132C|MRGPRF|TWIST2|FAT3|PODN|PABPC5|CBLN2|CCDC80|IRX2-DT|OLFML2A|UNC5B|EBF3|OLFML1|COL28A1|GPR153|FIBIN|C11orf96,-95,0
1,-93,M39175,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-93,7.9,31,30293,680,879,155,18,1.3,19|59|60|165|301|633|677|861|1266|1281|1293|1295|1306|1462|1490|1545|1601|1634|1728|1827|1839|1910|2012|2034|2151|2195|2247|2252|2331|2615|2977|3037|3090|3280|3290|3371|3486|3487|3488|3490|3491|3569|3589|3624|3671|3672|3673|3910|3939|3976|4015|4017|4053|4060|4082|4239|4254|4256|4312|4318|4487|4502|4609|4638|4651|4811|4837|4853|4907|5054|5069|5176|5216|5327|5328|5329|5351|5352|5742|6422|6423|6498|6515|6624|6695|6781|7026|7046|7052|7057|7058|7078|7130|7168|7431|7474|7837|7980|8038|8507|8519|8553|8728|8829|8840|8870|9180|9509|9516|9536|9588|9590|9644|9645|10019|10082|10098|10123|10417|10631|10763|11031|11167|22795|22801|23213|25907|26585|27286|29995|51129|51313|51330|51435|54541|55701|55920|56937|57124|57214|79026|79971|80176|80781|83604|83716|84168|84627|91010|115908|151887|169611|219699|387758|387763,ABCA1|ACTA2|ACTB|AEBP1|ANXA1|BGN|ZFP36L1|RUNX1|CNN3|COL3A1|COL6A3|COL8A1|COL15A1|VCAN|CCN2|CYP1B1|DAB2|DCN|NQO1|RCAN1|HBEGF|EDNRB|EMP1|EPAS1|F2RL2|FAT1|FGF2|FGF7|FMOD|LRRC32|GUCY1A2|HAS2|HIC1|HES1|HSD11B1|TNC|IGFBP3|IGFBP4|IGFBP5|IGFBP7|CCN1|IL6|IL11|INHBA|ISLR|ITGA1|ITGA2|LAMA4|LDHA|LIF|LOX|LOXL2|LTBP2|LUM|MARCKS|MFAP4|KITLG|MGP|MMP1|MMP9|MSX1|MT2A|MYC|MYLK|MYO10|NID1|NNMT|NOTCH2|NT5E|SERPINE1|PAPPA|SERPINF1|PFN1|PLAT|PLAU|PLAUR|PLOD1|PLOD2|PTGS1|SFRP1|SFRP2|SKIL|SLC2A3|FSCN1|SPOCK1|STC1|NR2F2|TGFBR1|TGM2|THBS1|THBS2|TIMP3|TNFAIP6|TPM1|VIM|WNT5A|PXDN|TFPI2|ADAM12|ENC1|IFITM1|BHLHE40|ADAM19|NRP1|CCN4|IER3|OSMR|ADAMTS2|LITAF|PTGES|PRDX6|AKAP12|SH3PXD2A|MICAL2|SH2B3|GPC6|TSPAN5|ARL4C|SPON2|POSTN|NES|RAB31|FSTL1|NID2|ITGA11|SULF1|TMEM158|GREM1|SRPX2|LMCD1|ANGPTL4|GASK1B|TNFRSF12A|SCARA3|DDIT4|ARHGEF40|RCC2|PMEPA1|CD248|CEMIP|AHNAK|WLS|SPSB1|COL18A1|TMEM47|CRISPLD2|ANTXR1|ZNF469|FMNL3|CTHRC1|CCDC80|OLFML2A|UNC5B|FIBIN|C11orf96,-89,0
1,-76,M39167,M1,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CJ IMMUNE CELLS,,-76,8.3,29,30293,505,879,122,14,1.2,59|165|220|284|301|633|710|1003|1004|1012|1281|1293|1306|1462|1634|1910|2192|2202|2273|2294|2321|2615|2687|2697|3075|3486|3488|3490|3671|3672|3679|3910|3911|3977|4015|4053|4060|4094|4239|4256|4811|4837|5066|5069|5137|5176|5307|5327|5328|5742|5764|6299|6356|6387|6422|6515|6542|6781|7010|7049|7052|7078|7122|7123|7373|7474|7837|8490|8633|8722|8728|8829|9411|9547|9891|10082|10351|10417|10468|10516|10630|10631|10752|10763|11075|11096|11167|11170|22801|23213|23284|25878|27115|27151|50515|51313|53947|54510|54674|56034|56944|56967|56975|57007|57616|79772|79827|80310|80760|80781|81035|83604|83716|83857|84168|85449|115361|151887|169611|196792|256691|387763,ACTA2|AEBP1|ALDH1A3|ANGPT1|ANXA1|BGN|SERPING1|CDH5|CDH6|CDH13|COL3A1|COL6A3|COL15A1|VCAN|DCN|EDNRB|FBLN1|EFEMP1|FHL1|FOXF1|FLT1|LRRC32|GGT5|GJA1|CFH|IGFBP3|IGFBP5|IGFBP7|ISLR|ITGA1|ITGA7|LAMA4|LAMA5|LIFR|LOX|LTBP2|LUM|MAF|MFAP4|MGP|NID1|NNMT|PAM|PAPPA|PDE1C|SERPINF1|PITX1|PLAT|PLAU|PTGS1|PTN|SALL1|CCL11|CXCL12|SFRP1|SLC2A3|SLC7A2|STC1|TEK|TGFBR3|TGM2|TIMP3|CLDN5|CLEC3B|COL14A1|WNT5A|PXDN|RGS5|UNC5C|CTSF|ADAM19|NRP1|ARHGAP29|CXCL14|NUAK1|GPC6|ABCA8|SPON2|FST|FBLN5|PDPN|POSTN|CHL1|NES|STMN2|ADAMTS5|FSTL1|FAM107A|ITGA11|SULF1|ADGRL3|MXRA5|PDE7B|CPAMD8|CHST11|GASK1B|A4GALT|PCDH18|LRRN3|PDGFC|OLFML3|C14orf132|FAM20C|ACKR3|TSHZ3|MCTP1|CLMP|PDGFD|ITIH5|COL18A1|COLEC12|TMEM47|CRISPLD2|TMTC1|ANTXR1|KIAA1755|GBP4|CCDC80|OLFML2A|FAM24B|MAMDC2|C11orf96,-72,0
1,-63,M41675,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG ADVENTITIAL FIBROBLAST CELL,,-63,10,28,30293,296,879,88,10,1,220|301|718|730|1263|1281|1293|1545|1601|1634|1843|2012|2192|2202|2252|2512|2619|3037|3075|3164|3487|3491|3671|3726|3939|4015|4016|4060|4147|4256|4495|4609|4837|4907|4958|4969|5010|5176|5292|5327|5328|5329|5360|5740|6277|6281|6387|6422|6423|6424|6498|6590|7058|7123|8519|8722|8829|9021|9052|9194|9467|9547|9590|10350|10351|10512|10516|10630|11167|23017|25891|28959|50863|51330|54206|56944|57007|57124|79827|79987|80176|81035|84870|127435|151887|157506|221091|387758,ALDH1A3|ANXA1|C3|C7|PLK3|COL3A1|COL6A3|CYP1B1|DAB2|DCN|DUSP1|EMP1|FBLN1|EFEMP1|FGF7|FTL|GAS1|HAS2|CFH|NR4A1|IGFBP4|CCN1|ISLR|JUNB|LDHA|LOX|LOXL1|LUM|MATN2|MGP|MT1G|MYC|NNMT|NT5E|OMD|OGN|CLDN11|SERPINF1|PIM1|PLAT|PLAU|PLAUR|PLTP|PTGIS|S100A6|S100A10|CXCL12|SFRP1|SFRP2|SFRP4|SKIL|SLPI|THBS2|CLEC3B|IFITM1|CTSF|NRP1|SOCS3|GPRC5A|SLC16A7|SH3BP5|CXCL14|AKAP12|ABCA9|ABCA8|SEMA3C|FBLN5|PDPN|FSTL1|FAIM2|PAMR1|TMEM176B|NTM|TNFRSF12A|ERRFI1|OLFML3|ACKR3|CD248|CLMP|SVEP1|SPSB1|COLEC12|RSPO3|PODN|CCDC80|RDH10|LRRN4CL|FIBIN,-59,0
1,-55,M39050,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPERIC,,-55,5.4,22,30293,795,879,125,14,1.2,19|59|285|633|677|710|861|864|1004|1052|1240|1281|1634|1728|1827|1832|1839|1959|2034|2151|2296|2326|2615|2621|2687|2817|2977|2983|3075|3090|3164|3280|3487|3490|3491|3672|3676|3726|3910|4017|4060|4256|4502|4609|4616|4638|4811|4853|5205|5216|5293|5327|5329|5351|5360|5764|6004|6355|6515|6529|6558|6876|6913|7026|7040|7130|7545|7837|8038|8407|8490|8519|8654|8840|9021|9037|9180|9411|9518|9590|9644|10019|10252|10350|10417|10628|11167|11343|11346|22795|22801|23092|25878|25891|27115|27242|51129|51334|54510|54596|55603|55890|56937|56944|57124|57509|63923|64386|79987|80760|80781|81035|81578|83643|83716|84107|84168|91010|116496|150094|169611|219699|283298|340061|387763,ABCA1|ACTA2|ANGPT2|BGN|ZFP36L1|SERPING1|RUNX1|RUNX3|CDH6|CEBPD|CMKLR1|COL3A1|DCN|NQO1|RCAN1|DSP|HBEGF|EGR2|EPAS1|F2RL2|FOXC1|FMO1|LRRC32|GAS6|GGT5|GPC1|GUCY1A2|GUCY1B1|CFH|HIC1|NR4A1|HES1|IGFBP4|IGFBP7|CCN1|ITGA1|ITGA4|JUNB|LAMA4|LOXL2|LUM|MGP|MT2A|MYC|GADD45B|MYLK|NID1|NOTCH2|ATP8B1|PFN1|PIK3CD|PLAT|PLAUR|PLOD1|PLTP|PTN|RGS16|CCL8|SLC2A3|SLC6A1|SLC12A2|TAGLN|TBX15|NR2F2|TGFB1|TNFAIP6|ZIC1|PXDN|ADAM12|TAGLN2|RGS5|IFITM1|PDE5A|CCN4|SOCS3|SEMA5A|OSMR|ARHGAP29|GDF15|AKAP12|SH3PXD2A|SH2B3|SPRY1|ABCA9|SPON2|TXNIP|FSTL1|MGLL|SYNPO|NID2|ITGA11|ARHGAP26|MXRA5|PAMR1|PDE7B|TNFRSF21|ANGPTL4|PRR16|PCDH18|L1TD1|TENT5A|GPRC5C|PMEPA1|OLFML3|CD248|MTUS1|TNN|MMP25|SVEP1|ITIH5|COL18A1|COLEC12|COL21A1|CCDC3|CRISPLD2|ZIC4|ANTXR1|FMNL3|NIBAN1|SIK1|OLFML2A|UNC5B|OLFML1|STING1|C11orf96,-51,0
1,-47,M39122,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C21 STELLATE CELLS 1,,-47,11,25,30293,194,879,63,7.2,0.87,59|165|288|633|677|730|1052|1281|1293|1465|1490|1634|1910|2012|2034|2192|2202|2273|2687|3075|3486|3487|3488|3490|3491|3726|4060|4082|4147|4239|4256|4609|4638|5010|5054|5176|5730|5764|5999|6004|6387|6422|7025|7026|7057|7058|7078|7373|7431|8870|9021|9509|10082|10370|10516|10602|11167|56944|83643|83716|84168|151887|387763,ACTA2|AEBP1|ANK3|BGN|ZFP36L1|C7|CEBPD|COL3A1|COL6A3|CSRP1|CCN2|DCN|EDNRB|EMP1|EPAS1|FBLN1|EFEMP1|FHL1|GGT5|CFH|IGFBP3|IGFBP4|IGFBP5|IGFBP7|CCN1|JUNB|LUM|MARCKS|MATN2|MFAP4|MGP|MYC|MYLK|CLDN11|SERPINE1|SERPINF1|PTGDS|PTN|RGS4|RGS16|CXCL12|SFRP1|NR2F1|NR2F2|THBS1|THBS2|TIMP3|COL14A1|VIM|IER3|SOCS3|ADAMTS2|GPC6|CITED2|FBLN5|CDC42EP3|FSTL1|OLFML3|CCDC3|CRISPLD2|ANTXR1|CCDC80|C11orf96,-44,0
1,-45,M39264,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA FIBROBLAST,,-45,7.3,21,30293,385,879,81,9.2,0.98,165|284|633|677|894|1052|1266|1281|1293|1462|1490|1592|1601|1634|2045|2192|2201|2263|2296|3037|3090|3280|3487|3488|3490|3491|3726|3910|4017|4060|4232|4239|4502|4616|4811|4853|4969|5216|5307|5764|6281|6382|6387|6515|7026|7052|7168|7184|7402|7837|8091|8613|8854|9021|9411|10154|10468|10602|10628|11167|23213|25805|25878|29116|54510|56265|56944|57124|79026|79822|79827|79971|80274|81578|84168|84870|115207|151887|283298|284217|340061,AEBP1|ANGPT1|BGN|ZFP36L1|CCND2|CEBPD|CNN3|COL3A1|COL6A3|VCAN|CCN2|CYP26A1|DAB2|DCN|EPHA7|FBLN1|FBN2|FGFR2|FOXC1|HAS2|HIC1|HES1|IGFBP4|IGFBP5|IGFBP7|CCN1|JUNB|LAMA4|LOXL2|LUM|MEST|MFAP4|MT2A|GADD45B|NID1|NOTCH2|OGN|PFN1|PITX1|PTN|S100A10|SDC1|CXCL12|SLC2A3|NR2F2|TGM2|TPM1|HSP90B1|UTRN|PXDN|HMGA2|PLPP3|ALDH1A2|SOCS3|ARHGAP29|PLXNC1|FST|CDC42EP3|TXNIP|FSTL1|SULF1|BAMBI|MXRA5|MYLIP|PCDH18|CPXM1|OLFML3|CD248|AHNAK|ARHGAP28|CLMP|WLS|SCUBE1|COL21A1|ANTXR1|RSPO3|KCTD12|CCDC80|OLFML1|LAMA1|STING1,-41,0
1,-43,M39056,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL3,,-43,5.7,20,30293,574,879,95,11,1,301|677|1012|1191|1295|1490|1634|1910|2195|2202|2302|2334|2697|3037|3280|3485|3488|3491|3776|3800|3977|4023|4232|4853|4897|5033|5066|5137|5352|5360|5992|6299|6319|6423|6529|6657|6662|6695|7033|7040|7078|7431|7474|7881|8407|8613|8641|8829|9256|9388|9516|10351|10516|10611|10630|10763|11167|23209|23213|23462|24147|27092|29995|51232|51313|51473|54212|54477|54674|54769|54796|55240|55790|55890|56034|57568|79026|79971|80760|80781|81035|81706|83604|84168|84623|84870|91653|92293|115207|120114|167410|202151|220296|256691|387758,ANXA1|ZFP36L1|CDH13|CLU|COL8A1|CCN2|DCN|EDNRB|FAT1|EFEMP1|FOXJ1|AFF2|GJA1|HAS2|HES1|IGFBP2|IGFBP5|CCN1|KCNK2|KIF5C|LIFR|LPL|MEST|NOTCH2|NRCAM|P4HA1|PAM|PDE1C|PLOD2|PLTP|RFX4|SALL1|SCD|SFRP2|SLC6A1|SOX2|SOX9|SPOCK1|TFF3|TGFB1|TIMP3|VIM|WNT5A|KCNAB1|TAGLN2|PLPP3|PCDHGB4|NRP1|TSPOAP1|LIPG|LITAF|ABCA8|FBLN5|PDLIM5|PDPN|NES|FSTL1|MLC1|SULF1|HEY1|FJX1|CACNG4|LMCD1|CRIM1|GASK1B|DCDC2|SNTG1|PLEKHA5|LRRN3|DIRAS2|BNC2|STEAP3|CSGALNACT1|GPRC5C|PDGFC|SIPA1L2|AHNAK|WLS|ITIH5|COL18A1|COLEC12|PPP1R14C|TMEM47|ANTXR1|KIRREL3|RSPO3|BOC|TMEM132C|KCTD12|FAT3|LIX1|RANBP3L|HEPACAM|MAMDC2|FIBIN,-40,0
1,-43,M39128,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C29 MVECS 2,,-43,7.9,21,30293,313,879,72,8.2,0.92,301|633|730|1003|1281|1295|1465|1490|1839|1906|2012|2034|2247|2296|2321|2615|2697|2823|3091|3486|3487|3490|3491|3569|3977|4147|4256|4609|4739|4958|5054|5360|5730|5740|5742|6281|6578|6781|7010|7025|7026|7049|7052|7075|7078|7122|7123|7431|7980|8407|8613|9021|9052|9537|9590|10252|10397|10602|10611|10631|11170|11346|30844|51232|57007|64123|79026|83604|83857|84870|115207|387763,ANXA1|BGN|C7|CDH5|COL3A1|COL8A1|CSRP1|CCN2|HBEGF|EDN1|EMP1|EPAS1|FGF2|FOXC1|FLT1|LRRC32|GJA1|GPM6A|HIF1A|IGFBP3|IGFBP4|IGFBP7|CCN1|IL6|LIFR|MATN2|MGP|MYC|NEDD9|OMD|SERPINE1|PLTP|PTGDS|PTGIS|PTGS1|S100A10|SLCO2A1|STC1|TEK|NR2F1|NR2F2|TGFBR3|TGM2|TIE1|TIMP3|CLDN5|CLEC3B|VIM|TFPI2|TAGLN2|PLPP3|SOCS3|GPRC5A|TP53I11|AKAP12|SPRY1|NDRG1|CDC42EP3|PDLIM5|POSTN|FAM107A|SYNPO|EHD4|CRIM1|ACKR3|ADGRL4|AHNAK|TMEM47|TMTC1|RSPO3|KCTD12|C11orf96,-39,0
1,-40,M40167,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL CEREBRUM VASCULAR ENDOTHELIAL CELLS,,-40,5.4,19,30293,585,879,92,10,1,59|285|301|633|710|864|1003|1004|1030|1281|1490|1634|1728|1832|1906|2034|2150|2151|2294|2296|2326|2355|2615|2624|2687|3075|3090|3487|3490|3672|3676|3759|4060|4487|4502|4651|5205|5351|6281|6387|6513|6540|6578|6876|6899|6913|7010|7052|7071|7075|7123|7262|8140|8490|8519|8614|9021|9180|9411|10350|10417|11167|22801|25878|27286|28959|29995|51129|53947|54510|54596|55890|57105|57124|63923|64123|64220|64321|79026|80320|80760|80781|83643|84858|131583|150094|169611|219699|283298|340527|387763|388125,ACTA2|ANGPT2|ANXA1|BGN|SERPING1|RUNX3|CDH5|CDH6|CDKN2B|COL3A1|CCN2|DCN|NQO1|DSP|EDN1|EPAS1|F2RL1|F2RL2|FOXF1|FOXC1|FMO1|FOSL2|LRRC32|GATA2|GGT5|CFH|HIC1|IGFBP4|IGFBP7|ITGA1|ITGA4|KCNJ2|LUM|MSX1|MT2A|MYO10|ATP8B1|PLOD1|S100A10|CXCL12|SLC2A1|SLC6A13|SLCO2A1|TAGLN|TBX1|TBX15|TEK|TGM2|KLF10|TIE1|CLEC3B|PHLDA2|SLC7A5|RGS5|IFITM1|STC2|SOCS3|OSMR|ARHGAP29|ABCA9|SPON2|FSTL1|ITGA11|MXRA5|SRPX2|TMEM176B|LMCD1|ANGPTL4|A4GALT|PCDH18|L1TD1|GPRC5C|CYSLTR2|CD248|TNN|ADGRL4|STRA6|SOX17|AHNAK|SP6|ITIH5|COL18A1|CCDC3|ZNF503|FAM43A|SIK1|OLFML2A|UNC5B|OLFML1|NHSL2|C11orf96|C2CD4B,-36,0
