_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-23,TRR00875,M1,1,0,TRRUST,34,Regulated by: NFKB1,,-23,5.4,14,30293,340,879,53,6,0.8,12|19|597|633|894|969|1294|1437|1465|1839|1906|2252|2625|2670|3091|3280|3371|3569|3576|3726|4023|4312|4318|4322|4609|4684|5054|5328|5329|5730|5742|5783|5999|6277|6288|6289|6352|6356|6374|6382|6387|6648|7033|7040|7134|7185|7490|7852|7980|8870|9021|9536|55655,SERPINA3|ABCA1|BCL2A1|BGN|CCND2|CD69|COL7A1|CSF2|CSRP1|HBEGF|EDN1|FGF7|GATA3|GFAP|HIF1A|HES1|TNC|IL6|CXCL8|JUNB|LPL|MMP1|MMP9|MMP13|MYC|NCAM1|SERPINE1|PLAU|PLAUR|PTGDS|PTGS1|PTPN13|RGS4|S100A6|SAA1|SAA2|CCL5|CCL11|CXCL5|SDC1|CXCL12|SOD2|TFF3|TGFB1|TNNC1|TRAF1|WT1|CXCR4|TFPI2|IER3|SOCS3|PTGES|NLRP2,-20,0
1,-22,TRR01158,M1,1,0,TRRUST,34,Regulated by: RELA,,-22,5.4,14,30293,334,879,52,5.9,0.8,12|19|597|633|894|969|1294|1437|1465|1839|1906|2034|2252|2625|2670|3091|3280|3371|3569|3576|3726|4023|4312|4318|4321|4322|4609|4684|5054|5328|5329|5742|5783|5999|6277|6288|6289|6352|6356|6374|6382|6387|6648|7033|7134|7185|7490|7852|8870|9021|9536|55655,SERPINA3|ABCA1|BCL2A1|BGN|CCND2|CD69|COL7A1|CSF2|CSRP1|HBEGF|EDN1|EPAS1|FGF7|GATA3|GFAP|HIF1A|HES1|TNC|IL6|CXCL8|JUNB|LPL|MMP1|MMP9|MMP12|MMP13|MYC|NCAM1|SERPINE1|PLAU|PLAUR|PTGS1|PTPN13|RGS4|S100A6|SAA1|SAA2|CCL5|CCL11|CXCL5|SDC1|CXCL12|SOD2|TFF3|TNNC1|TRAF1|WT1|CXCR4|IER3|SOCS3|PTGES|NLRP2,-20,0
1,-22,TRR01256,M1,1,0,TRRUST,34,Regulated by: SP1,,-22,4.2,13,30293,526,879,64,7.3,0.88,19|768|894|1000|1030|1294|1490|1545|1839|1910|2030|2192|2625|2697|3037|3164|3371|3486|3487|3569|3673|3689|3939|3949|4017|4023|4129|4311|4318|4321|4609|4907|5033|5054|5080|5327|5328|5329|5493|5764|6352|6374|6648|6662|7040|7078|7112|7134|7402|7431|7490|7980|8091|8140|8660|8745|9420|9536|9547|56034|80781|84171|137902|284217,ABCA1|CA9|CCND2|CDH2|CDKN2B|COL7A1|CCN2|CYP1B1|HBEGF|EDNRB|SLC29A1|FBLN1|GATA3|GJA1|HAS2|NR4A1|TNC|IGFBP3|IGFBP4|IL6|ITGA2|ITGB2|LDHA|LDLR|LOXL2|LPL|MAOB|MME|MMP9|MMP12|MYC|NT5E|P4HA1|SERPINE1|PAX6|PLAT|PLAU|PLAUR|PPL|PTN|CCL5|CXCL5|SOD2|SOX9|TGFB1|TIMP3|TMPO|TNNC1|UTRN|VIM|WT1|TFPI2|HMGA2|SLC7A5|IRS2|ADAM23|CYP7B1|PTGES|CXCL14|PDGFC|COL18A1|LOXL4|PXDNL|LAMA1,-19,0
1,-18,TRR00645,M1,1,0,TRRUST,34,Regulated by: JUN,,-18,6.8,13,30293,172,879,34,3.9,0.65,1437|1490|1634|1728|1906|2006|2252|2697|3371|3381|3569|3576|3925|3939|4017|4092|4256|4312|4316|4318|4321|4322|4609|4747|5327|5328|5329|5764|6352|6648|6850|7134|23462|64386,CSF2|CCN2|DCN|NQO1|EDN1|ELN|FGF7|GJA1|TNC|IBSP|IL6|CXCL8|STMN1|LDHA|LOXL2|SMAD7|MGP|MMP1|MMP7|MMP9|MMP12|MMP13|MYC|NEFL|PLAT|PLAU|PLAUR|PTN|CCL5|SOD2|SYK|TNNC1|HEY1|MMP25,-16,0
1,-15,TRR00484,M1,1,0,TRRUST,34,Regulated by: HIF1A,,-15,8.4,13,30293,99,879,24,2.7,0.55,445|768|1490|1839|1906|1910|2030|2068|2247|3091|3164|3689|3939|4015|4907|5054|5230|5328|6387|6513|7431|7852|9536|117581,ASS1|CA9|CCN2|HBEGF|EDN1|EDNRB|SLC29A1|ERCC2|FGF2|HIF1A|NR4A1|ITGB2|LDHA|LOX|NT5E|SERPINE1|PGK1|PLAU|CXCL12|SLC2A1|VIM|CXCR4|PTGES|TWIST2,-13,0
1,-13,TRR01277,M1,1,0,TRRUST,34,Regulated by: STAT3,,-13,5.7,10,30293,162,879,27,3.1,0.58,19|894|1465|1490|2034|2247|2670|3091|3491|3569|3576|3589|3726|4312|4316|4318|4609|5077|5292|5783|6288|6289|6356|7040|9021|9590|117581,ABCA1|CCND2|CSRP1|CCN2|EPAS1|FGF2|GFAP|HIF1A|CCN1|IL6|CXCL8|IL11|JUNB|MMP1|MMP7|MMP9|MYC|PAX3|PIM1|PTPN13|SAA1|SAA2|CCL11|TGFB1|SOCS3|AKAP12|TWIST2,-11,0
1,-11,TRR01235,M1,1,0,TRRUST,34,Regulated by: SMAD3,,-11,12,12,30293,37,879,13,1.5,0.41,894|1294|3371|4092|4318|4609|5054|7040|7134|10272|10468|25805|51129,CCND2|COL7A1|TNC|SMAD7|MMP9|MYC|SERPINE1|TGFB1|TNNC1|FSTL3|FST|BAMBI|ANGPTL4,-8.9,0
1,-8.9,TRR01236,M1,1,0,TRRUST,34,Regulated by: SMAD4,,-8.9,11,10,30293,33,879,11,1.3,0.37,1030|1294|3371|4092|4609|5054|6498|7040|7134|10272|25805,CDKN2B|COL7A1|TNC|SMAD7|MYC|SERPINE1|SKIL|TGFB1|TNNC1|FSTL3|BAMBI,-7.2,0
1,-8.7,TRR00280,M1,1,0,TRRUST,34,Regulated by: ETS1,,-8.7,6.6,8.8,30293,84,879,16,1.8,0.45,285|768|1437|1490|2162|2321|3371|4312|4318|4322|5328|7134|7490|7852|10397|25907,ANGPT2|CA9|CSF2|CCN2|F13A1|FLT1|TNC|MMP1|MMP9|MMP13|PLAU|TNNC1|WT1|CXCR4|NDRG1|TMEM158,-7,0
1,-8.4,TRR00253,M1,1,0,TRRUST,34,Regulated by: EGR1,,-8.4,5.9,8.4,30293,100,879,17,1.9,0.46,894|2247|2321|3091|3569|3576|3925|3949|4050|5328|5329|7112|7980|9518|9536|10252|56034,CCND2|FGF2|FLT1|HIF1A|IL6|CXCL8|STMN1|LDLR|LTB|PLAU|PLAUR|TMPO|TFPI2|GDF15|PTGES|SPRY1|PDGFC,-6.7,0
