Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
4958,3.0,1,1,1
59284,3.0,1,1,1
7040,3.0,1,1,1
1281,3.0,1,1,1
2619,3.0,1,1,1
5730,3.0,1,1,1
4092,3.0,1,1,1
91010,3.0,1,1,1
3122,3.0,1,1,1
64386,3.0,1,1,1
730,3.0,1,1,1
3038,3.0,1,1,1
11096,3.0,1,1,1
115361,3.0,1,1,1
420,3.0,1,1,1
3728,3.0,1,1,1
220,3.0,1,1,1
6374,3.0,1,1,1
8638,3.0,1,1,1
10320,3.0,1,1,1
4969,3.0,1,1,1
11167,3.0,1,1,1
3730,3.0,1,1,1
57214,3.0,1,1,1
3280,3.0,1,1,1
5080,3.0,1,1,1
83539,3.0,1,1,1
3949,3.0,1,1,1
92949,3.0,1,1,1
3976,3.0,1,1,1
284217,3.0,1,1,1
170691,3.0,1,1,1
301,3.0,1,1,1
4254,3.0,1,1,1
7057,3.0,1,1,1
154796,3.0,1,1,1
2006,3.0,1,1,1
7049,3.0,1,1,1
115362,3.0,1,1,1
7122,3.0,1,1,1
50515,3.0,1,1,1
64321,3.0,1,1,1
10516,3.0,1,1,1
140766,3.0,1,1,1
4045,3.0,1,1,1
5125,3.0,1,1,1
1295,3.0,1,1,1
7042,3.0,1,1,1
2512,3.0,1,1,1
7058,3.0,1,1,1
4318,3.0,1,1,1
633,3.0,1,1,1
5740,3.0,1,1,1
1006,3.0,1,1,1
170689,3.0,1,1,1
2687,3.0,1,1,1
9021,3.0,1,1,1
84063,3.0,1,1,1
89,3.0,1,1,1
2192,3.0,1,1,1
93649,3.0,1,1,1
7490,3.0,1,1,1
9180,3.0,1,1,1
6324,3.0,1,1,1
10272,3.0,1,1,1
8482,3.0,1,1,1
4017,3.0,1,1,1
29116,3.0,1,1,1
4897,3.0,1,1,1
1030,3.0,1,1,1
3911,3.0,1,1,1
5360,3.0,1,1,1
1003,3.0,1,1,1
8771,3.0,1,1,1
3679,3.0,1,1,1
81035,3.0,1,1,1
8128,3.0,1,1,1
768,3.0,1,1,1
2817,3.0,1,1,1
6422,3.0,1,1,1
8876,3.0,1,1,1
8654,3.0,1,1,1
4811,3.0,1,1,1
1440,3.0,1,1,1
864,3.0,1,1,1
9644,3.0,1,1,1
1294,3.0,1,1,1
81792,3.0,1,1,1
5055,3.0,1,1,1
9536,3.0,1,1,1
9037,3.0,1,1,1
5454,3.0,1,1,1
2263,3.0,1,1,1
54437,3.0,1,1,1
5054,3.0,1,1,1
70,3.0,1,1,1
7373,3.0,1,1,1
7402,3.0,1,1,1
8600,3.0,1,1,1
8764,3.0,1,1,1
19,3.0,1,1,1
780,3.0,1,1,1
5033,3.0,1,1,1
3381,3.0,1,1,1
3689,3.0,1,1,1
50964,3.0,1,1,1
53942,3.0,1,1,1
22795,3.0,1,1,1
4185,3.0,1,1,1
3910,3.0,1,1,1
5270,3.0,1,1,1
4053,3.0,1,1,1
4023,3.0,1,1,1
59283,3.0,1,1,1
4312,3.0,1,1,1
3371,3.0,1,1,1
4656,3.0,1,1,1
9194,3.0,1,1,1
729,3.0,1,1,1
3977,3.0,1,1,1
9123,3.0,1,1,1
169044,3.0,1,1,1
6657,3.0,1,1,1
4609,3.0,1,1,1
4868,3.0,1,1,1
5010,3.0,1,1,1
4038,3.0,1,1,1
23114,3.0,1,1,1
1356,3.0,1,1,1
4060,3.0,1,1,1
7138,3.0,1,1,1
1306,3.0,1,1,1
7168,3.0,1,1,1
5152,3.0,1,1,1
8038,3.0,1,1,1
8829,3.0,1,1,1
10370,3.0,1,1,1
10371,3.0,1,1,1
5742,3.0,1,1,1
91653,3.0,1,1,1
6281,3.0,1,1,1
2201,3.0,1,1,1
8784,3.0,1,1,1
4502,3.0,1,1,1
340267,3.0,1,1,1
6540,3.0,1,1,1
4684,3.0,1,1,1
6352,3.0,1,1,1
157506,3.0,1,1,1
4853,3.0,1,1,1
8728,3.0,1,1,1
5352,3.0,1,1,1
10468,3.0,1,1,1
5351,3.0,1,1,1
27092,3.0,1,1,1
10082,3.0,1,1,1
3676,3.0,1,1,1
5293,3.0,1,1,1
4015,3.0,1,1,1
7837,3.0,1,1,1
59277,3.0,1,1,1
655,3.0,1,1,1
55203,3.0,1,1,1
4321,3.0,1,1,1
56034,3.0,1,1,1
90161,3.0,1,1,1
8660,3.0,1,1,1
1465,3.0,1,1,1
6387,3.0,1,1,1
1296,3.0,1,1,1
25805,3.0,1,1,1
6372,3.0,1,1,1
1301,3.0,1,1,1
1293,3.0,1,1,1
288,3.0,1,1,1
8549,3.0,1,1,1
1634,3.0,1,1,1
60,3.0,1,1,1
3918,3.0,1,1,1
1437,3.0,1,1,1
2567,3.0,1,1,1
7134,3.0,1,1,1
8325,3.0,1,1,1
2983,3.0,1,1,1
3589,3.0,1,1,1
2921,3.0,1,1,1
6662,3.0,1,1,1
2697,3.0,1,1,1
4317,3.0,1,1,1
3673,3.0,1,1,1
1959,3.0,1,1,1
2670,3.0,1,1,1
10630,3.0,1,1,1
10417,3.0,1,1,1
1674,3.0,1,1,1
2034,3.0,1,1,1
11095,3.0,1,1,1
1545,3.0,1,1,1
2294,3.0,1,1,1
5329,3.0,1,1,1
6498,3.0,1,1,1
4016,3.0,1,1,1
7046,3.0,1,1,1
2977,3.0,1,1,1
80781,3.0,1,1,1
4316,3.0,1,1,1
84623,3.0,1,1,1
9388,3.0,1,1,1
4632,3.0,1,1,1
63923,3.0,1,1,1
1601,3.0,1,1,1
6423,3.0,1,1,1
3955,3.0,1,1,1
2674,3.0,1,1,1
6656,3.0,1,1,1
1004,3.0,1,1,1
7112,3.0,1,1,1
1381,3.0,1,1,1
8140,3.0,1,1,1
6299,3.0,1,1,1
7852,3.0,1,1,1
1191,3.0,1,1,1
59,3.0,1,1,1
130399,3.0,1,1,1
3091,3.0,1,1,1
6899,3.0,1,1,1
4593,3.0,1,1,1
84171,3.0,1,1,1
2202,3.0,1,1,1
6288,3.0,1,1,1
1000,3.0,1,1,1
6382,3.0,1,1,1
2244,3.0,1,1,1
2252,3.0,1,1,1
7184,3.0,1,1,1
1592,3.0,1,1,1
170690,3.0,1,1,1
9509,3.0,1,1,1
718,3.0,1,1,1
10752,3.0,1,1,1
3576,3.0,1,1,1
6529,3.0,1,1,1
51129,3.0,1,1,1
23462,3.0,1,1,1
3726,3.0,1,1,1
84870,3.0,1,1,1
4322,3.0,1,1,1
4239,3.0,1,1,1
4281,3.0,1,1,1
6850,3.0,1,1,1
3675,3.0,1,1,1
54894,3.0,1,1,1
23092,3.0,1,1,1
8745,3.0,1,1,1
3569,3.0,1,1,1
710,3.0,1,1,1
57007,3.0,1,1,1
7547,3.0,1,1,1
4091,3.0,1,1,1
2173,3.0,1,1,1
8995,3.0,1,1,1
2331,3.0,1,1,1
3624,3.0,1,1,1
4638,3.0,1,1,1
56937,3.0,1,1,1
3672,3.0,1,1,1
1368,3.0,1,1,1
7135,3.0,1,1,1
7474,3.0,1,1,1
10154,3.0,1,1,1
3339,3.0,1,1,1
1462,3.0,1,1,1
10090,3.0,1,1,1
2247,3.0,1,1,1
55240,3.0,1,1,1
6354,3.0,1,1,1
7431,3.0,1,1,1
3925,3.0,1,1,1
8854,3.0,1,1,1
3037,3.0,1,1,1
50863,3.0,1,1,1
57211,3.0,1,1,1
55790,3.0,1,1,1
3075,3.0,1,1,1
1839,3.0,1,1,1
55366,3.0,1,1,1
80310,3.0,1,1,1
56896,3.0,1,1,1
81578,3.0,1,1,1
3055,3.0,1,1,1
861,3.0,1,1,1
5608,3.0,1,1,1
5327,3.0,1,1,1
2069,3.0,1,1,1
5328,3.0,1,1,1
22801,3.0,1,1,1
50937,3.0,1,1,1
266727,3.0,1,1,1
1012,3.0,1,1,1
6356,3.0,1,1,1
83716,2.0,1,0,1
115908,2.0,1,0,1
5216,2.0,1,0,1
23382,2.0,1,0,1
2195,2.0,1,0,1
117195,2.0,1,0,1
27443,2.0,1,0,1
4739,2.0,1,0,1
10376,2.0,1,0,1
3698,2.0,1,0,1
4008,2.0,1,0,1
10611,2.0,1,0,1
4907,2.0,1,0,1
56884,2.0,1,0,1
7123,2.0,1,0,1
27115,2.0,1,0,1
10351,2.0,1,0,1
586,2.0,1,0,1
55,2.0,1,0,1
165215,2.0,1,0,1
2621,2.0,1,0,1
10350,2.0,1,0,1
57573,2.0,1,0,1
11031,2.0,1,0,1
4741,2.0,1,0,1
5176,2.0,1,0,1
23141,2.0,1,0,1
5129,2.0,1,0,1
8470,2.0,1,0,1
6277,2.0,1,0,1
4256,2.0,1,0,1
79801,2.0,1,0,1
78990,2.0,1,0,1
27063,2.0,1,0,1
57575,2.0,1,0,1
9256,2.0,1,0,1
4050,2.0,1,0,1
8407,2.0,1,0,1
79924,2.0,1,0,1
729993,2.0,1,0,1
55920,2.0,1,0,1
6424,2.0,1,0,1
10586,2.0,1,0,1
5142,2.0,1,0,1
54212,2.0,1,0,1
389432,2.0,1,0,1
51,2.0,1,0,1
80760,2.0,1,0,1
5865,2.0,1,0,1
11346,2.0,1,0,1
347902,2.0,1,0,1
3800,2.0,1,0,1
4642,2.0,1,0,1
89795,2.0,1,0,1
55195,2.0,1,0,1
6590,2.0,1,0,1
1359,2.0,1,0,1
256691,2.0,1,0,1
115701,2.0,1,0,1
4651,2.0,1,0,1
5455,2.0,1,0,1
8840,2.0,1,0,1
54757,2.0,1,0,1
10019,2.0,1,0,1
5091,2.0,1,0,1
3736,2.0,1,0,1
84665,2.0,1,0,1
145741,2.0,1,0,1
202151,2.0,1,0,1
4223,2.0,1,0,1
2273,2.0,1,0,1
28231,2.0,1,0,1
127544,2.0,1,0,1
3759,2.0,1,0,1
151887,2.0,1,0,1
55701,2.0,1,0,1
253738,2.0,1,0,1
84858,2.0,1,0,1
1910,2.0,1,0,1
9369,2.0,1,0,1
140612,2.0,1,0,1
1827,2.0,1,0,1
4222,2.0,1,0,1
113146,2.0,1,0,1
79633,2.0,1,0,1
115207,2.0,1,0,1
64478,2.0,1,0,1
3487,2.0,1,0,1
84152,2.0,1,0,1
2321,2.0,1,0,1
6664,2.0,1,0,1
153478,2.0,1,0,1
